x,y
0,-1.043
1,-0.843
2,-0.5984
3,-0.3986
4,-0.2454
5,-0.147
6,-0.01251
7,0.1522
8,0.2576
9,0.2735
10,0.2683
11,0.2538
12,0.1728
13,0.04128
14,-0.09302
15,-0.2271
16,-0.3754
17,-0.5108
18,-0.6118
19,-0.6836
20,-0.712
21,-0.7064
22,-0.6993
23,-0.6803
24,-0.6238
25,-0.5255
26,-0.3775
27,-0.2015
28,-0.07137
29,-0.008218
30,0.004209
31,-0.04137
32,-0.1315
33,-0.2368
34,-0.3348
35,-0.4044
36,-0.4585
37,-0.5093
38,-0.5655
39,-0.6351
40,-0.6713
41,-0.675
42,-0.677
43,-0.6576
44,-0.6051
45,-0.5342
46,-0.4513
47,-0.3481
48,-0.2177
49,-0.03699
50,0.2151
51,0.5171
52,0.8222
53,1.074
54,1.261
55,1.399
56,1.451
57,1.406
58,1.319
59,1.218
60,1.095
61,0.956
62,0.8378
63,0.7784
64,0.7999
65,0.8731
66,0.8858
67,0.7829
68,0.6219
69,0.4671
70,0.3287
71,0.1638
72,-0.04201
73,-0.2335
74,-0.3728
75,-0.4824
76,-0.5838
77,-0.6719
78,-0.743
79,-0.7946
80,-0.8367
81,-0.8493
82,-0.787
83,-0.6712
84,-0.5555
85,-0.4576
86,-0.351
87,-0.1935
88,0.05536
89,0.3671
90,0.6492
91,0.8525
92,0.892
93,0.7274
94,0.5044
95,0.3416
96,0.1963
97,0.03299
98,-0.07175
99,-0.1033
100,-0.1156
101,-0.1285
102,-0.1611
103,-0.2116
104,-0.2832
105,-0.3552
106,-0.4141
107,-0.4692
108,-0.4754
109,-0.4025
110,-0.2467
111,-0.02141
112,0.1972
113,0.3603
114,0.4621
115,0.4981
116,0.502
117,0.4352
118,0.2547
119,0.07201
120,-0.06046
121,-0.2181
122,-0.4016
123,-0.568
124,-0.7079
125,-0.7977
126,-0.8438
127,-0.8676
128,-0.8573
129,-0.8347
130,-0.8185
131,-0.8048
132,-0.7978
133,-0.7929
134,-0.7964
135,-0.8001
136,-0.789
137,-0.7674
138,-0.7419
139,-0.7309
140,-0.7293
141,-0.6994
142,-0.6541
143,-0.6427
144,-0.6603
145,-0.6655
146,-0.6131
147,-0.3947
148,0.1317
149,0.8668
150,1.5
151,1.877
152,2.098
153,2.248
154,2.223
155,2.017
156,1.77
157,1.494
158,1.166
159,0.838
160,0.5318
161,0.2742
162,0.1097
163,0.03244
164,-0.002011
165,-0.04535
166,-0.1082
167,-0.1755
168,-0.2485
169,-0.3295
170,-0.4193
171,-0.5113
172,-0.5849
173,-0.6339
174,-0.6565
175,-0.6563
176,-0.6544
177,-0.653
178,-0.6451
179,-0.6373
180,-0.6243
181,-0.63
182,-0.6525
183,-0.6608
184,-0.6844
185,-0.719
186,-0.7569
187,-0.797
188,-0.8323
189,-0.8751
190,-0.9072
191,-0.9417
192,-0.983
193,-1.016
194,-1.047
195,-1.056
196,-0.98
197,-0.7575
198,-0.4069
199,-0.03027
200,0.2465
201,0.3737
202,0.4066
203,0.3926
204,0.3336
205,0.2328
206,0.122
207,0.0286
208,-0.04603
209,-0.104
210,-0.1613
211,-0.2196
212,-0.2745
213,-0.316
214,-0.3168
215,-0.26
216,-0.1235
217,0.07152
218,0.2096
219,0.2531
220,0.295
221,0.4716
222,0.944
223,1.687
224,2.472
225,3.092
226,3.541
227,3.898
228,4.148
229,4.28
230,4.235
231,3.942
232,3.485
233,2.923
234,2.26
235,1.62
236,1.072
237,0.5757
238,0.1586
239,-0.1335
240,-0.3273
241,-0.4553
242,-0.5151
243,-0.5288
244,-0.5212
245,-0.5091
246,-0.5253
247,-0.5626
248,-0.6033
249,-0.6329
250,-0.6553
251,-0.6885
252,-0.7343
253,-0.7899
254,-0.8403
255,-0.8855
256,-0.9184
257,-0.9148
258,-0.8834
259,-0.8403
260,-0.7937
261,-0.7482
262,-0.6861
263,-0.6207
264,-0.5977
265,-0.6393
266,-0.7421
267,-0.8628
268,-0.9749
269,-1.045
