x,y
0,-0.6016
1,-0.5946
2,-0.6637
3,-0.6697
4,-0.6638
5,-0.5842
6,-0.5507
7,-0.4412
8,-0.3805
9,-0.2353
10,-0.07381
11,0.1038
12,0.2965
13,0.5022
14,0.7189
15,0.9433
16,1.17
17,1.394
18,1.611
19,1.816
20,2.006
21,2.178
22,2.329
23,2.461
24,2.573
25,2.664
26,2.737
27,2.793
28,2.832
29,2.855
30,2.862
31,2.854
32,2.829
33,2.787
34,2.728
35,2.655
36,2.568
37,2.471
38,2.364
39,2.25
40,2.13
41,2.004
42,1.875
43,1.743
44,1.611
45,1.479
46,1.349
47,1.223
48,1.101
49,0.9852
50,0.8762
51,0.7754
52,0.6836
53,0.601
54,0.5277
55,0.4648
56,0.4115
57,0.3676
58,0.334
59,0.3114
60,0.2994
61,0.2986
62,0.3084
63,0.328
64,0.3561
65,0.392
66,0.4339
67,0.4802
68,0.5307
69,0.5831
70,0.6346
71,0.6842
72,0.7291
73,0.7669
74,0.7965
75,0.8174
76,0.8297
77,0.8333
78,0.8285
79,0.8151
80,0.7934
81,0.763
82,0.7247
83,0.6792
84,0.6274
85,0.57
86,0.5078
87,0.4415
88,0.3724
89,0.3019
90,0.2308
91,0.1594
92,0.08831
93,0.01784
94,-0.05194
95,-0.1208
96,-0.1878
97,-0.252
98,-0.3133
99,-0.3707
100,-0.4239
101,-0.4731
102,-0.5181
103,-0.5593
104,-0.5973
105,-0.6323
106,-0.6645
107,-0.6946
108,-0.723
109,-0.7493
110,-0.7731
111,-0.7949
112,-0.8149
113,-0.8327
114,-0.8488
115,-0.8637
116,-0.8775
117,-0.8902
118,-0.9018
119,-0.9121
120,-0.9215
121,-0.9298
122,-0.9369
123,-0.9434
124,-0.9489
125,-0.9534
126,-0.9572
127,-0.9598
128,-0.9614
129,-0.9616
130,-0.9599
131,-0.956
132,-0.949
133,-0.9389
134,-0.9257
135,-0.9091
136,-0.8891
137,-0.8657
138,-0.8396
139,-0.8102
140,-0.7773
141,-0.7405
142,-0.7001
143,-0.6552
144,-0.6053
145,-0.5506
146,-0.4916
147,-0.429
148,-0.3636
149,-0.2967
150,-0.2297
151,-0.1643
152,-0.1018
153,-0.04357
154,0.008524
155,0.05362
156,0.09159
157,0.1222
158,0.1459
159,0.1639
160,0.1773
161,0.187
162,0.1941
163,0.1994
164,0.2034
165,0.2064
166,0.2086
167,0.2101
168,0.2107
169,0.2101
170,0.2085
171,0.2058
172,0.2023
173,0.1981
174,0.1932
175,0.1875
176,0.1807
177,0.1726
178,0.1632
179,0.1526
180,0.1407
181,0.1272
182,0.1119
183,0.09441
184,0.07475
185,0.05276
186,0.02874
187,0.003024
188,-0.02437
189,-0.05362
190,-0.08403
191,-0.1155
192,-0.148
193,-0.1811
194,-0.2144
195,-0.2479
196,-0.2816
197,-0.3151
198,-0.3483
199,-0.3808
200,-0.4126
201,-0.4431
202,-0.4725
203,-0.5004
204,-0.5268
205,-0.5517
206,-0.5752
207,-0.5973
208,-0.6182
209,-0.6377
210,-0.6561
211,-0.6731
212,-0.689
213,-0.7037
214,-0.7174
215,-0.7298
216,-0.7412
217,-0.7514
218,-0.7606
219,-0.7687
220,-0.7762
221,-0.7829
222,-0.7892
223,-0.7952
224,-0.8011
225,-0.8065
226,-0.8119
227,-0.8172
228,-0.8225
229,-0.8279
230,-0.8334
231,-0.8391
232,-0.8448
233,-0.8506
234,-0.8564
235,-0.8626
236,-0.869
237,-0.8755
238,-0.8819
239,-0.8884
240,-0.8952
241,-0.9018
242,-0.9083
243,-0.9147
244,-0.9207
245,-0.9263
246,-0.9312
247,-0.9355
248,-0.9392
249,-0.9424
250,-0.9455
251,-0.9191
252,-0.9232
253,-0.9289
254,-0.9121
255,-0.891
256,-0.9017
257,-0.8816
258,-0.8954
259,-0.9106
260,-0.9272
261,-0.9448
262,-0.9081
263,-0.9259
264,-0.9102
265,-0.8636
266,-0.8414
267,-0.7599
268,-0.769
269,-0.6252
