x,y
0,-0.5703
1,-0.5425
2,-0.5083
3,-0.4711
4,-0.4347
5,-0.4025
6,-0.3763
7,-0.3568
8,-0.3439
9,-0.3372
10,-0.3365
11,-0.3414
12,-0.3515
13,-0.3656
14,-0.3823
15,-0.3997
16,-0.4162
17,-0.4307
18,-0.4423
19,-0.4507
20,-0.4556
21,-0.4572
22,-0.4555
23,-0.4514
24,-0.4455
25,-0.4383
26,-0.4307
27,-0.4229
28,-0.4148
29,-0.4068
30,-0.399
31,-0.3918
32,-0.3857
33,-0.3813
34,-0.3787
35,-0.3776
36,-0.3777
37,-0.3788
38,-0.3807
39,-0.3835
40,-0.388
41,-0.3949
42,-0.4044
43,-0.4166
44,-0.4312
45,-0.4469
46,-0.462
47,-0.4755
48,-0.4864
49,-0.4941
50,-0.4983
51,-0.4998
52,-0.4986
53,-0.4952
54,-0.4904
55,-0.4859
56,-0.4825
57,-0.4815
58,-0.4833
59,-0.4872
60,-0.4919
61,-0.4962
62,-0.4998
63,-0.5024
64,-0.5046
65,-0.5067
66,-0.5082
67,-0.5079
68,-0.5052
69,-0.5009
70,-0.4964
71,-0.4938
72,-0.4943
73,-0.4972
74,-0.4997
75,-0.499
76,-0.494
77,-0.486
78,-0.478
79,-0.4737
80,-0.475
81,-0.4805
82,-0.4867
83,-0.4903
84,-0.4898
85,-0.4863
86,-0.4829
87,-0.4824
88,-0.4859
89,-0.492
90,-0.4986
91,-0.5045
92,-0.5096
93,-0.5154
94,-0.5236
95,-0.5345
96,-0.5466
97,-0.5579
98,-0.5669
99,-0.5732
100,-0.5777
101,-0.5814
102,-0.5843
103,-0.5848
104,-0.5815
105,-0.5744
106,-0.565
107,-0.5566
108,-0.5523
109,-0.553
110,-0.5567
111,-0.5594
112,-0.5572
113,-0.5484
114,-0.5342
115,-0.5189
116,-0.5079
117,-0.5049
118,-0.511
119,-0.5241
120,-0.5405
121,-0.555
122,-0.5642
123,-0.567
124,-0.5648
125,-0.5601
126,-0.5566
127,-0.5583
128,-0.5662
129,-0.5793
130,-0.5945
131,-0.6071
132,-0.6125
133,-0.6088
134,-0.5976
135,-0.583
136,-0.57
137,-0.5621
138,-0.5602
139,-0.5617
140,-0.5629
141,-0.5614
142,-0.5565
143,-0.5492
144,-0.5408
145,-0.5315
146,-0.5196
147,-0.5034
148,-0.4833
149,-0.4621
150,-0.4429
151,-0.4275
152,-0.4152
153,-0.4003
154,-0.3756
155,-0.3375
156,-0.2897
157,-0.24
158,-0.1996
159,-0.1792
160,-0.1822
161,-0.2029
162,-0.2306
163,-0.2565
164,-0.2719
165,-0.2744
166,-0.2687
167,-0.2629
168,-0.2609
169,-0.2646
170,-0.2777
171,-0.2974
172,-0.3185
173,-0.3383
174,-0.3589
175,-0.375
176,-0.3827
177,-0.3815
178,-0.369
179,-0.3389
180,-0.2874
181,-0.2201
182,-0.1363
183,-0.03987
184,0.06159
185,0.1586
186,0.2485
187,0.3294
188,0.3976
189,0.4553
190,0.5068
191,0.5557
192,0.6029
193,0.6539
194,0.7126
195,0.7805
196,0.8605
197,0.9572
198,1.075
199,1.217
200,1.388
201,1.589
202,1.818
203,2.065
204,2.321
205,2.57
206,2.798
207,2.994
208,3.15
209,3.263
210,3.334
211,3.369
212,3.374
213,3.353
214,3.314
215,3.258
216,3.188
217,3.104
218,3.006
219,2.896
220,2.773
221,2.639
222,2.496
223,2.346
224,2.191
225,2.033
226,1.875
227,1.717
228,1.56
229,1.407
230,1.258
231,1.114
232,0.9758
233,0.8451
234,0.7214
235,0.6034
236,0.4932
237,0.3899
238,0.2918
239,0.1996
240,0.1149
241,0.03702
242,-0.03599
243,-0.09974
244,-0.1541
245,-0.2011
246,-0.2416
247,-0.2723
248,-0.2956
249,-0.3153
250,-0.3292
251,-0.3369
252,-0.3411
253,-0.3462
254,-0.3483
255,-0.3503
256,-0.3559
257,-0.3649
258,-0.3753
259,-0.3884
260,-0.4065
261,-0.4261
262,-0.4472
263,-0.4712
264,-0.4978
265,-0.5237
266,-0.5481
267,-0.5707
268,-0.5886
269,-0.6005
