x,y
0,-1.395
1,-1.363
2,-1.32
3,-1.266
4,-1.2
5,-1.12
6,-1.028
7,-0.925
8,-0.8127
9,-0.6926
10,-0.5669
11,-0.4382
12,-0.31
13,-0.1845
14,-0.06323
15,0.05233
16,0.1611
17,0.2623
18,0.3539
19,0.4368
20,0.5113
21,0.5778
22,0.6371
23,0.6889
24,0.7332
25,0.7714
26,0.8042
27,0.832
28,0.8553
29,0.8723
30,0.8837
31,0.8897
32,0.8906
33,0.8869
34,0.8785
35,0.8647
36,0.8476
37,0.8284
38,0.8087
39,0.7897
40,0.7708
41,0.7525
42,0.7356
43,0.7204
44,0.7066
45,0.6938
46,0.6791
47,0.6634
48,0.6464
49,0.6283
50,0.6093
51,0.5887
52,0.5657
53,0.5416
54,0.5171
55,0.493
56,0.4698
57,0.4464
58,0.4234
59,0.4021
60,0.3832
61,0.3674
62,0.3548
63,0.3439
64,0.3363
65,0.3324
66,0.3326
67,0.3371
68,0.3443
69,0.3538
70,0.3666
71,0.383
72,0.4026
73,0.4253
74,0.448
75,0.4725
76,0.499
77,0.5275
78,0.5577
79,0.5886
80,0.6183
81,0.6492
82,0.6814
83,0.7148
84,0.7494
85,0.7827
86,0.8153
87,0.8484
88,0.8821
89,0.916
90,0.95
91,0.9807
92,1.011
93,1.042
94,1.073
95,1.104
96,1.134
97,1.161
98,1.188
99,1.214
100,1.238
101,1.26
102,1.278
103,1.292
104,1.302
105,1.31
106,1.315
107,1.317
108,1.315
109,1.311
110,1.307
111,1.302
112,1.298
113,1.292
114,1.286
115,1.28
116,1.274
117,1.269
118,1.263
119,1.256
120,1.249
121,1.243
122,1.237
123,1.232
124,1.228
125,1.225
126,1.223
127,1.224
128,1.226
129,1.23
130,1.233
131,1.237
132,1.242
133,1.246
134,1.251
135,1.255
136,1.256
137,1.256
138,1.256
139,1.254
140,1.25
141,1.243
142,1.232
143,1.218
144,1.2
145,1.177
146,1.147
147,1.111
148,1.068
149,1.02
150,0.9669
151,0.909
152,0.8465
153,0.7793
154,0.7102
155,0.6398
156,0.5687
157,0.497
158,0.4242
159,0.3512
160,0.2794
161,0.2089
162,0.1395
163,0.07124
164,0.002697
165,-0.06384
166,-0.128
167,-0.1899
168,-0.2497
169,-0.3081
170,-0.3654
171,-0.4198
172,-0.4714
173,-0.5204
174,-0.567
175,-0.6124
176,-0.6552
177,-0.6947
178,-0.7309
179,-0.7641
180,-0.7948
181,-0.8245
182,-0.851
183,-0.8748
184,-0.8963
185,-0.916
186,-0.9349
187,-0.953
188,-0.9689
189,-0.9829
190,-0.9952
191,-1.006
192,-1.017
193,-1.027
194,-1.035
195,-1.042
196,-1.049
197,-1.055
198,-1.063
199,-1.069
200,-1.075
201,-1.079
202,-1.083
203,-1.088
204,-1.092
205,-1.094
206,-1.095
207,-1.097
208,-1.098
209,-1.1
210,-1.103
211,-1.106
212,-1.11
213,-1.114
214,-1.12
215,-1.127
216,-1.135
217,-1.143
218,-1.151
219,-1.16
220,-1.17
221,-1.179
222,-1.188
223,-1.197
224,-1.204
225,-1.212
226,-1.219
227,-1.225
228,-1.231
229,-1.235
230,-1.239
231,-1.243
232,-1.247
233,-1.25
234,-1.252
235,-1.255
236,-1.257
237,-1.258
238,-1.259
239,-1.259
240,-1.257
241,-1.255
242,-1.252
243,-1.25
244,-1.247
245,-1.246
246,-1.245
247,-1.246
248,-1.25
249,-1.254
250,-1.259
251,-1.266
252,-1.273
253,-1.281
254,-1.29
255,-1.301
256,-1.314
257,-1.329
258,-1.346
259,-1.365
260,-1.385
261,-1.405
262,-1.424
263,-1.44
264,-1.452
265,-1.46
266,-1.464
267,-1.465
268,-1.462
269,-1.459
