x,y
0,0.01519
1,0.02768
2,0.03364
3,0.0324
4,0.03329
5,0.0414
6,0.05651
7,0.07855
8,0.08708
9,0.0707
10,0.07802
11,0.1198
12,0.1313
13,0.09769
14,0.0987
15,0.1253
16,0.1197
17,0.1229
18,0.1226
19,0.1013
20,0.07754
21,0.05992
22,0.0644
23,0.06096
24,0.05742
25,0.0802
26,0.09386
27,0.07568
28,0.04716
29,0.04641
30,0.05251
31,0.0402
32,0.03381
33,0.03692
34,0.02271
35,0.003491
36,0.008843
37,0.001921
38,-0.009906
39,-0.01282
40,-0.03035
41,-0.02265
42,-0.01187
43,-0.04469
44,-0.05776
45,-0.02668
46,-0.01337
47,-0.04078
48,-0.05974
49,-0.04409
50,-0.0267
51,-0.03367
52,-0.05042
53,-0.05754
54,-0.06062
55,-0.06109
56,-0.0487
57,-0.03309
58,-0.04128
59,-0.04932
60,-0.03798
61,-0.02856
62,-0.0203
63,-0.01204
64,-0.006041
65,-0.01341
66,-0.03142
67,-0.03736
68,-0.02108
69,0.01141
70,0.009705
71,-0.02164
72,-0.03177
73,-0.02173
74,-0.002237
75,-0.001555
76,-0.005802
77,0.03228
78,0.08221
79,0.1294
80,0.1895
81,0.27
82,0.3588
83,0.3912
84,0.4166
85,0.4694
86,0.5213
87,0.6234
88,0.716
89,0.7516
90,0.7964
91,0.8468
92,0.9057
93,0.9362
94,0.9078
95,0.8545
96,0.7779
97,0.7172
98,0.6297
99,0.5454
100,0.5121
101,0.4263
102,0.304
103,0.2358
104,0.2407
105,0.2488
106,0.2097
107,0.1593
108,0.0906
109,-0.001826
110,-0.04336
111,-0.03739
112,-0.03849
113,-0.02915
114,-0.01505
115,-0.02595
116,-0.03877
117,-0.02575
118,0.002538
119,0.03094
120,0.03291
121,0.01497
122,0.01251
123,0.01441
124,0.02426
125,0.04347
126,0.05178
127,0.05451
128,0.05208
129,0.04912
130,0.05359
131,0.06559
132,0.06723
133,0.04988
134,0.05463
135,0.07751
136,0.08811
137,0.09496
138,0.07782
139,0.0547
140,0.07623
141,0.09598
142,0.08971
143,0.07364
144,0.05562
145,0.04986
146,0.03412
147,0.01468
148,0.02499
149,0.04521
150,0.04221
151,0.02236
152,-0.002538
153,-0.01395
154,-0.01313
155,-0.006963
156,0.0005594
157,0.001876
158,0.005155
159,-0.01422
160,-0.05172
161,-0.06165
162,-0.05221
163,-0.04871
164,-0.05365
165,-0.07213
166,-0.07909
167,-0.07962
168,-0.08254
169,-0.05002
170,-0.04088
171,-0.07713
172,-0.08455
173,-0.07454
174,-0.0747
175,-0.07243
176,-0.05964
177,-0.03546
178,-0.02139
179,-0.02407
180,-0.02495
181,-0.02697
182,-0.03024
183,-0.0247
184,-0.01702
185,-0.01093
186,-0.004255
187,0.003473
188,0.008158
189,0.006671
190,0.01336
191,0.02579
192,0.03342
193,0.04381
194,0.05027
195,0.04337
196,0.03039
197,0.02628
198,0.03571
199,0.06048
200,0.0626
201,0.02748
202,0.03581
203,0.06794
204,0.0786
205,0.1083
206,0.1227
207,0.07648
208,0.01749
209,0.01768
210,0.04539
211,0.04415
212,0.0471
213,0.04921
214,0.0303
215,0.01638
216,0.01572
217,0.01715
218,0.008621
219,-0.00239
220,-0.008587
221,-0.01031
222,-0.01218
223,-0.02023
224,-0.02861
225,-0.03705
226,-0.04367
227,-0.04987
228,-0.05566
229,-0.06118
230,-0.0696
231,-0.07663
232,-0.08728
233,-0.09374
234,-0.08654
235,-0.07601
236,-0.06526
237,-0.05965
238,-0.06127
239,-0.05337
240,-0.05412
241,-0.06859
242,-0.06833
243,-0.06395
244,-0.05876
245,-0.0522
246,-0.0554
247,-0.049
248,-0.03641
249,-0.04026
250,-0.04259
251,-0.02274
252,0.008781
253,0.01822
254,0.008846
255,0.001391
256,0.008938
257,0.03827
258,0.04353
259,0.01991
260,0.01751
261,0.0196
262,-0.003345
263,-0.014
264,0.01487
265,0.04315
266,0.04637
267,0.04686
268,0.03773
269,0.02188
