x,y
0,-0.7834
1,-0.6284
2,-0.431
3,-0.2437
4,-0.08064
5,0.06455
6,0.1995
7,0.3316
8,0.4612
9,0.581
10,0.6804
11,0.7598
12,0.8199
13,0.8534
14,0.856
15,0.8288
16,0.7822
17,0.7229
18,0.6531
19,0.5753
20,0.4918
21,0.4084
22,0.3224
23,0.2349
24,0.1555
25,0.08921
26,0.03827
27,-0.007847
28,-0.04545
29,-0.06408
30,-0.05832
31,-0.02905
32,0.007609
33,0.04846
34,0.09658
35,0.1626
36,0.2547
37,0.3665
38,0.4867
39,0.5917
40,0.6675
41,0.7146
42,0.7339
43,0.7142
44,0.6375
45,0.5145
46,0.377
47,0.251
48,0.1378
49,0.02183
50,-0.1014
51,-0.2266
52,-0.3417
53,-0.4379
54,-0.5114
55,-0.5598
56,-0.5887
57,-0.6009
58,-0.6039
59,-0.6038
60,-0.5997
61,-0.5928
62,-0.5827
63,-0.577
64,-0.5779
65,-0.5867
66,-0.6017
67,-0.6161
68,-0.6304
69,-0.6459
70,-0.6615
71,-0.6726
72,-0.6836
73,-0.7011
74,-0.7187
75,-0.7306
76,-0.7408
77,-0.7557
78,-0.7698
79,-0.7785
80,-0.7872
81,-0.796
82,-0.8045
83,-0.8105
84,-0.8195
85,-0.8326
86,-0.8432
87,-0.8441
88,-0.8272
89,-0.79
90,-0.7186
91,-0.5896
92,-0.3899
93,-0.1379
94,0.1182
95,0.3279
96,0.4591
97,0.5112
98,0.5071
99,0.4698
100,0.4079
101,0.3247
102,0.2291
103,0.1288
104,0.02498
105,-0.08175
106,-0.1888
107,-0.2911
108,-0.3805
109,-0.4522
110,-0.512
111,-0.5696
112,-0.6238
113,-0.6727
114,-0.7172
115,-0.7553
116,-0.7862
117,-0.8077
118,-0.8278
119,-0.8439
120,-0.8563
121,-0.8634
122,-0.8602
123,-0.8423
124,-0.8046
125,-0.7549
126,-0.6987
127,-0.6414
128,-0.5868
129,-0.5348
130,-0.4757
131,-0.389
132,-0.2698
133,-0.1354
134,-0.01315
135,0.0798
136,0.1393
137,0.1671
138,0.1687
139,0.1471
140,0.1051
141,0.04777
142,-0.01868
143,-0.0884
144,-0.1573
145,-0.2247
146,-0.2942
147,-0.3656
148,-0.4295
149,-0.4801
150,-0.522
151,-0.5604
152,-0.5948
153,-0.6215
154,-0.6441
155,-0.6622
156,-0.6762
157,-0.6858
158,-0.6895
159,-0.6923
160,-0.6985
161,-0.7137
162,-0.7308
163,-0.7474
164,-0.7654
165,-0.7852
166,-0.8044
167,-0.8155
168,-0.8231
169,-0.8285
170,-0.8353
171,-0.8439
172,-0.8497
173,-0.8417
174,-0.7903
175,-0.6784
176,-0.5112
177,-0.3226
178,-0.1463
179,0.008723
180,0.1441
181,0.2688
182,0.3874
183,0.5035
184,0.6146
185,0.7152
186,0.8102
187,0.8934
188,0.9485
189,0.956
190,0.9187
191,0.8618
192,0.7983
193,0.7349
194,0.6669
195,0.5978
196,0.5304
197,0.4661
198,0.4365
199,0.4463
200,0.4911
201,0.5432
202,0.5827
203,0.6082
204,0.624
205,0.6758
206,0.8087
207,1.065
208,1.462
209,1.976
210,2.558
211,3.118
212,3.579
213,3.902
214,4.086
215,4.153
216,4.133
217,4.052
218,3.882
219,3.579
220,3.163
221,2.72
222,2.328
223,1.983
224,1.64
225,1.28
226,0.9253
227,0.612
228,0.3438
229,0.1188
230,-0.06664
231,-0.215
232,-0.3263
233,-0.4171
234,-0.4803
235,-0.5243
236,-0.5532
237,-0.5736
238,-0.5933
239,-0.6078
240,-0.6226
241,-0.6269
242,-0.6257
243,-0.6308
244,-0.6473
245,-0.671
246,-0.6906
247,-0.7069
248,-0.7193
249,-0.7268
250,-0.7293
251,-0.73
252,-0.7334
253,-0.7395
254,-0.7466
255,-0.7537
256,-0.7598
257,-0.7645
258,-0.7669
259,-0.7675
260,-0.7648
261,-0.7563
262,-0.7458
263,-0.7432
264,-0.7521
265,-0.7667
266,-0.7911
267,-0.8314
268,-0.8702
269,-0.8834
