x,y
0,-1.221
1,-1.265
2,-1.306
3,-1.331
4,-1.336
5,-1.294
6,-1.166
7,-0.9469
8,-0.7014
9,-0.5081
10,-0.4701
11,-0.5932
12,-0.7132
13,-0.7419
14,-0.7198
15,-0.6904
16,-0.5999
17,-0.3435
18,0.05264
19,0.3538
20,0.4517
21,0.4255
22,0.3352
23,0.205
24,0.152
25,0.3759
26,1.226
27,2.667
28,3.938
29,4.463
30,4.371
31,3.913
32,3.21
33,2.514
34,1.98
35,1.626
36,1.508
37,1.615
38,1.689
39,1.546
40,1.363
41,1.325
42,1.318
43,1.188
44,0.9986
45,0.8538
46,0.7495
47,0.6459
48,0.5084
49,0.3211
50,0.1143
51,-0.08794
52,-0.2404
53,-0.3505
54,-0.4293
55,-0.4721
56,-0.5064
57,-0.5252
58,-0.5314
59,-0.5276
60,-0.5199
61,-0.5171
62,-0.5172
63,-0.4828
64,-0.3049
65,0.06409
66,0.4495
67,0.6354
68,0.6491
69,0.6032
70,0.5528
71,0.4814
72,0.4025
73,0.3606
74,0.3161
75,0.2364
76,0.1077
77,-0.07039
78,-0.2664
79,-0.4131
80,-0.504
81,-0.5629
82,-0.6111
83,-0.6473
84,-0.6643
85,-0.6777
86,-0.6819
87,-0.6829
88,-0.6899
89,-0.7068
90,-0.7119
91,-0.6751
92,-0.5185
93,-0.2381
94,0.01809
95,0.1292
96,0.1299
97,0.08905
98,0.03365
99,-0.05169
100,-0.1428
101,-0.2275
102,-0.2977
103,-0.3444
104,-0.3873
105,-0.4425
106,-0.4816
107,-0.5203
108,-0.5659
109,-0.5883
110,-0.5804
111,-0.5868
112,-0.6276
113,-0.6655
114,-0.6964
115,-0.73
116,-0.7514
117,-0.7433
118,-0.7168
119,-0.6826
120,-0.6388
121,-0.5698
122,-0.4738
123,-0.382
124,-0.3091
125,-0.226
126,-0.1259
127,-0.05157
128,-0.05037
129,-0.1103
130,-0.1978
131,-0.3019
132,-0.4242
133,-0.5288
134,-0.6063
135,-0.6523
136,-0.6804
137,-0.6867
138,-0.6806
139,-0.6805
140,-0.6862
141,-0.7056
142,-0.7158
143,-0.7227
144,-0.7247
145,-0.7311
146,-0.7364
147,-0.7381
148,-0.7355
149,-0.7383
150,-0.7404
151,-0.7402
152,-0.6366
153,-0.3192
154,0.0513
155,0.247
156,0.3319
157,0.3911
158,0.3993
159,0.328
160,0.1791
161,-0.01537
162,-0.2138
163,-0.3708
164,-0.4703
165,-0.5262
166,-0.5622
167,-0.5818
168,-0.5936
169,-0.6005
170,-0.5962
171,-0.5722
172,-0.5432
173,-0.519
174,-0.4975
175,-0.422
176,-0.2387
177,0.004449
178,0.1754
179,0.2473
180,0.2752
181,0.2641
182,0.2
183,0.08291
184,-0.07655
185,-0.2487
186,-0.3871
187,-0.469
188,-0.5107
189,-0.5312
190,-0.5496
191,-0.5806
192,-0.6014
193,-0.6097
194,-0.6158
195,-0.6223
196,-0.6256
197,-0.588
198,-0.4793
199,-0.2706
200,0.07949
201,0.5235
202,0.862
203,1.04
204,1.117
205,1.069
206,0.9193
207,0.6829
208,0.3752
209,0.06059
210,-0.1864
211,-0.3528
212,-0.4549
213,-0.5101
214,-0.5319
215,-0.5242
216,-0.518
217,-0.521
218,-0.5222
219,-0.5305
220,-0.5344
221,-0.5168
222,-0.4691
223,-0.3872
224,-0.205
225,0.3762
226,1.567
227,2.809
228,3.413
229,3.532
230,3.482
231,3.326
232,2.978
233,2.405
234,1.73
235,1.055
236,0.4885
237,0.09903
238,-0.1542
239,-0.3023
240,-0.4038
241,-0.478
242,-0.5296
243,-0.5496
244,-0.5535
245,-0.5563
246,-0.567
247,-0.5873
248,-0.5756
249,-0.4579
250,-0.1998
251,0.06587
252,0.1687
253,0.09684
254,-0.03676
255,-0.153
256,-0.2629
257,-0.3504
258,-0.277
259,0.0555
260,0.4224
261,0.5675
262,0.4585
263,0.2227
264,-0.01504
265,-0.2619
266,-0.5307
267,-0.7619
268,-0.91
269,-0.9991
