x,y
0,-0.9975
1,-0.8721
2,-0.7769
3,-0.7265
4,-0.6637
5,-0.4701
6,-0.281
7,-0.2064
8,-0.1236
9,-0.04106
10,0.08452
11,0.5818
12,1.583
13,2.612
14,3.505
15,4.068
16,3.782
17,2.936
18,1.927
19,0.8193
20,-0.005603
21,-0.4771
22,-0.721
23,-0.851
24,-0.8943
25,-0.8839
26,-0.8164
27,-0.7219
28,-0.6404
29,-0.1849
30,1.528
31,2.849
32,3.068
33,2.945
34,2.726
35,2.236
36,1.51
37,0.9546
38,0.5572
39,0.3266
40,0.2484
41,0.2009
42,0.07413
43,-0.05473
44,0.2065
45,0.642
46,0.7041
47,0.5965
48,0.4223
49,0.177
50,0.04949
51,-0.01601
52,-0.1453
53,-0.3127
54,-0.4927
55,-0.6282
56,-0.7138
57,-0.7464
58,-0.7539
59,-0.7515
60,-0.7483
61,-0.6998
62,-0.6001
63,-0.4567
64,-0.3493
65,-0.3723
66,-0.4778
67,-0.5485
68,-0.5
69,-0.3367
70,0.05085
71,0.7103
72,0.9595
73,0.7711
74,0.6396
75,0.5352
76,0.327
77,0.1116
78,-0.08515
79,-0.2658
80,-0.3845
81,-0.4907
82,-0.5883
83,-0.702
84,-0.7709
85,-0.7915
86,-0.8078
87,-0.8029
88,-0.7825
89,-0.75
90,-0.7319
91,-0.7394
92,-0.7571
93,-0.7714
94,-0.7635
95,-0.7478
96,-0.6131
97,-0.2206
98,0.1341
99,0.4035
100,0.6023
101,0.5962
102,0.5104
103,0.306
104,0.04938
105,-0.1577
106,-0.2641
107,-0.3298
108,-0.3732
109,-0.3843
110,-0.3901
111,-0.2601
112,0.1779
113,0.6873
114,0.86
115,0.8955
116,0.8132
117,0.4591
118,0.1245
119,-0.2009
120,-0.4674
121,-0.6153
122,-0.6946
123,-0.7285
124,-0.743
125,-0.7426
126,-0.7432
127,-0.7291
128,-0.7344
129,-0.7791
130,-0.8146
131,-0.8082
132,-0.7769
133,-0.736
134,-0.6443
135,-0.503
136,-0.1153
137,0.5873
138,0.7949
139,0.647
140,0.4427
141,0.1932
142,-0.06289
143,-0.3298
144,-0.4936
145,-0.626
146,-0.7129
147,-0.7189
148,-0.6681
149,-0.584
150,-0.4154
151,-0.1649
152,-0.01655
153,-0.06399
154,-0.2233
155,-0.4139
156,-0.5993
157,-0.7246
158,-0.7801
159,-0.8163
160,-0.8578
161,-0.8835
162,-0.899
163,-0.9001
164,-0.862
165,-0.5208
166,0.1241
167,0.4908
168,0.6789
169,0.7473
170,0.604
171,0.3934
172,0.1293
173,-0.1079
174,-0.298
175,-0.4468
176,-0.5582
177,-0.6418
178,-0.6341
179,-0.3365
180,0.4647
181,2.16
182,3.647
183,4.012
184,4.09
185,3.487
186,2.323
187,1.328
188,0.3522
189,-0.2272
190,-0.504
191,-0.6185
192,-0.6144
193,-0.5409
194,-0.4945
195,-0.4441
196,-0.1999
197,0.009909
198,-0.07211
199,-0.2708
200,-0.451
201,-0.4455
202,-0.06795
203,0.2729
204,0.2317
205,0.0213
206,-0.2122
207,-0.4524
208,-0.6449
209,-0.7539
210,-0.8132
211,-0.8463
212,-0.8666
213,-0.8559
214,-0.7941
215,-0.6922
216,-0.6127
217,-0.3867
218,0.01188
219,0.6718
220,1.273
221,1.417
222,1.387
223,1.259
224,0.8346
225,0.3907
226,0.02745
227,-0.312
228,-0.5041
229,-0.6273
230,-0.7002
231,-0.757
232,-0.7813
233,-0.7673
234,-0.7607
235,-0.753
236,-0.7093
237,-0.5248
238,-0.1572
239,0.1862
240,0.433
241,0.5575
242,0.4335
243,0.2602
244,0.07946
245,-0.08491
246,-0.2138
247,-0.3104
248,-0.3939
249,-0.4601
250,-0.4588
251,-0.3196
252,0.075
253,0.5692
254,0.8196
255,0.8954
256,0.6576
257,0.3132
258,-0.03662
259,-0.4332
260,-0.6928
261,-0.8279
262,-0.8697
263,-0.8803
264,-0.8791
265,-0.885
266,-0.887
267,-0.9017
268,-0.9293
269,-1.008
