x,y
0,-1.055
1,-0.978
2,-0.8103
3,-0.5558
4,-0.2312
5,0.1098
6,0.4015
7,0.6192
8,0.7925
9,0.955
10,1.103
11,1.211
12,1.263
13,1.26
14,1.211
15,1.122
16,0.9962
17,0.8375
18,0.6532
19,0.4552
20,0.2614
21,0.08133
22,-0.08253
23,-0.2251
24,-0.341
25,-0.4268
26,-0.4917
27,-0.5362
28,-0.5627
29,-0.5712
30,-0.5633
31,-0.5456
32,-0.522
33,-0.5036
34,-0.4895
35,-0.4866
36,-0.4928
37,-0.5078
38,-0.5251
39,-0.5429
40,-0.5669
41,-0.5992
42,-0.6404
43,-0.6845
44,-0.731
45,-0.7745
46,-0.8123
47,-0.8387
48,-0.8525
49,-0.8553
50,-0.8462
51,-0.8332
52,-0.8102
53,-0.7842
54,-0.7432
55,-0.693
56,-0.6344
57,-0.576
58,-0.5185
59,-0.4528
60,-0.3789
61,-0.277
62,-0.1272
63,0.1233
64,0.5099
65,1.018
66,1.566
67,2.071
68,2.501
69,2.841
70,3.074
71,3.194
72,3.235
73,3.23
74,3.189
75,3.113
76,3.001
77,2.847
78,2.634
79,2.367
80,2.066
81,1.752
82,1.439
83,1.138
84,0.8623
85,0.6127
86,0.3934
87,0.1971
88,0.02621
89,-0.1172
90,-0.2359
91,-0.3205
92,-0.3726
93,-0.3799
94,-0.3515
95,-0.287
96,-0.2089
97,-0.1424
98,-0.1023
99,-0.08916
100,-0.08671
101,-0.09473
102,-0.1116
103,-0.146
104,-0.1951
105,-0.2577
106,-0.3277
107,-0.3962
108,-0.4587
109,-0.5156
110,-0.5711
111,-0.6178
112,-0.6497
113,-0.666
114,-0.6738
115,-0.678
116,-0.6784
117,-0.6772
118,-0.6731
119,-0.6678
120,-0.6571
121,-0.6422
122,-0.6257
123,-0.6121
124,-0.6043
125,-0.5986
126,-0.5924
127,-0.5808
128,-0.5674
129,-0.5524
130,-0.5396
131,-0.5286
132,-0.5236
133,-0.5286
134,-0.5443
135,-0.5709
136,-0.6026
137,-0.6391
138,-0.6732
139,-0.6986
140,-0.7017
141,-0.67
142,-0.5934
143,-0.4724
144,-0.3295
145,-0.1935
146,-0.08508
147,0.0002703
148,0.07424
149,0.1449
150,0.2144
151,0.2775
152,0.3237
153,0.338
154,0.3192
155,0.2731
156,0.2103
157,0.1367
158,0.05563
159,-0.03103
160,-0.1213
161,-0.2071
162,-0.2837
163,-0.3455
164,-0.3937
165,-0.4293
166,-0.4532
167,-0.4677
168,-0.4717
169,-0.4708
170,-0.4639
171,-0.451
172,-0.425
173,-0.3856
174,-0.34
175,-0.2959
176,-0.2598
177,-0.2296
178,-0.2072
179,-0.1907
180,-0.1837
181,-0.1877
182,-0.2042
183,-0.2323
184,-0.2674
185,-0.3089
186,-0.3565
187,-0.4106
188,-0.4647
189,-0.5158
190,-0.5638
191,-0.6084
192,-0.6456
193,-0.6708
194,-0.6897
195,-0.7068
196,-0.7264
197,-0.7419
198,-0.7497
199,-0.7496
200,-0.7448
201,-0.7404
202,-0.7351
203,-0.732
204,-0.7229
205,-0.7112
206,-0.6921
207,-0.6699
208,-0.6418
209,-0.6076
210,-0.5665
211,-0.5124
212,-0.4546
213,-0.3942
214,-0.3404
215,-0.2714
216,-0.1598
217,0.02309
218,0.277
219,0.5716
220,0.8711
221,1.144
222,1.381
223,1.569
224,1.714
225,1.839
226,1.976
227,2.125
228,2.252
229,2.324
230,2.329
231,2.276
232,2.176
233,2.042
234,1.887
235,1.722
236,1.552
237,1.367
238,1.156
239,0.9204
240,0.6748
241,0.4352
242,0.2041
243,-0.01027
244,-0.203
245,-0.3579
246,-0.4787
247,-0.5678
248,-0.6348
249,-0.6862
250,-0.7245
251,-0.7579
252,-0.7826
253,-0.8056
254,-0.8249
255,-0.8473
256,-0.8683
257,-0.8854
258,-0.8996
259,-0.9121
260,-0.9262
261,-0.939
262,-0.9537
263,-0.9691
264,-0.9827
265,-0.9918
266,-1.005
267,-1.028
268,-1.051
269,-1.059
