x,y
0,-0.9262
1,-0.9194
2,-0.91
3,-0.8993
4,-0.8891
5,-0.8806
6,-0.8747
7,-0.8711
8,-0.8691
9,-0.868
10,-0.8669
11,-0.8656
12,-0.8641
13,-0.8629
14,-0.8625
15,-0.863
16,-0.8645
17,-0.8666
18,-0.8693
19,-0.8721
20,-0.8746
21,-0.8767
22,-0.8782
23,-0.8787
24,-0.8777
25,-0.8753
26,-0.8717
27,-0.867
28,-0.8616
29,-0.8556
30,-0.8499
31,-0.8444
32,-0.8388
33,-0.833
34,-0.8276
35,-0.8225
36,-0.8176
37,-0.8129
38,-0.8093
39,-0.8067
40,-0.8046
41,-0.8022
42,-0.8
43,-0.7985
44,-0.7966
45,-0.7936
46,-0.7902
47,-0.788
48,-0.7855
49,-0.7817
50,-0.7768
51,-0.774
52,-0.7714
53,-0.7683
54,-0.7644
55,-0.7635
56,-0.7629
57,-0.7611
58,-0.757
59,-0.7535
60,-0.7494
61,-0.7429
62,-0.7328
63,-0.7211
64,-0.707
65,-0.6875
66,-0.6608
67,-0.6279
68,-0.5899
69,-0.5458
70,-0.4959
71,-0.4427
72,-0.3899
73,-0.337
74,-0.2837
75,-0.23
76,-0.1769
77,-0.1195
78,-0.0529
79,0.02854
80,0.1277
81,0.251
82,0.402
83,0.5807
84,0.781
85,0.9966
86,1.218
87,1.435
88,1.635
89,1.813
90,1.964
91,2.089
92,2.19
93,2.27
94,2.337
95,2.395
96,2.446
97,2.493
98,2.535
99,2.571
100,2.599
101,2.616
102,2.622
103,2.616
104,2.598
105,2.571
106,2.537
107,2.499
108,2.457
109,2.413
110,2.365
111,2.313
112,2.256
113,2.192
114,2.12
115,2.042
116,1.957
117,1.865
118,1.767
119,1.664
120,1.557
121,1.446
122,1.334
123,1.223
124,1.115
125,1.012
126,0.916
127,0.8279
128,0.7472
129,0.6719
130,0.5999
131,0.5319
132,0.4657
133,0.3997
134,0.3316
135,0.2648
136,0.1992
137,0.1348
138,0.06978
139,0.009174
140,-0.04639
141,-0.09716
142,-0.1456
143,-0.1885
144,-0.2261
145,-0.2599
146,-0.2933
147,-0.3245
148,-0.3528
149,-0.3793
150,-0.4065
151,-0.4334
152,-0.4581
153,-0.481
154,-0.5036
155,-0.5259
156,-0.5446
157,-0.5598
158,-0.5723
159,-0.5846
160,-0.5935
161,-0.5999
162,-0.6049
163,-0.6123
164,-0.6184
165,-0.6228
166,-0.6257
167,-0.6299
168,-0.6326
169,-0.6335
170,-0.6326
171,-0.6326
172,-0.6321
173,-0.6299
174,-0.6257
175,-0.6208
176,-0.6151
177,-0.6075
178,-0.5983
179,-0.5888
180,-0.5802
181,-0.571
182,-0.5611
183,-0.5505
184,-0.5396
185,-0.5263
186,-0.5096
187,-0.4883
188,-0.4623
189,-0.4295
190,-0.389
191,-0.3406
192,-0.2858
193,-0.2251
194,-0.1596
195,-0.09107
196,-0.02151
197,0.04857
198,0.1188
199,0.1886
200,0.2571
201,0.3239
202,0.3886
203,0.4507
204,0.5094
205,0.5641
206,0.6149
207,0.6613
208,0.7015
209,0.7333
210,0.7549
211,0.7641
212,0.7593
213,0.7396
214,0.7068
215,0.6637
216,0.6137
217,0.5597
218,0.5053
219,0.4521
220,0.4001
221,0.3479
222,0.2941
223,0.237
224,0.1754
225,0.1093
226,0.04025
227,-0.02942
228,-0.09717
229,-0.1609
230,-0.2185
231,-0.2691
232,-0.3128
233,-0.3504
234,-0.3821
235,-0.4082
236,-0.4285
237,-0.443
238,-0.4515
239,-0.4528
240,-0.4476
241,-0.4369
242,-0.4228
243,-0.4055
244,-0.3871
245,-0.3695
246,-0.3551
247,-0.3432
248,-0.3349
249,-0.3313
250,-0.3341
251,-0.3422
252,-0.3562
253,-0.3767
254,-0.4049
255,-0.4391
256,-0.478
257,-0.5205
258,-0.5656
259,-0.6108
260,-0.6534
261,-0.6928
262,-0.7295
263,-0.7635
264,-0.7948
265,-0.8241
266,-0.8518
267,-0.8776
268,-0.8992
269,-0.9156
