x,y
0,-0.1393
1,-0.1761
2,-0.163
3,-0.173
4,-0.1804
5,-0.1663
6,-0.1657
7,-0.154
8,-0.1546
9,-0.1747
10,-0.1706
11,-0.1802
12,-0.1944
13,-0.2118
14,-0.209
15,-0.2288
16,-0.2478
17,-0.2434
18,-0.2388
19,-0.234
20,-0.2291
21,-0.2563
22,-0.2503
23,-0.2575
24,-0.2621
25,-0.2524
26,-0.2431
27,-0.2599
28,-0.2476
29,-0.2589
30,-0.2551
31,-0.2373
32,-0.2353
33,-0.2153
34,-0.1954
35,-0.1772
36,-0.1762
37,-0.1596
38,-0.1566
39,-0.1372
40,-0.1153
41,-0.1151
42,-0.08629
43,-0.0543
44,-0.02614
45,0.01856
46,0.04887
47,0.08735
48,0.1567
49,0.247
50,0.346
51,0.4521
52,0.5576
53,0.6391
54,0.7061
55,0.7446
56,0.7626
57,0.7648
58,0.7478
59,0.711
60,0.6589
61,0.5971
62,0.5281
63,0.452
64,0.3699
65,0.2846
66,0.2001
67,0.1048
68,0.03572
69,-0.04576
70,-0.09805
71,-0.1436
72,-0.1828
73,-0.2625
74,-0.3354
75,-0.3694
76,-0.3838
77,-0.3832
78,-0.3673
79,-0.3698
80,-0.3521
81,-0.3241
82,-0.2777
83,-0.2302
84,-0.14
85,-0.02646
86,0.1004
87,0.2659
88,0.4616
89,0.6977
90,0.9825
91,1.322
92,1.726
93,2.185
94,2.659
95,3.116
96,3.523
97,3.826
98,4
99,4.075
100,4.067
101,3.986
102,3.846
103,3.67
104,3.48
105,3.293
106,3.111
107,2.922
108,2.718
109,2.498
110,2.268
111,2.037
112,1.8
113,1.564
114,1.339
115,1.122
116,0.9109
117,0.7096
118,0.5211
119,0.3481
120,0.1897
121,0.04866
122,-0.07439
123,-0.1793
124,-0.2677
125,-0.3428
126,-0.4055
127,-0.4543
128,-0.4891
129,-0.486
130,-0.4954
131,-0.4973
132,-0.4939
133,-0.487
134,-0.4772
135,-0.4642
136,-0.4517
137,-0.4504
138,-0.458
139,-0.4667
140,-0.473
141,-0.4729
142,-0.4693
143,-0.4696
144,-0.476
145,-0.4881
146,-0.5044
147,-0.5219
148,-0.5368
149,-0.548
150,-0.538
151,-0.5423
152,-0.5237
153,-0.5124
154,-0.4963
155,-0.4754
156,-0.4511
157,-0.427
158,-0.4083
159,-0.3963
160,-0.391
161,-0.3874
162,-0.3783
163,-0.3662
164,-0.3583
165,-0.3517
166,-0.3437
167,-0.3401
168,-0.3446
169,-0.3543
170,-0.3673
171,-0.3823
172,-0.3994
173,-0.4174
174,-0.4347
175,-0.4545
176,-0.4773
177,-0.5011
178,-0.5252
179,-0.5475
180,-0.5672
181,-0.5844
182,-0.5991
183,-0.6119
184,-0.6231
185,-0.6303
186,-0.633
187,-0.6341
188,-0.6354
189,-0.6361
190,-0.6333
191,-0.6261
192,-0.6186
193,-0.6155
194,-0.613
195,-0.6059
196,-0.5951
197,-0.586
198,-0.58
199,-0.5733
200,-0.5635
201,-0.5524
202,-0.5417
203,-0.5174
204,-0.5129
205,-0.5149
206,-0.5208
207,-0.5258
208,-0.5299
209,-0.5336
210,-0.5236
211,-0.5286
212,-0.5361
213,-0.5449
214,-0.5534
215,-0.5642
216,-0.5775
217,-0.5903
218,-0.6015
219,-0.6076
220,-0.6054
221,-0.5941
222,-0.5732
223,-0.5472
224,-0.5225
225,-0.5038
226,-0.4912
227,-0.4799
228,-0.4718
229,-0.4542
230,-0.4529
231,-0.4499
232,-0.4449
233,-0.441
234,-0.3973
235,-0.4006
236,-0.4005
237,-0.3959
238,-0.3938
239,-0.3959
240,-0.3686
241,-0.3795
242,-0.3943
243,-0.411
244,-0.4246
245,-0.4325
246,-0.4229
247,-0.4269
248,-0.4155
249,-0.4178
250,-0.4205
251,-0.4202
252,-0.4379
253,-0.4606
254,-0.487
255,-0.5121
256,-0.5213
257,-0.5397
258,-0.5541
259,-0.5641
260,-0.5601
261,-0.5746
262,-0.5803
263,-0.5869
264,-0.594
265,-0.602
266,-0.6063
267,-0.5934
268,-0.5541
269,-0.5384
