x,y
0,-0.8206
1,-0.8162
2,-0.8907
3,-0.8724
4,-0.8974
5,-0.9485
6,-0.9742
7,-0.9306
8,-0.8755
9,-0.8649
10,-0.8495
11,-0.8354
12,-0.838
13,-0.8071
14,-0.857
15,-0.8793
16,-0.836
17,-0.7553
18,-0.7176
19,-0.6953
20,-0.6484
21,-0.605
22,-0.5801
23,-0.6368
24,-0.5912
25,-0.4118
26,-0.2925
27,-0.4017
28,-0.6846
29,-0.7759
30,-0.9725
31,-1.117
32,-0.909
33,2.727
34,3.112
35,3.626
36,-1.389
37,-1.669
38,-1.43
39,-0.6226
40,-1.287
41,-1.093
42,-0.8985
43,-0.7034
44,-0.4616
45,-0.1885
46,0.1435
47,0.3768
48,1.142
49,1.353
50,1.539
51,0.9836
52,0.6933
53,1.116
54,1.428
55,-0.03547
56,0.7608
57,0.7252
58,0.6006
59,0.6478
60,0.503
61,0.488
62,0.4608
63,0.1828
64,-0.4712
65,-0.02148
66,0.1713
67,0.1989
68,0.053
69,-0.07662
70,-0.02666
71,0.08184
72,0.2659
73,0.3613
74,0.01539
75,0.4399
76,0.4376
77,0.5169
78,0.5884
79,0.5484
80,1.017
81,1.354
82,1.858
83,2.49
84,2.959
85,3.169
86,3.015
87,2.509
88,1.892
89,1.366
90,1.024
91,0.8243
92,0.6044
93,0.4306
94,0.2281
95,-0.08651
96,-0.2485
97,-0.189
98,-0.2813
99,-0.4773
100,-0.5293
101,-0.5244
102,-0.4933
103,-0.5577
104,-0.5953
105,-0.5382
106,-0.5476
107,-0.5634
108,-0.5498
109,-0.4092
110,-0.3634
111,-0.4452
112,-0.5503
113,-0.5317
114,-0.482
115,-0.4645
116,-0.481
117,-0.5246
118,-0.5134
119,-0.5264
120,-0.5315
121,-0.5762
122,-0.6137
123,-0.6477
124,-0.7088
125,-0.6794
126,-0.5846
127,-0.5012
128,-0.5243
129,-0.6017
130,-0.641
131,-0.6343
132,-0.5237
133,-0.5721
134,-0.5833
135,-0.547
136,-0.5744
137,-0.6683
138,-0.6832
139,-0.6427
140,-0.8171
141,-0.8289
142,-0.7143
143,-0.6674
144,-0.5965
145,-0.4741
146,-0.4778
147,-0.4523
148,-0.3767
149,-0.3331
150,-0.3906
151,-0.4867
152,-0.4423
153,-0.3545
154,-0.3524
155,-0.1477
156,-0.1431
157,-0.2884
158,-0.3202
159,-0.2043
160,-0.2017
161,-0.1806
162,-0.2194
163,-0.1187
164,-0.2275
165,-0.7294
166,-0.9348
167,-0.9602
168,-1.188
169,-1.17
170,-1.466
171,-1.2
172,-1.131
173,-1.106
174,-1.041
175,-0.6952
176,-0.5126
177,-0.2726
178,0.1771
179,0.4854
180,0.4088
181,0.2641
182,0.6353
183,2.027
184,1.276
185,1.015
186,0.8
187,0.7896
188,0.959
189,1.296
190,0.9259
191,0.7471
192,0.7511
193,0.7511
194,0.701
195,0.6729
196,0.6576
197,0.5552
198,0.3956
199,0.3233
200,0.4709
201,0.6688
202,0.4928
203,0.05024
204,-0.1244
205,0.105
206,0.3992
207,0.6634
208,0.9224
209,1.226
210,1.573
211,1.861
212,2.21
213,2.545
214,2.8
215,3.037
216,3.183
217,3.21
218,3.094
219,2.855
220,2.519
221,2.12
222,1.722
223,1.433
224,1.061
225,0.5755
226,0.6022
227,0.3795
228,-0.2893
229,-0.06466
230,-0.1475
231,-0.1011
232,-0.2915
233,-0.5882
234,-0.621
235,-0.5736
236,-0.5584
237,-0.4821
238,-0.4145
239,-0.4666
240,-0.5986
241,-0.6671
242,-0.5812
243,-0.6358
244,-0.6549
245,-0.6875
246,-0.739
247,-0.5197
248,-0.6816
249,-0.7004
250,-0.6603
251,-0.6285
252,-0.6732
253,-0.7354
254,-0.7376
255,-0.784
256,-0.8908
257,-0.9008
258,-0.8855
259,-0.8756
260,-0.8407
261,-0.8157
262,-0.7734
263,-0.8364
264,-0.8525
265,-0.8439
266,-0.8861
267,-0.9564
268,-0.9816
269,-0.9433
270,-0.8463
271,-0.8127
272,-0.7707
273,-0.72
274,-0.6624
275,-0.5295
276,-0.5191
277,-0.4988
278,-0.3021
279,-0.1699
280,-0.2717
281,-0.5839
282,-0.6437
283,-0.5055
284,-0.3831
285,-0.2911
286,-0.2192
287,-0.3537
288,-0.4147
289,-0.2164
290,-0.1744
291,-0.4194
292,-0.3738
293,-0.3567
294,-0.6204
295,-0.9708
296,-1.183
297,-1.427
298,-1.54
299,-1.529
300,-1.454
301,-1.383
302,-1.282
303,-1.047
304,-0.8093
305,-0.5773
306,-0.3547
307,-0.1843
308,0.0618
309,0.354
310,0.5727
311,0.76
312,0.8728
313,0.9402
314,1.027
315,0.9918
316,0.9251
317,0.7993
318,0.6857
319,0.5598
320,0.5683
321,0.6486
322,0.6586
323,0.601
324,0.6195
325,0.5512
326,0.571
327,0.6811
328,0.4669
329,0.3739
330,0.2785
331,0.3109
332,0.2993
333,0.2836
334,0.2571
335,0.2783
336,0.4411
337,0.9069
338,1.158
339,1.441
340,1.643
341,1.778
342,2.001
