x,y
0,-0.2867
1,-0.341
2,-0.3885
3,-0.4267
4,-0.4581
5,-0.4717
6,-0.4986
7,-0.5254
8,-0.5354
9,-0.5456
10,-0.5538
11,-0.5677
12,-0.5788
13,-0.589
14,-0.591
15,-0.6028
16,-0.6086
17,-0.6096
18,-0.6434
19,-0.62
20,-0.6444
21,-0.6426
22,-0.6486
23,-0.659
24,-0.6793
25,-0.692
26,-0.7171
27,-0.7216
28,-0.7164
29,-0.7195
30,-0.7178
31,-0.7151
32,-0.7344
33,-0.7384
34,-0.7361
35,-0.7296
36,-0.7271
37,-0.7175
38,-0.7093
39,-0.7091
40,-0.7076
41,-0.7113
42,-0.7106
43,-0.7233
44,-0.7353
45,-0.7254
46,-0.7132
47,-0.6854
48,-0.6813
49,-0.6697
50,-0.677
51,-0.665
52,-0.6602
53,-0.6433
54,-0.6513
55,-0.6283
56,-0.619
57,-0.6027
58,-0.6151
59,-0.6242
60,-0.6276
61,-0.6566
62,-0.6804
63,-0.709
64,-0.7501
65,-0.7701
66,-0.8411
67,-0.8636
68,-0.851
69,-0.7737
70,-0.7312
71,-0.6596
72,-0.6184
73,-0.5034
74,-0.3642
75,-0.1762
76,-0.05359
77,0.1159
78,0.2694
79,0.3694
80,0.4543
81,0.5435
82,0.5768
83,0.6573
84,0.6902
85,0.6931
86,0.6989
87,0.6659
88,0.6314
89,0.6149
90,0.6207
91,0.5836
92,0.5826
93,0.5526
94,0.5132
95,0.4775
96,0.509
97,0.5088
98,0.5248
99,0.5394
100,0.5474
101,0.5939
102,0.6516
103,0.7245
104,0.8154
105,0.9052
106,1.047
107,1.187
108,1.37
109,1.585
110,1.825
111,2.091
112,2.354
113,2.6
114,2.818
115,2.995
116,3.143
117,3.233
118,3.242
119,3.181
120,3.043
121,2.839
122,2.596
123,2.338
124,2.057
125,1.756
126,1.475
127,1.223
128,0.9855
129,0.7672
130,0.5649
131,0.352
132,0.1448
133,-0.02794
134,-0.1582
135,-0.2647
136,-0.3661
137,-0.4655
138,-0.5343
139,-0.5923
140,-0.6378
141,-0.6668
142,-0.694
143,-0.721
144,-0.7431
145,-0.7571
146,-0.7702
147,-0.7814
148,-0.7968
149,-0.7913
150,-0.8039
151,-0.8135
152,-0.8041
153,-0.8019
154,-0.7968
155,-0.7971
156,-0.8064
157,-0.8153
158,-0.8165
159,-0.8224
160,-0.8213
161,-0.8256
162,-0.8225
163,-0.8228
164,-0.8126
165,-0.8078
166,-0.8049
167,-0.8116
168,-0.8084
169,-0.7999
170,-0.7949
171,-0.7987
172,-0.8096
173,-0.8191
174,-0.8113
175,-0.8142
176,-0.8141
177,-0.8032
178,-0.7926
179,-0.7803
180,-0.7702
181,-0.7527
182,-0.7381
183,-0.7192
184,-0.6871
185,-0.6418
186,-0.6155
187,-0.5782
188,-0.5506
189,-0.5101
190,-0.4864
191,-0.4804
192,-0.4605
193,-0.4421
194,-0.4294
195,-0.4307
196,-0.4238
197,-0.4376
198,-0.4647
199,-0.5184
200,-0.6014
201,-0.6875
202,-0.7555
203,-0.8139
204,-0.8706
205,-0.9193
206,-0.9642
207,-0.913
208,-0.8045
209,-0.6738
210,-0.4926
211,-0.3112
212,-0.1527
213,0.02784
214,0.1907
215,0.339
216,0.4373
217,0.5426
218,0.6265
219,0.6953
220,0.7054
221,0.7268
222,0.7239
223,0.6779
224,0.6474
225,0.6188
226,0.5791
227,0.5328
228,0.5012
229,0.4791
230,0.4422
231,0.4388
232,0.4066
233,0.3572
234,0.339
235,0.3561
236,0.3401
237,0.3405
238,0.3528
239,0.3822
240,0.4111
241,0.4941
242,0.6129
243,0.7696
244,0.9515
245,1.168
246,1.422
247,1.686
248,1.948
249,2.224
250,2.483
251,2.725
252,2.927
253,3.07
254,3.098
255,3.046
256,2.917
257,2.745
258,2.55
259,2.339
260,2.075
261,1.844
262,1.624
263,1.405
264,1.168
265,0.9946
266,0.8017
267,0.5975
268,0.4521
269,0.3121
270,0.1512
271,0.03198
272,-0.09945
273,-0.1958
274,-0.2898
275,-0.3166
276,-0.369
277,-0.4138
278,-0.4586
279,-0.4959
280,-0.5343
281,-0.5488
282,-0.5701
283,-0.5733
284,-0.5729
285,-0.5938
286,-0.5922
287,-0.5917
288,-0.5885
289,-0.5945
290,-0.6021
291,-0.6003
292,-0.5811
293,-0.5469
294,-0.5416
295,-0.5373
296,-0.5476
297,-0.5471
298,-0.5176
299,-0.5248
300,-0.5302
301,-0.5304
302,-0.5317
303,-0.5335
304,-0.5188
305,-0.5234
306,-0.5228
307,-0.5246
308,-0.5201
309,-0.4986
310,-0.4942
311,-0.4928
312,-0.4889
313,-0.4822
314,-0.4536
315,-0.4304
316,-0.4183
317,-0.3955
318,-0.3724
319,-0.3606
320,-0.3513
321,-0.3382
322,-0.3224
323,-0.3149
324,-0.3156
325,-0.3047
326,-0.3002
327,-0.2832
328,-0.2627
329,-0.2444
330,-0.2673
331,-0.2538
332,-0.2608
333,-0.2621
334,-0.2641
335,-0.288
336,-0.3047
337,-0.3103
338,-0.3424
339,-0.3703
340,-0.3729
341,-0.3471
342,-0.3342
