x,y
0,-0.1103
1,-0.1301
2,-0.1564
3,-0.163
4,-0.1762
5,-0.2091
6,-0.1235
7,-0.1038
8,-0.06426
9,-0.06426
10,-0.1235
11,-0.005025
12,0.0608
13,0.153
14,0.1859
15,0.2122
16,0.199
17,0.2385
18,0.2188
19,0.2385
20,0.2451
21,0.199
22,0.153
23,0.09371
24,0.03447
25,-0.04452
26,-0.005025
27,-0.01819
28,-0.1564
29,-0.2157
30,-0.3012
31,-0.3407
32,-0.3341
33,-0.3407
34,-0.2946
35,-0.3802
36,-0.4263
37,-0.3539
38,-0.4263
39,-0.4197
40,-0.4723
41,-0.4658
42,-0.5184
43,-0.5119
44,-0.5843
45,-0.5974
46,-0.5711
47,-0.7159
48,-0.6764
49,-0.6961
50,-0.7093
51,-0.7027
52,-0.6764
53,-0.5908
54,-0.5974
55,-0.6303
56,-0.5448
57,-0.6501
58,-0.5382
59,-0.5382
60,-0.5843
61,-0.5316
62,-0.5053
63,-0.4987
64,-0.5777
65,-0.4987
66,-0.5843
67,-0.6237
68,-0.6566
69,-0.8146
70,-0.7883
71,-0.8409
72,-0.8475
73,-0.8936
74,-0.9923
75,-0.9528
76,-1.045
77,-1.019
78,-0.9858
79,-0.9397
80,-0.8936
81,-1.012
82,-0.9594
83,-1.032
84,-0.9858
85,-1.006
86,-0.9923
87,-0.9528
88,-1.006
89,-0.9265
90,-0.8673
91,-0.8541
92,-0.8212
93,-0.8475
94,-0.808
95,-0.8015
96,-0.9199
97,-0.887
98,-0.9133
99,-0.9858
100,-0.9792
101,-1.019
102,-1.085
103,-1.177
104,-1.183
105,-1.223
106,-1.236
107,-1.236
108,-1.236
109,-1.196
110,-1.144
111,-1.163
112,-1.111
113,-1.058
114,-1.032
115,-1.019
116,-1.032
117,-1.065
118,-1.025
119,-1.091
120,-1.15
121,-1.124
122,-1.15
123,-1.177
124,-1.091
125,-1.131
126,-1.065
127,-1.032
128,-1.012
129,-0.9331
130,-1.006
131,-0.9133
132,-0.9726
133,-0.9265
134,-0.887
135,-0.9528
136,-0.8936
137,-0.9199
138,-0.8739
139,-0.8015
140,-0.8804
141,-0.7817
142,-0.8146
143,-0.8475
144,-0.8936
145,-0.8804
146,-0.9199
147,-1.006
148,-0.9463
149,-0.966
150,-0.9923
151,-0.9594
152,-0.9528
153,-0.8804
154,-0.9397
155,-0.9528
156,-0.8673
157,-0.9331
158,-0.9002
159,-0.8607
160,-0.9133
161,-0.8212
162,-0.8804
163,-0.9463
164,-0.9199
165,-0.9002
166,-0.8936
167,-0.8475
168,-0.9199
169,-0.9594
170,-0.9923
171,-0.9923
172,-0.9726
173,-1.052
174,-0.9858
175,-1.045
176,-1.038
177,-1.032
178,-1.052
179,-1.019
180,-1.078
181,-1.025
182,-1.032
183,-1.071
184,-0.9792
185,-1.038
186,-0.9002
187,-0.9463
188,-0.9726
189,-0.9002
190,-0.9068
191,-0.9002
192,-0.9923
193,-0.9792
194,-0.966
195,-0.9858
196,-0.9792
197,-0.9726
198,-0.9594
199,-0.9792
200,-1.045
201,-0.9923
202,-0.9528
203,-1.058
204,-1.038
205,-1.157
206,-1.19
207,-1.131
208,-1.315
209,-1.242
210,-1.394
211,-1.466
212,-1.4
213,-1.519
214,-1.558
215,-1.624
216,-1.637
217,-1.743
218,-1.697
219,-1.67
220,-1.894
221,-1.973
222,-1.98
223,-1.71
224,-1.96
225,-2.098
226,-2.249
227,-2.032
228,-2.184
229,-2.23
230,-2.164
231,-2.256
232,-2.388
233,-2.256
234,-1.855
235,-2.434
236,-2.348
237,-2.381
238,-2.473
239,-2.309
240,-2.434
241,-2.414
242,-2.335
243,-2.454
244,-2.381
245,-2.401
246,-2.408
247,-2.381
248,-2.414
249,-2.375
250,-2.282
251,-2.309
252,-2.361
253,-2.296
254,-2.243
255,-2.144
256,-2.078
257,-2.072
258,-1.986
259,-1.966
260,-1.848
261,-1.302
262,-1.262
263,-1.269
264,-1.262
265,-1.196
266,-1.144
267,-1.032
268,-0.9331
269,-0.9989
270,-0.9726
271,-0.966
272,-1.131
273,-1.163
274,-1.131
275,-1.144
276,-1.131
277,-1.078
278,-1.065
279,-1.065
280,-0.9989
281,-0.9199
282,-0.9002
283,-0.8804
284,-0.7817
285,-0.7751
286,-0.7225
287,-0.7225
288,-0.6501
289,-0.6896
290,-0.7027
291,-0.7225
292,-0.729
293,-0.6303
294,-0.7225
295,-0.7422
296,-0.7159
297,-0.5974
298,-0.6303
299,-0.6172
300,-0.6896
301,-0.7225
302,-0.7356
303,-0.729
304,-0.7883
305,-0.7093
306,-0.7027
307,-0.6961
308,-0.6501
309,-0.5974
310,-0.604
311,-0.5711
312,-0.4526
313,-0.4592
314,-0.4394
315,-0.4394
316,-0.3539
317,-0.3736
318,-0.3605
319,-0.3341
320,-0.3341
321,-0.2683
322,-0.1827
323,-0.1762
324,-0.1432
325,-0.1498
326,-0.1169
327,-0.07743
328,-0.03794
329,0.0213
330,0.04105
331,0.04763
332,0.03447
333,0.01472
334,-0.005025
335,0.008139
336,-0.03135
337,0.02789
338,0.05421
339,0.01472
340,-0.005025
341,-0.03794
342,-0.03794
343,-0.0511
344,-0.06426
345,-0.163
346,-0.04452
347,-0.1038
348,-0.1169
349,-0.03794
350,-0.06426
351,-0.03135
352,0.02789
353,0.05421
354,0.12
355,0.08712
356,0.2583
357,0.2912
358,0.2648
359,0.2978
360,0.4557
361,0.4755
362,0.482
363,0.3636
364,0.3701
365,0.278
366,0.3307
367,0.3175
368,0.3965
369,0.3701
370,0.4228
371,0.3899
372,0.3372
373,0.3767
374,0.3833
375,0.3899
376,0.357
377,0.3701
378,0.4426
379,0.4426
