x,y
0,1.729
1,1.725
2,1.722
3,1.718
4,1.714
5,1.71
6,1.706
7,1.702
8,1.698
9,1.694
10,1.691
11,1.687
12,1.683
13,1.679
14,1.675
15,1.671
16,1.668
17,1.664
18,1.66
19,1.656
20,1.652
21,1.648
22,1.645
23,1.641
24,1.637
25,1.633
26,1.629
27,1.625
28,1.622
29,1.617
30,1.614
31,1.61
32,1.606
33,1.602
34,1.598
35,1.595
36,1.591
37,1.587
38,1.583
39,1.579
40,1.575
41,1.572
42,1.567
43,1.564
44,1.56
45,1.556
46,1.552
47,1.548
48,1.545
49,1.541
50,1.537
51,1.533
52,1.529
53,1.525
54,1.521
55,1.518
56,1.514
57,1.51
58,1.506
59,1.502
60,1.498
61,1.495
62,1.491
63,1.487
64,1.483
65,1.479
66,1.476
67,1.471
68,1.468
69,1.464
70,1.46
71,1.456
72,1.452
73,1.448
74,1.445
75,1.44
76,1.437
77,1.433
78,1.429
79,1.425
80,1.421
81,1.418
82,1.414
83,1.41
84,1.406
85,1.402
86,1.398
87,1.395
88,1.391
89,1.387
90,1.383
91,1.379
92,1.375
93,1.371
94,1.368
95,1.364
96,1.36
97,1.356
98,1.352
99,1.349
100,1.344
101,1.341
102,1.337
103,1.333
104,1.329
105,1.325
106,1.321
107,1.318
108,1.313
109,1.31
110,1.306
111,1.302
112,1.298
113,1.294
114,1.291
115,1.287
116,1.283
117,1.279
118,1.275
119,1.272
120,1.268
121,1.264
122,1.26
123,1.256
124,1.252
125,1.248
126,1.244
127,1.241
128,1.237
129,1.233
130,1.229
131,1.225
132,1.222
133,1.217
134,1.214
135,1.21
136,1.206
137,1.202
138,1.198
139,1.194
140,1.191
141,1.187
142,1.183
143,1.179
144,1.175
145,1.171
146,1.167
147,1.164
148,1.16
149,1.156
150,1.152
151,1.148
152,1.145
153,1.141
154,1.137
155,1.133
156,1.129
157,1.125
158,1.121
159,1.117
160,1.114
161,1.11
162,1.106
163,1.102
164,1.098
165,1.095
166,1.091
167,1.087
168,1.083
169,1.079
170,1.075
171,1.071
172,1.067
173,1.064
174,1.06
175,1.056
176,1.052
177,1.048
178,1.045
179,1.04
180,1.037
181,1.033
182,1.029
183,1.025
184,1.021
185,1.018
186,1.014
187,1.01
188,1.006
189,1.002
190,0.9983
191,0.9946
192,0.9904
193,0.9867
194,0.9829
195,0.9792
196,0.975
197,0.9713
198,0.9675
199,0.9638
200,0.9596
201,0.9559
202,0.9521
203,0.9484
204,0.9442
205,0.9405
206,0.9367
207,0.933
208,0.9288
209,0.9251
210,0.9213
211,0.9176
212,0.9138
213,0.9097
214,0.9059
215,0.9022
216,0.8984
217,0.8943
218,0.8905
219,0.8868
220,0.883
221,0.8789
222,0.8751
223,0.8714
224,0.8676
225,0.8635
226,0.8597
227,0.856
228,0.8522
229,0.848
230,0.8443
231,0.8406
232,0.8368
233,0.8327
234,0.8289
235,0.8252
236,0.8214
237,0.8177
238,0.8135
239,0.8097
240,0.806
241,0.8023
242,0.7981
243,0.7944
244,0.7906
245,0.7869
246,0.7827
247,0.7789
248,0.7752
249,0.7714
250,0.7673
251,0.7635
252,0.7598
253,0.756
254,0.7519
255,0.7481
256,0.7444
257,0.7406
258,0.7365
259,0.7327
260,0.729
261,0.7252
262,0.7215
263,0.7173
264,0.7136
265,0.7098
266,0.7061
267,0.7019
268,0.6982
269,0.6944
270,0.6907
271,0.6865
272,0.6828
273,0.679
274,0.6753
275,0.6711
276,0.6674
277,0.6636
278,0.6599
279,0.6557
280,0.652
281,0.6482
282,0.6445
283,0.6403
284,0.6366
285,0.6328
286,0.6291
287,0.6253
288,0.6211
289,0.6174
290,0.6137
291,0.6099
292,0.6058
293,0.602
294,0.5982
295,0.5945
296,0.5903
297,0.5866
298,0.5828
299,0.5791
300,0.5749
301,0.5712
302,0.5675
303,0.5637
304,0.5595
305,0.5558
306,0.552
307,0.5483
308,0.5441
309,0.5404
310,0.5366
311,0.5329
312,0.5291
313,0.525
314,0.5212
315,0.5175
316,0.5137
317,0.5096
318,0.5058
319,0.5021
320,0.4983
321,0.4942
322,0.4904
323,0.4867
324,0.4829
325,0.4788
326,0.475
327,0.4713
328,0.4675
329,0.4634
330,0.4596
331,0.4559
332,0.4521
333,0.448
334,0.4442
335,0.4405
336,0.4367
337,0.433
338,0.4288
339,0.4251
340,0.4213
341,0.4176
342,0.4134
343,0.4097
344,0.4059
345,0.4022
346,0.398
347,0.3942
348,0.3905
349,0.3868
350,0.3826
351,0.3789
352,0.3751
353,0.3714
354,0.3672
355,0.3634
356,0.3597
357,0.3559
358,0.3518
359,0.348
360,0.3443
361,0.3406
362,0.3368
363,0.3326
364,0.3289
365,0.3251
366,0.3214
367,0.3172
368,0.3135
369,0.3097
370,0.306
371,0.3018
372,0.2981
373,0.2943
374,0.2906
375,0.2864
376,0.2827
377,0.2789
378,0.2752
379,0.271
380,0.2673
381,0.2635
382,0.2598
383,0.2556
384,0.2519
385,0.2481
386,0.2444
387,0.2406
388,0.2365
389,0.2327
390,0.229
391,0.2252
392,0.2211
393,0.2173
394,0.2136
395,0.2098
396,0.2057
397,0.2019
398,0.1982
399,0.1944
400,0.1903
401,0.1865
402,0.1828
403,0.179
404,0.1749
405,0.1711
406,0.1674
407,0.1636
408,0.1595
409,0.1557
410,0.152
411,0.1482
412,0.1445
413,0.1403
414,0.1366
415,0.1328
416,0.129
417,0.1249
418,0.1211
419,0.1174
420,0.1137
421,0.1095
422,0.1057
423,0.102
424,0.09824
425,0.09408
426,0.09033
427,0.08659
428,0.08284
429,0.07868
430,0.07493
431,0.07118
432,0.06744
433,0.06327
434,0.05953
435,0.05578
436,0.05203
437,0.04829
438,0.04412
439,0.04038
440,0.03663
441,0.03288
442,0.02872
443,0.02497
444,0.02122
445,0.01748
446,0.01331
447,0.009567
448,0.00582
449,0.002073
450,-0.00209
451,-0.005837
452,-0.009584
453,-0.01333
454,-0.01749
455,-0.02124
456,-0.02499
457,-0.02874
458,-0.0329
459,-0.03664
460,-0.04039
461,-0.04414
462,-0.04789
463,-0.05205
464,-0.0558
465,-0.05954
466,-0.06329
467,-0.06745
468,-0.0712
469,-0.07495
470,-0.07869
471,-0.08286
472,-0.08661
473,-0.09035
474,-0.0941
475,-0.09826
476,-0.102
477,-0.1058
478,-0.1095
479,-0.1137
480,-0.1174
481,-0.1212
482,-0.1249
483,-0.1291
484,-0.1328
485,-0.1366
486,-0.1403
487,-0.1441
488,-0.1482
489,-0.152
490,-0.1557
491,-0.1595
492,-0.1636
493,-0.1674
494,-0.1711
495,-0.1749
496,-0.179
497,-0.1828
498,-0.1865
499,-0.1903
500,-0.1944
501,-0.1982
502,-0.2019
503,-0.2057
504,-0.2098
505,-0.2136
506,-0.2173
507,-0.2211
508,-0.2252
509,-0.229
510,-0.2327
511,-0.2365
512,-0.2402
513,-0.2444
514,-0.2481
515,-0.2519
516,-0.2556
517,-0.2598
518,-0.2635
519,-0.2673
520,-0.271
521,-0.2752
522,-0.2789
523,-0.2827
524,-0.2864
525,-0.2906
526,-0.2944
527,-0.2981
528,-0.3019
529,-0.306
530,-0.3098
531,-0.3135
532,-0.3172
533,-0.3214
534,-0.3252
535,-0.3289
536,-0.3327
537,-0.3364
538,-0.3406
539,-0.3443
540,-0.3481
541,-0.3518
542,-0.356
543,-0.3597
544,-0.3635
545,-0.3672
546,-0.3714
547,-0.3751
548,-0.3789
549,-0.3826
550,-0.3868
551,-0.3905
552,-0.3943
553,-0.398
554,-0.4022
555,-0.4059
556,-0.4097
557,-0.4134
558,-0.4176
559,-0.4213
560,-0.4251
561,-0.4288
562,-0.4326
563,-0.4367
564,-0.4405
565,-0.4442
566,-0.448
567,-0.4521
568,-0.4559
