x,y
0,-0.3648
1,-0.3648
2,-0.3648
3,-0.3648
4,-0.3648
5,-0.3648
6,-0.3648
7,-0.3648
8,-0.3648
9,-0.3648
10,-0.3648
11,-0.3648
12,-0.3648
13,-0.3648
14,-0.3648
15,-0.3648
16,-0.3648
17,-0.3648
18,-0.3648
19,-0.3648
20,-0.3648
21,-0.3648
22,-0.3648
23,-0.3648
24,-0.3648
25,-0.3648
26,-0.3648
27,-0.3648
28,-0.3648
29,-0.3648
30,-0.3648
31,-0.3648
32,-0.3648
33,-0.3648
34,-0.3648
35,-0.3648
36,-0.3648
37,-0.3648
38,-0.3648
39,-0.3648
40,-0.3648
41,-0.3648
42,-0.3648
43,-0.3648
44,-0.3648
45,-0.3648
46,-0.3648
47,-0.3648
48,-0.3648
49,-0.3648
50,-0.3648
51,-0.3648
52,-0.3648
53,-0.3648
54,-0.3648
55,-0.3648
56,-0.3648
57,-0.3648
58,-0.3648
59,-0.3648
60,-0.3648
61,-0.3648
62,-0.3648
63,-0.3648
64,-0.3648
65,-0.3648
66,-0.3648
67,-0.3648
68,-0.3648
69,-0.3648
70,-0.3648
71,-0.3648
72,-0.3648
73,-0.3648
74,-0.3648
75,-0.3822
76,-0.4556
77,-0.5347
78,-0.6235
79,-0.7123
80,-0.8012
81,-0.89
82,-0.9788
83,-1.068
84,-1.157
85,-1.245
86,-1.334
87,-1.423
88,-1.508
89,-1.574
90,-1.633
91,-1.678
92,-1.722
93,-1.767
94,-1.811
95,-1.855
96,-1.874
97,-1.879
98,-1.881
99,-1.881
100,-1.881
101,-1.88
102,-1.875
103,-1.867
104,-1.845
105,-1.823
106,-1.8
107,-1.778
108,-1.756
109,-1.696
110,-1.612
111,-1.492
112,-1.358
113,-1.225
114,-1.092
115,-0.9586
116,-0.8229
117,-0.6694
118,-0.5154
119,-0.3599
120,-0.2045
121,-0.04903
122,0.1035
123,0.2531
124,0.3922
125,0.5255
126,0.6587
127,0.792
128,0.9252
129,1.058
130,1.178
131,1.296
132,1.407
133,1.518
134,1.629
135,1.74
136,1.851
137,1.938
138,2.007
139,2.074
140,2.141
141,2.207
142,2.274
143,2.328
144,2.378
145,2.401
146,2.423
147,2.445
148,2.467
149,2.489
150,2.484
151,2.448
152,2.394
153,2.327
154,2.26
155,2.194
156,2.127
157,2.061
158,1.994
159,1.927
160,1.861
161,1.794
162,1.728
163,1.661
164,1.594
165,1.528
166,1.461
167,1.394
168,1.328
169,1.261
170,1.195
171,1.156
172,1.121
173,1.099
174,1.077
175,1.055
176,1.032
177,1.01
178,0.9879
179,0.9657
180,0.9435
181,0.9213
182,0.8991
183,0.8769
184,0.8475
185,0.8166
186,0.7726
187,0.7282
188,0.6838
189,0.6394
190,0.595
191,0.5506
192,0.5061
193,0.4617
194,0.4173
195,0.3729
196,0.3285
197,0.2855
198,0.243
199,0.2184
200,0.1962
201,0.174
202,0.1518
203,0.1296
204,0.1074
205,0.08518
206,0.06297
207,0.04077
208,0.01856
209,-0.003648
210,-0.02586
211,-0.04806
212,-0.07027
213,-0.09248
214,-0.1147
215,-0.1369
216,-0.1591
217,-0.1813
218,-0.2035
219,-0.2257
220,-0.2479
221,-0.2701
222,-0.2923
223,-0.3145
224,-0.3367
225,-0.3514
226,-0.363
227,-0.3648
228,-0.3648
229,-0.3648
230,-0.3648
231,-0.3648
232,-0.3735
233,-0.4102
234,-0.4497
235,-0.4941
236,-0.5385
237,-0.583
238,-0.6249
239,-0.6655
240,-0.6921
241,-0.7143
242,-0.7365
243,-0.7587
244,-0.7809
245,-0.8013
246,-0.8119
247,-0.8195
248,-0.8195
249,-0.8195
250,-0.8195
251,-0.8195
252,-0.8195
253,-0.8064
254,-0.7871
255,-0.7654
256,-0.7432
257,-0.721
258,-0.6988
259,-0.6766
260,-0.6544
261,-0.6322
262,-0.61
263,-0.5878
264,-0.5656
265,-0.5434
266,-0.5212
267,-0.499
268,-0.4768
269,-0.4546
270,-0.4323
271,-0.4101
272,-0.3879
273,-0.3633
274,-0.3208
275,-0.2779
276,-0.2334
277,-0.189
278,-0.1446
279,-0.1002
280,-0.05579
281,-0.01137
282,0.03304
283,0.07746
284,0.1219
285,0.1663
286,0.2107
287,0.2551
288,0.2995
289,0.3439
290,0.3884
291,0.4328
292,0.4772
293,0.5216
294,0.5422
295,0.5442
296,0.5448
297,0.5448
298,0.5448
299,0.5448
300,0.5448
301,0.5448
302,0.5448
303,0.5448
304,0.5448
305,0.5448
306,0.5448
307,0.5517
308,0.5662
309,0.5853
310,0.6075
311,0.6297
312,0.652
313,0.6742
314,0.6964
