x,y
0,-0.07617
1,-0.0776
2,-0.07789
3,-0.07263
4,-0.06692
5,-0.06087
6,-0.05199
7,-0.0489
8,-0.05294
9,-0.0715
10,-0.08698
11,-0.1126
12,-0.1374
13,-0.162
14,-0.2006
15,-0.2367
16,-0.2814
17,-0.3243
18,-0.3699
19,-0.4223
20,-0.4776
21,-0.5504
22,-0.6196
23,-0.6987
24,-0.7876
25,-0.8672
26,-0.9427
27,-1.018
28,-1.097
29,-1.181
30,-1.268
31,-1.356
32,-1.448
33,-1.536
34,-1.625
35,-1.713
36,-1.798
37,-1.879
38,-1.955
39,-2.028
40,-2.096
41,-2.157
42,-2.206
43,-2.247
44,-2.278
45,-2.3
46,-2.315
47,-2.321
48,-2.317
49,-2.299
50,-2.262
51,-2.205
52,-2.123
53,-2.021
54,-1.906
55,-1.778
56,-1.635
57,-1.48
58,-1.304
59,-1.107
60,-0.8867
61,-0.6463
62,-0.3884
63,-0.1212
64,0.1487
65,0.4176
66,0.6775
67,0.9274
68,1.165
69,1.391
70,1.592
71,1.772
72,1.927
73,2.063
74,2.183
75,2.278
76,2.349
77,2.398
78,2.405
79,2.413
80,2.401
81,2.379
82,2.34
83,2.288
84,2.224
85,2.148
86,2.065
87,1.98
88,1.896
89,1.807
90,1.719
91,1.63
92,1.543
93,1.464
94,1.389
95,1.327
96,1.256
97,1.197
98,1.14
99,1.084
100,1.017
101,0.9634
102,0.9055
103,0.8398
104,0.7783
105,0.7192
106,0.6629
107,0.6116
108,0.5659
109,0.5175
110,0.4677
111,0.417
112,0.3668
113,0.3112
114,0.2716
115,0.2386
116,0.2149
117,0.197
118,0.1837
119,0.1764
120,0.1707
121,0.171
122,0.1642
123,0.1555
124,0.1448
125,0.1336
126,0.1207
127,0.1096
128,0.09994
129,0.08731
130,0.0685
131,0.04999
132,0.02011
133,-0.01343
134,-0.05154
135,-0.09786
136,-0.147
137,-0.2035
138,-0.2625
139,-0.3162
140,-0.3669
141,-0.4062
142,-0.4299
143,-0.4409
144,-0.4374
145,-0.4299
146,-0.4095
147,-0.388
148,-0.3612
149,-0.3364
150,-0.3163
151,-0.293
152,-0.278
153,-0.2535
154,-0.2432
155,-0.2365
156,-0.2307
157,-0.2172
158,-0.2034
159,-0.184
160,-0.1739
161,-0.1584
162,-0.1396
163,-0.1206
164,-0.09408
165,-0.08122
166,-0.05726
167,-0.02945
168,0.005253
169,0.03841
170,0.07047
171,0.1001
172,0.1297
173,0.1591
174,0.1866
175,0.2156
176,0.239
177,0.2641
178,0.2918
179,0.3093
180,0.3403
181,0.3735
182,0.4093
183,0.4455
184,0.4781
185,0.522
186,0.5664
187,0.613
188,0.6593
189,0.7049
190,0.7496
191,0.7999
192,0.8492
193,0.9023
194,0.9517
195,1.001
196,1.048
197,1.092
198,1.131
199,1.17
200,1.208
201,1.234
202,1.256
203,1.272
204,1.281
205,1.282
206,1.273
207,1.257
208,1.235
209,1.201
210,1.152
211,1.092
212,1.016
213,0.9257
214,0.8143
215,0.6971
216,0.5655
217,0.43
218,0.2751
219,0.1146
220,-0.02239
221,-0.1668
222,-0.3103
223,-0.4698
224,-0.6062
225,-0.7243
226,-0.8465
227,-0.9478
228,-1.034
229,-1.107
230,-1.161
231,-1.191
232,-1.224
233,-1.252
234,-1.27
235,-1.281
236,-1.279
237,-1.271
238,-1.225
239,-1.201
240,-1.175
241,-1.14
242,-1.085
243,-1.025
244,-0.9623
245,-0.9102
246,-0.8393
247,-0.7623
248,-0.7209
249,-0.6648
250,-0.603
251,-0.5543
252,-0.478
253,-0.4321
254,-0.375
255,-0.3196
256,-0.2621
257,-0.207
258,-0.1622
259,-0.1328
260,-0.1032
261,-0.08215
262,-0.07133
263,-0.05121
264,-0.03624
265,-0.01965
266,0.0007099
267,0.01636
268,0.0125
269,0.02266
270,0.03316
271,0.02863
272,0.0305
273,0.02938
274,0.03217
275,0.02822
276,0.02692
277,0.0264
278,0.02704
279,0.01949
280,0.01937
281,0.02184
282,0.02444
283,0.02716
284,0.0297
285,0.03226
286,0.03359
287,0.03291
288,0.03267
289,0.03359
290,0.03271
291,0.03101
292,0.02885
293,0.0268
294,0.02501
295,0.02243
296,0.0195
297,0.01643
298,0.01349
299,0.01176
300,0.008183
301,0.004606
302,0.001654
303,-0.002049
304,-0.001944
305,-0.007038
306,-0.009298
307,-0.01189
308,-0.01432
309,-0.01583
310,-0.01808
311,-0.01968
312,-0.019
313,-0.01994
314,-0.01949
