x,y
0,0.4961
1,0.4961
2,0.4961
3,0.4961
4,0.4961
5,0.4961
6,0.4961
7,0.4961
8,0.4961
9,0.4961
10,0.4961
11,0.4961
12,0.4961
13,0.4961
14,0.4961
15,0.4961
16,0.4961
17,0.4961
18,0.4961
19,0.4961
20,0.4961
21,0.4961
22,0.4961
23,0.4961
24,0.4961
25,0.4961
26,0.4961
27,0.4961
28,0.4961
29,0.4961
30,0.4961
31,0.4869
32,0.4569
33,0.427
34,0.3849
35,0.3421
36,0.3114
37,0.2893
38,0.2722
39,0.2722
40,0.2722
41,0.2722
42,0.2722
43,0.2722
44,0.2722
45,0.2722
46,0.2722
47,0.2722
48,0.2722
49,0.2722
50,0.2722
51,0.2722
52,0.2722
53,0.2722
54,0.2722
55,0.2722
56,0.2722
57,0.2722
58,0.2722
59,0.2722
60,0.2722
61,0.2722
62,0.2616
63,0.2445
64,0.2208
65,0.1781
66,0.1353
67,0.08313
68,0.02988
69,-0.04823
70,-0.1481
71,-0.2479
72,-0.3477
73,-0.4476
74,-0.5586
75,-0.6722
76,-0.786
77,-0.9001
78,-1.012
79,-1.105
80,-1.198
81,-1.285
82,-1.371
83,-1.445
84,-1.5
85,-1.555
86,-1.584
87,-1.612
88,-1.635
89,-1.655
90,-1.668
91,-1.668
92,-1.668
93,-1.668
94,-1.668
95,-1.668
96,-1.668
97,-1.668
98,-1.668
99,-1.668
100,-1.668
101,-1.668
102,-1.668
103,-1.668
104,-1.668
105,-1.668
106,-1.668
107,-1.668
108,-1.668
109,-1.663
110,-1.65
111,-1.637
112,-1.609
113,-1.58
114,-1.545
115,-1.506
116,-1.457
117,-1.386
118,-1.315
119,-1.244
120,-1.173
121,-1.11
122,-1.053
123,-0.9957
124,-0.9386
125,-0.8816
126,-0.8345
127,-0.7889
128,-0.7447
129,-0.7019
130,-0.6641
131,-0.6546
132,-0.6451
133,-0.6544
134,-0.6686
135,-0.6874
136,-0.7121
137,-0.738
138,-0.7808
139,-0.8236
140,-0.8603
141,-0.8946
142,-0.912
143,-0.8978
144,-0.8835
145,-0.8692
146,-0.855
147,-0.8573
148,-0.8697
149,-0.8825
150,-0.8968
151,-0.9111
152,-0.9161
153,-0.9202
154,-0.922
155,-0.922
156,-0.9233
157,-0.9304
158,-0.9376
159,-0.9505
160,-0.9648
161,-0.9754
162,-0.9815
163,-0.9857
164,-0.9715
165,-0.9572
166,-0.9415
167,-0.9254
168,-0.8992
169,-0.8564
170,-0.8136
171,-0.7708
172,-0.728
173,-0.6773
174,-0.6224
175,-0.5669
176,-0.5098
177,-0.4528
178,-0.4042
179,-0.3562
180,-0.3111
181,-0.2683
182,-0.2256
183,-0.1828
184,-0.14
185,-0.0972
186,-0.05441
187,-0.01302
188,0.02692
189,0.06539
190,0.09391
191,0.1224
192,0.151
193,0.1795
194,0.2137
195,0.2562
196,0.2988
197,0.3416
198,0.3844
199,0.4421
200,0.5068
201,0.5736
202,0.6449
203,0.7162
204,0.7649
205,0.8126
206,0.8488
207,0.8774
208,0.9025
209,0.9167
210,0.931
211,0.9202
212,0.9059
213,0.8942
214,0.885
215,0.8816
216,0.9102
217,0.9387
218,0.9672
219,0.9957
220,1.03
221,1.071
222,1.113
223,1.155
224,1.198
225,1.234
226,1.267
227,1.299
228,1.327
229,1.356
230,1.397
231,1.439
232,1.491
233,1.548
234,1.605
235,1.662
236,1.719
237,1.776
238,1.833
239,1.89
240,1.946
241,2
242,2.043
243,2.086
244,2.129
245,2.171
246,2.198
247,2.206
248,2.213
249,2.213
250,2.213
251,2.181
252,2.138
253,2.084
254,2.013
255,1.941
256,1.854
257,1.766
258,1.661
259,1.547
260,1.432
261,1.315
262,1.199
263,1.071
264,0.943
265,0.8146
266,0.6863
267,0.5668
268,0.479
269,0.3913
270,0.3055
271,0.2199
272,0.1603
273,0.127
274,0.09629
275,0.08203
276,0.06777
277,0.07062
278,0.07847
279,0.09486
280,0.1234
281,0.1517
282,0.1759
283,0.2002
284,0.2175
285,0.2318
286,0.2452
287,0.2571
288,0.269
289,0.2555
290,0.2413
291,0.227
292,0.2128
293,0.1954
294,0.1688
295,0.1422
296,0.1139
297,0.08536
298,0.04707
299,1.021e-05
300,-0.0487
301,-0.1057
302,-0.1628
303,-0.2248
304,-0.288
305,-0.3549
306,-0.4262
307,-0.4975
308,-0.5688
309,-0.6401
310,-0.7114
311,-0.7827
312,-0.854
313,-0.9253
314,-0.9967
