x,y
0,-0.07534
1,-0.07632
2,-0.08107
3,-0.08328
4,-0.08359
5,-0.08618
6,-0.08742
7,-0.08992
8,-0.09283
9,-0.09362
10,-0.09627
11,-0.1011
12,-0.105
13,-0.1107
14,-0.1151
15,-0.1146
16,-0.116
17,-0.1229
18,-0.1284
19,-0.1319
20,-0.1379
21,-0.1409
22,-0.1515
23,-0.1499
24,-0.1584
25,-0.1614
26,-0.1752
27,-0.1824
28,-0.1881
29,-0.1937
30,-0.2018
31,-0.2073
32,-0.2143
33,-0.218
34,-0.2245
35,-0.2361
36,-0.2449
37,-0.2515
38,-0.255
39,-0.2644
40,-0.2674
41,-0.2692
42,-0.2707
43,-0.2697
44,-0.2714
45,-0.2725
46,-0.275
47,-0.278
48,-0.2802
49,-0.284
50,-0.2868
51,-0.2947
52,-0.2976
53,-0.3045
54,-0.3058
55,-0.3095
56,-0.318
57,-0.3215
58,-0.3242
59,-0.3289
60,-0.3342
61,-0.3367
62,-0.3374
63,-0.3428
64,-0.3433
65,-0.3497
66,-0.356
67,-0.3617
68,-0.3675
69,-0.3814
70,-0.3872
71,-0.3932
72,-0.4037
73,-0.4098
74,-0.4165
75,-0.4249
76,-0.438
77,-0.4567
78,-0.4684
79,-0.4823
80,-0.4987
81,-0.5106
82,-0.529
83,-0.5495
84,-0.58
85,-0.5915
86,-0.6116
87,-0.6293
88,-0.645
89,-0.6719
90,-0.6888
91,-0.7114
92,-0.7327
93,-0.7538
94,-0.7746
95,-0.8033
96,-0.814
97,-0.8364
98,-0.8589
99,-0.8789
100,-0.9066
101,-0.9365
102,-0.9552
103,-0.9743
104,-0.9888
105,-1.001
106,-1.014
107,-1.023
108,-1.042
109,-1.058
110,-1.071
111,-1.08
112,-1.097
113,-1.111
114,-1.121
115,-1.141
116,-1.157
117,-1.17
118,-1.181
119,-1.194
120,-1.208
121,-1.222
122,-1.237
123,-1.245
124,-1.25
125,-1.254
126,-1.258
127,-1.263
128,-1.268
129,-1.272
130,-1.277
131,-1.281
132,-1.286
133,-1.287
134,-1.288
135,-1.289
136,-1.291
137,-1.291
138,-1.292
139,-1.29
140,-1.286
141,-1.279
142,-1.27
143,-1.261
144,-1.252
145,-1.242
146,-1.233
147,-1.223
148,-1.213
149,-1.202
150,-1.19
151,-1.177
152,-1.164
153,-1.147
154,-1.129
155,-1.111
156,-1.092
157,-1.071
158,-1.047
159,-1.023
160,-0.9967
161,-0.9682
162,-0.9392
163,-0.9088
164,-0.877
165,-0.8424
166,-0.8053
167,-0.7663
168,-0.7248
169,-0.6821
170,-0.6387
171,-0.5947
172,-0.5497
173,-0.5021
174,-0.453
175,-0.4028
176,-0.3513
177,-0.2982
178,-0.2439
179,-0.1893
180,-0.1346
181,-0.07871
182,-0.02265
183,0.03558
184,0.09374
185,0.1541
186,0.217
187,0.2805
188,0.3444
189,0.4073
190,0.4704
191,0.5334
192,0.5968
193,0.6585
194,0.7174
195,0.775
196,0.8326
197,0.8908
198,0.95
199,1.008
200,1.064
201,1.119
202,1.174
203,1.23
204,1.288
205,1.345
206,1.404
207,1.463
208,1.519
209,1.576
210,1.632
211,1.685
212,1.735
213,1.784
214,1.829
215,1.873
216,1.915
217,1.955
218,1.991
219,2.023
220,2.052
221,2.08
222,2.107
223,2.132
224,2.155
225,2.174
226,2.188
227,2.201
228,2.211
229,2.218
230,2.22
231,2.219
232,2.212
233,2.202
234,2.188
235,2.168
236,2.143
237,2.113
238,2.081
239,2.044
240,2.004
241,1.962
242,1.915
243,1.867
244,1.817
245,1.764
246,1.709
247,1.654
248,1.598
249,1.542
250,1.488
251,1.434
252,1.374
253,1.318
254,1.26
255,1.195
256,1.143
257,1.089
258,1.037
259,0.979
260,0.9259
261,0.8711
262,0.816
263,0.7626
264,0.7119
265,0.6619
266,0.6201
267,0.5785
268,0.5318
269,0.4833
270,0.4418
271,0.4035
272,0.3655
273,0.3288
274,0.2897
275,0.2534
276,0.2203
277,0.1897
278,0.161
279,0.1303
280,0.09846
281,0.06986
282,0.04278
283,0.01722
284,-0.007658
285,-0.03244
286,-0.05511
287,-0.0829
288,-0.1089
289,-0.1307
290,-0.1536
291,-0.176
292,-0.1931
293,-0.2113
294,-0.2271
295,-0.2406
296,-0.2521
297,-0.2643
298,-0.2744
299,-0.2829
300,-0.2873
301,-0.2979
302,-0.3047
303,-0.3075
304,-0.3158
305,-0.3162
306,-0.3188
307,-0.3232
308,-0.3241
309,-0.3265
310,-0.3261
311,-0.3207
312,-0.3171
313,-0.3111
314,-0.3098
