x,y
0,-0.3796
1,-0.4121
2,-0.4262
3,-0.4469
4,-0.4565
5,-0.4799
6,-0.4967
7,-0.5166
8,-0.539
9,-0.6005
10,-0.6168
11,-0.636
12,-0.6564
13,-0.6986
14,-0.7189
15,-0.7629
16,-0.7786
17,-0.8008
18,-0.8178
19,-0.8367
20,-0.8808
21,-0.9132
22,-0.9405
23,-0.9502
24,-0.9838
25,-1.013
26,-1.032
27,-1.056
28,-1.082
29,-1.098
30,-1.116
31,-1.143
32,-1.164
33,-1.176
34,-1.185
35,-1.2
36,-1.217
37,-1.227
38,-1.234
39,-1.24
40,-1.245
41,-1.247
42,-1.255
43,-1.26
44,-1.285
45,-1.289
46,-1.291
47,-1.299
48,-1.301
49,-1.302
50,-1.304
51,-1.31
52,-1.308
53,-1.306
54,-1.307
55,-1.304
56,-1.302
57,-1.302
58,-1.304
59,-1.303
60,-1.305
61,-1.308
62,-1.307
63,-1.304
64,-1.302
65,-1.298
66,-1.296
67,-1.293
68,-1.29
69,-1.288
70,-1.284
71,-1.28
72,-1.284
73,-1.282
74,-1.28
75,-1.278
76,-1.277
77,-1.275
78,-1.273
79,-1.27
80,-1.267
81,-1.263
82,-1.258
83,-1.252
84,-1.246
85,-1.239
86,-1.232
87,-1.224
88,-1.216
89,-1.208
90,-1.2
91,-1.191
92,-1.183
93,-1.173
94,-1.162
95,-1.151
96,-1.139
97,-1.129
98,-1.117
99,-1.105
100,-1.092
101,-1.08
102,-1.067
103,-1.054
104,-1.04
105,-1.025
106,-1.009
107,-0.9924
108,-0.9754
109,-0.9581
110,-0.9414
111,-0.9244
112,-0.9061
113,-0.8881
114,-0.8704
115,-0.8524
116,-0.8348
117,-0.8168
118,-0.7995
119,-0.7821
120,-0.7661
121,-0.7506
122,-0.7349
123,-0.7189
124,-0.7031
125,-0.6877
126,-0.673
127,-0.6585
128,-0.6432
129,-0.6266
130,-0.6092
131,-0.591
132,-0.5717
133,-0.551
134,-0.5298
135,-0.5082
136,-0.4865
137,-0.4639
138,-0.4406
139,-0.4158
140,-0.3907
141,-0.3662
142,-0.3415
143,-0.3169
144,-0.2914
145,-0.2652
146,-0.2379
147,-0.2098
148,-0.1813
149,-0.1533
150,-0.1254
151,-0.09839
152,-0.07079
153,-0.04369
154,-0.01702
155,0.009294
156,0.03543
157,0.06044
158,0.08507
159,0.109
160,0.1326
161,0.1541
162,0.1735
163,0.1914
164,0.2078
165,0.2238
166,0.2388
167,0.2545
168,0.2706
169,0.2869
170,0.3025
171,0.318
172,0.3322
173,0.3476
174,0.3643
175,0.3821
176,0.3996
177,0.4167
178,0.4345
179,0.4533
180,0.4712
181,0.491
182,0.5114
183,0.5325
184,0.5541
185,0.5755
186,0.5969
187,0.6176
188,0.6376
189,0.6573
190,0.678
191,0.6994
192,0.7223
193,0.7462
194,0.7694
195,0.7905
196,0.8098
197,0.8286
198,0.8473
199,0.8657
200,0.8842
201,0.9028
202,0.9214
203,0.9416
204,0.9609
205,0.9793
206,0.9974
207,1.017
208,1.036
209,1.057
210,1.078
211,1.099
212,1.12
213,1.139
214,1.159
215,1.177
216,1.194
217,1.214
218,1.233
219,1.253
220,1.273
221,1.293
222,1.311
223,1.328
224,1.346
225,1.362
226,1.378
227,1.393
228,1.407
229,1.421
230,1.433
231,1.445
232,1.458
233,1.469
234,1.48
235,1.488
236,1.496
237,1.504
238,1.51
239,1.515
240,1.52
241,1.524
242,1.527
243,1.527
244,1.525
245,1.52
246,1.513
247,1.504
248,1.493
249,1.482
250,1.47
251,1.458
252,1.442
253,1.429
254,1.404
255,1.392
256,1.381
257,1.371
258,1.363
259,1.355
260,1.349
261,1.344
262,1.342
263,1.332
264,1.325
265,1.318
266,1.308
267,1.296
268,1.274
269,1.258
270,1.236
271,1.217
272,1.19
273,1.151
274,1.113
275,1.084
276,1.056
277,1.02
278,0.9886
279,0.9576
280,0.9137
281,0.8877
282,0.862
283,0.8425
284,0.8216
285,0.8034
286,0.7843
287,0.7708
288,0.7535
289,0.7361
290,0.7166
291,0.7027
292,0.6898
293,0.6596
294,0.6482
295,0.6351
296,0.6152
297,0.5928
298,0.5754
299,0.5526
300,0.5413
301,0.5211
302,0.5051
303,0.493
304,0.4756
305,0.4689
306,0.4477
307,0.4316
308,0.4148
309,0.4068
310,0.3877
311,0.3736
312,0.3526
313,0.3299
314,0.3019
