x,y
0,0.0229
1,0.0229
2,0.0229
3,0.0229
4,0.0229
5,0.0229
6,0.0229
7,0.0229
8,0.0229
9,0.0229
10,0.0229
11,0.0229
12,0.0229
13,0.0229
14,0.0229
15,0.0229
16,0.0229
17,0.0229
18,0.04214
19,0.07255
20,0.1123
21,0.1188
22,0.1258
23,0.1435
24,0.205
25,0.2745
26,0.3528
27,0.4713
28,0.5585
29,0.6383
30,0.7629
31,0.8416
32,0.9248
33,1.051
34,1.178
35,1.305
36,1.432
37,1.56
38,1.659
39,1.734
40,1.797
41,1.831
42,1.845
43,1.845
44,1.815
45,1.793
46,1.8
47,1.858
48,1.908
49,1.942
50,1.968
51,1.989
52,1.994
53,1.931
54,1.843
55,1.724
56,1.548
57,1.421
58,1.319
59,1.24
60,1.056
61,0.8667
62,0.6876
63,0.6241
64,0.4828
65,0.2942
66,0.1036
67,-0.08707
68,-0.2938
69,-0.5376
70,-0.7471
71,-0.9455
72,-1.136
73,-1.24
74,-1.322
75,-1.389
76,-1.491
77,-1.609
78,-1.736
79,-1.863
80,-1.968
81,-2.046
82,-2.084
83,-2.087
84,-2.078
85,-2.058
86,-1.994
87,-1.931
88,-1.867
89,-1.804
90,-1.74
91,-1.677
92,-1.613
93,-1.549
94,-1.46
95,-1.333
96,-1.091
97,-0.8967
98,-0.7573
99,-0.5746
100,-0.4517
101,-0.3786
102,-0.3645
103,-0.3608
104,-0.3481
105,-0.3047
106,-0.2441
107,-0.1959
108,-0.1697
109,-0.1689
110,-0.1689
111,-0.1664
112,-0.1383
113,-0.1034
114,-0.06838
115,-0.04639
116,-0.00697
117,0.0229
118,0.0229
119,0.0229
120,0.0229
121,0.02284
122,0.01612
123,-0.02292
124,-0.08639
125,-0.1493
126,-0.1689
127,-0.1841
128,-0.2452
129,-0.2614
130,-0.2245
131,-0.1145
132,-0.08495
133,-0.09679
134,-0.1442
135,-0.162
136,-0.1689
137,-0.1689
138,-0.1689
139,-0.1424
140,-0.1076
141,-0.07769
142,-0.07302
143,-0.06192
144,-0.03443
145,0.004247
146,0.01172
147,-0.01163
148,-0.05684
149,-0.06321
150,-0.04066
151,0.01066
152,0.0229
153,0.02486
154,0.03097
155,0.08497
156,0.1188
157,0.1188
158,-0.008259
159,-0.1015
160,-0.1677
161,-0.2313
162,-0.2948
163,-0.3584
164,-0.4219
165,-0.4469
166,-0.4729
167,-0.5181
168,-0.5415
169,-0.5713
170,-0.6126
171,-0.7122
172,-0.8085
173,-0.9025
174,-0.996
175,-1.133
176,-1.284
177,-1.427
178,-1.503
179,-1.56
180,-1.606
181,-1.608
182,-1.602
183,-1.587
184,-1.532
185,-1.512
186,-1.512
187,-1.512
188,-1.512
189,-1.512
190,-1.512
191,-1.512
192,-1.536
193,-1.593
194,-1.603
195,-1.552
196,-1.448
197,-1.321
198,-1.223
199,-1.145
200,-1.082
201,-1.018
202,-0.967
203,-0.9389
204,-0.9069
205,-0.86
206,-0.7957
207,-0.7059
208,-0.5942
209,-0.4612
210,-0.2938
211,-0.08925
212,0.106
213,0.2331
214,0.3692
215,0.5245
216,0.7072
217,0.8373
218,0.9653
219,1.098
220,1.289
221,1.48
222,1.659
223,1.791
224,1.96
225,2.098
226,2.129
227,2.133
228,2.133
229,2.133
230,2.133
231,2.089
232,2.002
233,1.875
234,1.771
235,1.692
236,1.661
237,1.631
238,1.582
239,1.493
240,1.39
241,1.295
242,1.211
243,1.084
244,0.9493
245,0.8033
246,0.6231
247,0.485
248,0.3797
249,0.3162
250,0.2536
251,0.2147
252,0.2147
253,0.157
254,0.09438
255,0.02778
256,-0.09136
257,-0.1508
258,-0.1862
259,-0.2852
260,-0.3025
261,-0.288
262,-0.2678
263,-0.2649
264,-0.2495
265,-0.2122
266,-0.2159
267,-0.2355
268,-0.2649
269,-0.2649
270,-0.2485
271,-0.2154
272,-0.1518
273,-0.0883
274,-0.03
275,0.01765
276,0.03432
277,0.06995
278,0.1335
279,0.197
280,0.2585
281,0.3107
282,0.3107
283,0.3107
284,0.2955
285,0.2344
286,0.1714
287,0.128
288,0.1195
289,0.1669
290,0.177
291,0.1435
292,0.1258
293,0.1188
294,0.1188
295,0.1188
296,0.1454
297,0.1801
298,0.2101
299,0.2147
300,0.2147
301,0.2147
302,0.1677
303,0.1003
304,0.02139
305,0.003058
306,-0.0345
307,-0.07302
308,-0.07302
309,-0.07302
310,-0.07302
311,-0.07302
312,-0.07302
313,-0.07302
314,-0.07302
