x,y
0,-0.2004
1,-1.543
2,-0.9666
3,-1.092
4,-1.109
5,-0.6531
6,-0.9896
7,-1.104
8,-1.058
9,-0.4526
10,-0.8102
11,-0.8426
12,-0.6689
13,-1.131
14,-0.3983
15,-0.6588
16,-0.9275
17,-1.258
18,-0.8385
19,-1.64
20,-1.105
21,-1.101
22,-0.3346
23,-1.037
24,-0.5054
25,-0.5338
26,1.198
27,0.8039
28,1.197
29,0.6144
30,0.882
31,0.6525
32,0.7596
33,1.13
34,1.524
35,1.469
36,0.8141
37,1.41
38,1.183
39,1.009
40,1.131
41,0.6704
42,1.238
43,1.314
44,1.522
45,1.044
46,1.451
47,0.8418
48,0.7599
49,1.083
50,1.213
51,1.121
52,0.9246
53,1.438
54,1.438
55,0.6962
56,1.46
57,1.248
58,0.3614
59,0.9801
60,0.8053
61,1.166
62,1.274
63,1.128
64,1.262
65,0.9303
66,1.132
67,0.8568
68,0.9198
69,1.025
70,1.343
71,1.268
72,1.438
73,0.9099
74,0.9342
75,1.46
76,0.8191
77,1.014
78,1.008
79,1.048
80,0.8163
81,0.6623
82,0.8625
83,-0.8555
84,-0.9724
85,-0.3735
86,-0.7633
87,-0.7023
88,-0.5377
89,-1.119
90,-1.185
91,-0.3985
92,-0.6926
93,-0.96
94,-1.049
95,-1.183
96,-1.177
97,-1.177
98,-0.5779
99,-0.6288
100,-0.7919
101,-1.082
102,-0.6015
103,-0.8346
104,-0.9232
105,-0.5325
106,-0.7182
107,-0.8145
108,-0.8936
109,-0.1871
110,-0.6163
111,-0.8402
112,-1.275
113,-1.208
114,-0.8826
115,-0.8489
116,-0.5416
117,-1.086
118,-0.4878
119,-1.429
120,-1.07
121,-0.62
122,-0.9217
123,-0.9931
124,-0.7822
125,-1.013
126,-0.9636
127,-0.3921
