x,y
0,-0.2576
1,-0.2988
2,-0.4019
3,-0.4636
4,-0.5156
5,-0.5466
6,-0.6296
7,-0.7066
8,-0.7638
9,-0.8395
10,-0.8844
11,-0.913
12,-0.9618
13,-0.9426
14,-0.9731
15,-0.9957
16,-1.003
17,-0.9762
18,-0.9893
19,-1.003
20,-0.9921
21,-1.03
22,-0.9373
23,-0.9845
24,-0.9891
25,-0.9726
26,-0.8709
27,2.105
28,2.027
29,1.965
30,2.017
31,1.924
32,1.878
33,1.797
34,1.837
35,1.779
36,1.742
37,1.705
38,1.682
39,1.666
40,1.583
41,1.546
42,1.532
43,1.489
44,1.437
45,1.39
46,1.383
47,1.287
48,1.295
49,1.245
50,1.242
51,1.173
52,1.117
53,1.087
54,1.062
55,1.015
56,0.975
57,0.9569
58,0.8741
59,0.8607
60,0.8215
61,0.7788
62,0.768
63,0.6605
64,0.6613
65,0.5687
66,0.5277
67,0.5253
68,0.4914
69,0.4498
70,0.3984
71,0.325
72,0.2299
73,0.1981
74,0.165
75,0.1426
76,0.08398
77,0.003118
78,-0.03875
79,-0.09106
80,-0.1137
81,-0.1988
82,-0.25
83,-0.2054
84,-0.3909
85,-0.3565
86,-0.4242
87,-0.4171
88,-0.5076
89,-0.6008
90,-0.5974
91,-0.5934
92,-0.621
93,-0.6424
94,-0.6728
95,-0.7069
96,-0.6261
97,-0.7277
98,-0.7469
99,-0.733
100,-0.7476
101,-0.7907
102,-0.789
103,-0.8514
104,-0.838
105,-0.7905
106,-0.8129
107,-0.8337
108,-0.8342
109,-0.8338
110,-0.8651
111,-0.8696
112,-0.9017
113,-0.8461
114,-0.8794
115,-0.9113
116,-0.9323
117,-0.9077
118,-0.9492
119,-1.011
120,-0.9004
121,-0.9342
122,-0.9378
123,-0.925
124,-0.9434
125,-0.8839
126,-0.8626
127,-0.7873
