x,y
0,7.218
1,0.6891
2,-0.8462
3,-0.4829
4,-0.2106
5,0.1858
6,0.64
7,1.153
8,1.669
9,2.1
10,2.05
11,1.664
12,1.094
13,0.4409
14,-0.2698
15,-0.6192
16,-0.643
17,-0.5395
18,-0.5855
19,-0.8195
20,-1.207
21,-1.642
22,-1.97
23,-1.798
24,-0.9746
25,0.1073
26,1.204
27,2.064
28,2.322
29,2.115
30,1.57
31,0.7984
32,-0.05415
33,-0.6731
34,-1.171
35,-1.499
36,-1.578
37,-1.143
38,-0.7368
39,-0.3618
40,-0.0581
41,0.04183
42,-0.1738
43,-0.4241
44,-0.6242
45,-0.7188
46,-0.7188
47,-0.6425
48,-0.495
49,-0.325
50,-0.2757
51,-0.1824
52,-0.1175
53,-0.07391
54,-0.02907
55,0.09777
56,0.2376
57,0.3515
58,0.4267
59,0.4715
60,0.4667
61,0.4356
62,0.4106
63,0.4189
64,0.4176
65,0.4455
66,0.4079
67,0.2998
68,0.2016
69,0.06733
70,-0.1123
71,-0.2563
72,-0.2967
73,-0.3392
74,-0.3465
75,-0.2964
76,-0.221
77,-0.2184
78,-0.1694
79,-0.1172
80,-0.08293
81,-0.07051
82,0.03101
83,0.091
84,0.1634
85,0.2649
86,0.3932
87,0.4947
88,0.5767
89,0.6101
90,0.5743
91,0.4876
92,0.3771
93,0.2649
94,0.1797
95,0.1676
96,0.1984
97,0.1689
98,0.1196
99,0.07741
100,-0.03264
101,-0.1959
102,-0.272
103,-0.2412
104,-0.1439
105,0.0008862
106,0.1467
107,0.2599
108,0.3026
109,0.1766
110,-0.0001132
111,-0.1367
112,-0.2463
113,-0.3951
114,-0.4471
115,-0.3923
116,-0.3539
117,-0.3913
118,-0.3411
119,-0.291
120,-0.353
121,-0.476
122,-0.5262
123,-0.7256
124,-0.8905
125,-0.9979
126,-1.046
127,-1.094
128,-1.054
129,-1.078
130,-1.078
