x,y
0,-2.652
1,-2.568
2,-2.483
3,-2.213
4,-1.879
5,-1.222
6,-0.2207
7,0.7132
8,1.413
9,2.112
10,1.807
11,1.466
12,0.9833
13,0.4416
14,-0.2087
15,-0.9925
16,-1.749
17,-2.388
18,-3.028
19,-2.765
20,-2.436
21,-1.974
22,-1.449
23,-1.025
24,-0.7435
25,-0.4779
26,-0.2968
27,-0.1157
28,-0.1285
29,-0.1636
30,-0.2633
31,-0.3997
32,-0.5206
33,-0.6163
34,-0.7003
35,-0.6994
36,-0.6986
37,-0.6552
38,-0.605
39,-0.3827
40,-0.04724
41,0.3212
42,0.7523
43,1.177
44,1.531
45,1.885
46,2.061
47,2.199
48,2.083
49,1.775
50,1.455
51,1.111
52,0.7704
53,0.4931
54,0.2158
55,0.01342
56,-0.1695
57,-0.1524
58,0.03873
59,0.188
60,0.2275
61,0.264
62,0.1378
63,0.01157
64,-0.03024
65,-0.0452
66,-0.1413
67,-0.3185
68,-0.4497
69,-0.4361
70,-0.4225
71,-0.1848
72,0.05677
73,0.131
74,0.1415
75,0.1738
76,0.2312
77,0.298
78,0.4012
79,0.5043
80,0.3704
81,0.2236
82,0.2671
83,0.3962
84,0.5139
85,0.6165
86,0.6855
87,0.5938
88,0.5021
89,0.7148
90,0.9562
91,1.062
92,1.098
93,1.078
94,0.9753
95,0.8862
96,0.8837
97,0.8812
98,0.6161
99,0.315
100,0.08273
101,-0.1075
102,-0.2548
103,-0.3266
104,-0.3981
105,-0.4681
106,-0.5381
107,-0.4375
108,-0.3056
109,-0.2157
110,-0.1555
111,-0.09448
112,-0.03186
113,0.02753
114,0.04344
115,0.05935
116,0.00519
117,-0.06537
118,-0.0893
119,-0.07533
120,-0.04825
121,0.01045
122,0.07225
123,0.2206
124,0.3689
125,0.3643
126,0.3155
127,0.1666
128,-0.07574
129,-0.07574
130,-0.07574
