x,y
0,-0.2994
1,-1.131
2,-1.963
3,-2.404
4,-2.735
5,-2.807
6,-2.675
7,-2.438
8,-1.996
9,-1.492
10,-0.5311
11,0.4303
12,1.089
13,1.713
14,1.685
15,1.348
16,0.9415
17,0.453
18,-0.08763
19,-0.7958
20,-1.499
21,-1.914
22,-2.328
23,-2.03
24,-1.549
25,-1.041
26,-0.5119
27,-0.1015
28,0.09448
29,0.2639
30,0.2639
31,0.2639
32,0.1242
33,-0.02838
34,-0.2452
35,-0.4903
36,-0.6776
37,-0.8008
38,-0.9241
39,-1.048
40,-1.165
41,-1.124
42,-1.083
43,-0.7311
44,-0.3084
45,0.1922
46,0.7463
47,1.273
48,1.753
49,2.177
50,2.288
51,2.398
52,2.061
53,1.693
54,1.27
55,0.8262
56,0.5142
57,0.3387
58,0.1654
59,-0.002339
60,-0.1553
61,-0.03354
62,0.08827
63,0.2434
64,0.4054
65,0.3577
66,0.1761
67,0.03968
68,-0.02616
69,-0.1106
70,-0.2864
71,-0.4622
72,-0.5762
73,-0.687
74,-0.5392
75,-0.2951
76,-0.05018
77,0.1957
78,0.4053
79,0.5255
80,0.6402
81,0.6779
82,0.7156
83,0.6406
84,0.5454
85,0.5516
86,0.6182
87,0.7256
88,0.8925
89,1.043
90,1.123
91,1.203
92,1.172
93,1.136
94,0.8755
95,0.5377
96,0.2676
97,0.05849
98,-0.1032
99,-0.1568
100,-0.2077
101,-0.2275
102,-0.2473
103,-0.1711
104,-0.07984
105,-0.05357
106,-0.06321
107,-0.0839
108,-0.1196
109,-0.1285
110,-0.03239
111,0.06372
112,0.07841
113,0.09169
114,0.1662
115,0.2597
116,0.2888
117,0.2636
118,0.1853
119,-0.004606
120,-0.1541
121,0.05298
122,0.2601
123,0.247
124,0.2043
125,0.1867
126,0.1821
127,0.229
128,0.3415
129,0.3415
130,0.3415
