x,y
0,-0.02149
1,-0.02967
2,-0.04057
3,-0.05119
4,-0.05402
5,-0.04894
6,-0.04677
7,-0.05683
8,-0.07041
9,-0.08897
10,-0.1036
11,-0.09274
12,-0.1012
13,-0.1317
14,-0.128
15,-0.103
16,-0.09299
17,-0.1156
18,-0.1485
19,-0.1281
20,-0.08069
21,-0.06955
22,-0.07882
23,-0.09543
24,-0.09467
25,-0.06856
26,-0.05779
27,-0.06513
28,-0.0582
29,-0.03848
30,-0.03081
31,-0.02145
32,-0.01018
33,-0.01959
34,-0.02288
35,-0.02109
36,-0.02133
37,-0.00705
38,-0.001208
39,-0.009754
40,-0.0165
41,-0.001749
42,0.03865
43,0.05788
44,0.0306
45,0.01092
46,0.03488
47,0.06251
48,0.05859
49,0.04848
50,0.04457
51,0.03924
52,0.0441
53,0.0412
54,0.03733
55,0.04729
56,0.03338
57,-0.03348
58,-0.1623
59,-0.3242
60,-0.4456
61,-0.5344
62,-0.6607
63,-0.8386
64,-0.9381
65,-0.8493
66,-0.6906
67,-0.5863
68,-0.5287
69,-0.4256
70,-0.2602
71,-0.09892
72,-0.005175
73,0.00687
74,-0.009266
75,-0.03221
76,-0.03667
77,-0.03108
78,-0.02806
79,-0.004618
80,0.01509
81,0.008629
82,0.002589
83,0.005949
84,0.003415
85,0.01348
86,0.02661
87,0.02173
88,0.0123
89,0.01145
90,0.0253
91,0.03307
92,0.02962
93,0.02758
94,0.0284
95,0.02974
96,0.02234
97,0.01318
98,0.0216
99,0.03024
100,0.02626
101,0.02967
102,0.0212
103,-0.002106
104,0.01331
105,0.057
106,0.05789
107,0.03757
108,0.04488
109,0.0478
110,0.03996
111,0.04158
112,0.03813
113,0.02553
114,0.01072
115,-0.002561
116,-0.01393
117,-0.01224
118,-0.00227
119,0.0007682
120,0.006135
121,0.004496
122,-0.002683
123,-0.01436
124,-0.0359
125,-0.04461
126,-0.04482
127,-0.05831
128,-0.06666
129,-0.06217
130,-0.06939
