x,y
0,-1.686
1,-0.9259
2,-0.4657
3,-0.381
4,-0.3312
5,-0.08459
6,0.6778
7,1.618
8,2.421
9,2.907
10,2.604
11,1.695
12,0.2461
13,-1.054
14,-1.585
15,-0.9281
16,-0.1901
17,-0.1819
18,-0.3242
19,-1.28
20,-1.18
21,-1.346
22,-1.9
23,-2.318
24,-2.223
25,-0.9569
26,0.8512
27,2.304
28,3.05
29,3.112
30,2.619
31,1.911
32,1.046
33,0.1542
34,-0.7666
35,-1.586
36,-2.371
37,-2.531
38,-1.952
39,-0.7579
40,0.4291
41,0.9558
42,0.7869
43,0.08392
44,-0.131
45,-0.2068
46,-0.2058
47,-0.3071
48,-0.5758
49,-0.6775
50,-0.6299
51,-0.5576
52,-0.6187
53,-0.535
54,-0.2538
55,0.2989
56,0.8007
57,0.9475
58,0.8599
59,0.65
60,0.5532
61,0.4704
62,0.4254
63,0.24
64,0.1353
65,0.03884
66,0.05682
67,0.05118
68,0.03541
69,-0.09323
70,-0.09982
71,-0.008903
72,0.1016
73,0.1665
74,-0.006984
75,-0.1828
76,-0.36
77,-0.4075
78,-0.4075
79,-0.4075
80,-0.3947
81,-0.2841
82,-0.138
83,0.02855
84,0.2371
85,0.2861
86,0.4568
87,0.3923
88,0.3555
89,0.3647
90,0.2951
91,0.3427
92,0.3801
93,0.482
94,0.5847
95,0.6986
96,0.7049
97,0.5534
98,0.3639
99,0.08425
100,-0.1935
101,-0.3467
102,-0.504
103,-0.4927
104,-0.4139
105,-0.4714
106,-0.141
107,0.2056
108,0.3823
109,0.5123
110,0.1704
111,-0.06851
112,-0.2862
113,-0.2529
114,0.07793
115,0.288
116,0.5973
117,0.5198
118,0.3342
119,0.06012
120,-0.01629
121,0.04403
122,0.04345
123,-0.05706
124,-0.4581
125,-0.7024
126,-0.8488
127,-0.8651
128,-0.8216
129,-0.7749
130,-0.6379
