x,y
0,-1.782
1,-1.179
2,-0.3693
3,0.4285
4,1.162
5,1.789
6,2.377
7,2.497
8,1.877
9,0.4883
10,-0.6531
11,-1.275
12,-0.9358
13,-0.1255
14,0.1705
15,0.1815
16,-0.3283
17,-1.415
18,-2.628
19,-3.309
20,-2.411
21,-0.1254
22,2.189
23,3.353
24,3.049
25,2.098
26,1.179
27,0.5445
28,0.05178
29,-0.614
30,-1.489
31,-2.29
32,-2.296
33,-1.653
34,-0.5146
35,0.4693
36,0.7675
37,0.5371
38,0.091
39,-0.5094
40,-1.142
41,-1.651
42,-1.771
43,-1.257
44,-0.2902
45,0.5157
46,0.8616
47,1.02
48,0.8777
49,0.9542
50,1.06
51,0.7783
52,0.6277
53,0.4185
54,0.2473
55,0.3004
56,0.2621
57,0.2379
58,0.1777
59,0.1042
60,0.005058
61,0.02279
62,-0.04673
63,-0.1924
64,-0.3157
65,-0.5708
66,-0.5393
67,-0.4481
68,-0.2517
69,-0.1409
70,-0.1274
71,-0.1195
72,-0.03305
73,0.1221
74,0.235
75,0.2143
76,0.151
77,0.1306
78,0.2954
79,0.4712
80,0.3594
81,0.2698
82,0.1763
83,0.1206
84,0.1438
85,0.05811
86,0.03643
87,0.05221
88,0.003216
89,0.01871
90,-0.09026
91,0.09401
92,0.3665
93,0.3729
94,0.5159
95,0.3805
96,0.1541
97,-0.05503
98,-0.1976
99,-0.1292
100,0.04519
101,0.2968
102,0.2298
103,0.3744
104,0.2601
105,-0.09764
106,-0.2034
107,-0.3159
108,-0.01733
109,0.4111
110,0.4227
111,0.637
112,0.7684
113,0.7908
114,0.6444
115,0.1431
116,-0.3043
117,-0.3563
118,0.007851
119,0.2792
120,0.1151
121,-0.5518
122,-1.206
123,-1.265
124,-0.9665
125,-0.6128
126,-0.4688
127,-0.5591
128,-0.6403
129,-0.4769
130,-0.6254
