x,y
0,-2.225
1,-2.109
2,-1.811
3,-1.351
4,-0.8133
5,-0.4935
6,-0.2351
7,0.3249
8,1.235
9,2.176
10,2.83
11,2.574
12,1.852
13,0.6699
14,-0.7259
15,-1.423
16,-1.216
17,0.1717
18,0.2945
19,-0.6685
20,-1.25
21,-1.213
22,-1.075
23,-2.313
24,-2.229
25,-1.112
26,1.448
27,2.491
28,2.695
29,2.023
30,1.738
31,1.372
32,0.8388
33,-0.07888
34,-1.217
35,-2.529
36,-3.567
37,-2.677
38,-0.6212
39,1.094
40,1.242
41,0.7886
42,0.5565
43,0.7261
44,0.7314
45,0.1931
46,-0.4298
47,-0.6626
48,-0.3452
49,-0.5005
50,-0.4133
51,-0.08867
52,0.06564
53,0.02423
54,-0.1438
55,-0.2893
56,0.003229
57,0.4826
58,0.9258
59,0.7927
60,0.4827
61,0.1466
62,-0.01672
63,-0.01987
64,0.1683
65,0.01971
66,-0.05929
67,-0.05306
68,-0.04805
69,0.07283
70,0.2484
71,0.2537
72,-0.01935
73,-0.3346
74,-0.3346
75,-0.1799
76,-0.1037
77,-0.3055
78,-0.1605
79,-0.1197
80,-0.3233
81,-0.1424
82,-0.1378
83,-0.3148
84,0.2785
85,0.6243
86,0.7392
87,0.4953
88,0.2828
89,0.12
90,0.08491
91,0.2336
92,0.4351
93,0.6214
94,0.4931
95,0.4217
96,0.531
97,0.4586
98,0.2541
99,-0.07708
100,-0.2567
101,-0.2328
102,-0.113
103,-0.4723
104,-0.3606
105,0.002962
106,0.3832
107,0.3551
108,0.4137
109,1.031
110,0.4628
111,-0.2683
112,-0.8772
113,-0.5508
114,-0.2396
115,-0.03834
116,-0.04013
117,0.06452
118,0.2522
119,0.4205
120,0.2353
121,-0.04381
122,0.1112
123,0.0267
124,-0.1425
125,-0.3056
126,-0.2005
127,-0.157
128,-0.3201
129,-0.194
130,-0.194
