x,y
0,-0.4986
1,-0.489
2,-0.5208
3,-0.6434
4,-0.7839
5,-0.9681
6,-1.049
7,-1.079
8,-1.125
9,-1.193
10,-1.157
11,-0.9833
12,-0.7242
13,-0.4651
14,-0.2425
15,-0.05987
16,0.1003
17,0.2498
18,0.3305
19,0.2776
20,0.3269
21,0.3934
22,0.4007
23,0.3682
24,0.3658
25,0.365
26,0.3424
27,0.3183
28,0.3161
29,0.2597
30,0.228
31,0.2483
32,0.2376
33,0.2193
34,0.2215
35,0.2067
36,0.2009
37,0.1479
38,0.1406
39,0.2184
40,0.2296
41,0.2387
42,0.2058
43,0.2842
44,0.2825
45,0.466
46,0.6966
47,0.858
48,1.068
49,1.358
50,1.672
51,2.01
52,2.321
53,2.497
54,2.558
55,2.628
56,2.624
57,2.482
58,2.195
59,1.841
60,1.562
61,1.334
62,1.054
63,0.8638
64,0.7591
65,0.5737
66,0.2401
67,-0.001049
68,-0.1003
69,-0.1675
70,-0.2858
71,-0.3948
72,-0.5155
73,-0.5842
74,-0.6142
75,-0.5945
76,-0.5732
77,-0.5457
78,-0.6345
79,-0.773
80,-0.6304
81,-0.6947
82,-0.7622
83,-0.7411
84,-0.6917
85,-0.6938
86,-0.7076
87,-0.5551
88,-0.4841
89,-0.689
90,-0.8137
91,-0.7845
92,-0.7525
93,-0.7494
94,-0.7953
95,-0.753
96,-0.7211
97,-0.7473
98,-0.7519
99,-0.7608
100,-0.7523
101,-0.7626
102,-0.7855
103,-0.7719
104,-0.7671
105,-0.7674
106,-0.7716
107,-0.7739
108,-0.7762
109,-0.7575
110,-0.7205
111,-0.7305
112,-0.7747
113,-0.7605
114,-0.7483
115,-0.7208
116,-0.7284
117,-0.7169
118,-0.7382
119,-0.7639
120,-0.734
121,-0.6695
122,-0.6576
123,-0.6578
124,-0.6366
125,-0.5555
126,-0.5456
127,-0.5286
128,-0.4589
129,-0.3895
130,-0.3938
131,-0.4211
132,-0.417
133,-0.4256
134,-0.5042
135,-0.6339
136,-0.7937
137,-0.9295
138,-1.032
139,-1.06
140,-1.07
141,-1.077
142,-0.9622
143,-0.7479
144,-0.5337
145,-0.3232
146,-0.1052
147,0.1106
148,0.2982
149,0.4422
150,0.5367
151,0.5875
152,0.6137
153,0.6228
154,0.6207
155,0.5897
156,0.5602
157,0.5194
158,0.47
159,0.4319
160,0.4045
161,0.3919
162,0.371
163,0.3459
164,0.3788
165,0.4542
166,0.4704
167,0.4208
168,0.3439
169,0.2785
170,0.3201
171,0.4112
172,0.4018
173,0.4394
174,0.4034
175,0.3829
176,0.432
177,0.594
178,0.8981
179,1.236
180,1.5
181,1.778
182,2.075
183,2.368
184,2.65
185,2.914
186,3.035
187,2.979
188,2.821
189,2.57
190,2.291
191,2.026
192,1.821
193,1.709
194,1.52
195,1.23
196,0.9788
197,0.8194
198,0.6471
199,0.4295
200,0.134
201,-0.0739
202,-0.2764
203,-0.3373
204,-0.5003
205,-0.6025
206,-0.648
207,-0.6853
208,-0.7513
209,-0.8387
210,-0.9181
211,-0.9246
212,-0.9283
213,-0.9139
214,-0.8599
215,-0.8768
216,-0.9524
217,-0.9765
218,-0.9819
219,-0.9881
220,-1.001
221,-0.9861
222,-0.9699
223,-0.988
224,-0.9634
225,-0.9299
226,-0.9332
227,-0.9296
228,-0.9516
229,-0.9707
230,-0.9837
231,-0.9347
232,-0.9253
233,-0.8972
234,-0.9118
235,-0.9406
236,-0.9472
237,-0.9409
238,-0.9362
239,-0.9002
240,-0.8942
241,-0.9038
242,-0.8483
243,-0.9105
244,-0.9382
245,-0.8861
246,-0.8805
247,-0.9392
248,-1.032
249,-1.064
250,-1.007
251,-0.9431
252,-0.9031
253,-0.8945
254,-0.8906
255,-0.8362
256,-0.7681
257,-0.7107
258,-0.6618
259,-0.6426
260,-0.6258
261,-0.609
262,-0.6307
263,-0.644
264,-0.6281
265,-0.6602
266,-0.7272
267,-0.8204
268,-0.9388
269,-1.02
270,-1.104
271,-1.114
272,-1.121
273,-1.16
274,-1.131
275,-1.017
276,-0.8154
277,-0.6115
278,-0.42
279,-0.2324
280,-0.06763
281,0.04747
282,0.1598
283,0.2611
284,0.2806
285,0.2944
286,0.3889
287,0.4657
288,0.4383
289,0.2486
290,0.1426
291,0.1191
292,0.04544
293,-0.02446
294,-0.06029
295,-0.06705
296,-0.07478
297,-0.05848
298,-0.00968
299,0.1731
300,0.3086
301,0.2037
302,0.1024
303,0.1015
304,0.1293
305,0.205
306,0.2323
307,0.2468
308,0.3256
309,0.4643
310,0.6038
311,0.7504
312,1.019
313,1.325
314,1.576
315,1.815
316,2.118
317,2.298
318,2.421
319,2.509
320,2.583
321,2.56
322,2.397
323,2.178
324,1.917
325,1.702
326,1.494
327,1.228
328,1.007
329,0.7982
330,0.6964
331,0.5345
332,0.3025
333,0.02421
334,-0.02187
335,-0.404
336,-0.4967
337,-0.6124
338,-0.6735
339,-0.7049
340,-0.7695
341,-0.8555
342,-0.8462
