x,y
0,-0.2548
1,0.4245
2,0.2132
3,0.3464
4,0.2672
5,0.06766
6,-0.2519
7,0.8022
8,-0.2948
9,-0.6303
10,0.3246
11,0.1397
12,-0.1604
13,-0.4666
14,-0.1113
15,-0.6641
16,0.08111
17,-0.1556
18,-0.131
19,-0.2584
20,-0.4669
21,0.001744
22,-0.4462
23,-0.1285
24,0.1106
25,-0.1026
26,0.1149
27,-0.4391
28,0.7486
29,0.3286
30,-0.3226
31,-0.05928
32,-0.02194
33,-0.1049
34,0.1192
35,-0.6167
36,0.442
37,0.3778
38,-0.2477
39,-0.4583
40,0.3704
41,-1.239
42,0.2148
43,0.1434
44,0.09099
45,0.08774
46,-0.1879
47,-0.1519
48,-0.001227
49,-0.1093
50,0.2644
51,-0.4826
52,0.3094
53,-0.09544
54,0.4976
55,-0.7966
56,0.3416
57,0.16
58,0.2454
59,0.2887
60,0.3167
61,0.8446
62,0.6752
63,-0.3648
64,0.04066
65,0.6133
66,-0.3842
67,0.3144
68,-0.327
69,0.3858
70,-0.2196
71,-0.2447
72,-1.742
73,-1.742
74,-1.742
75,-1.742
76,-1.742
77,-1.742
78,-1.742
79,-1.742
80,-1.742
81,-1.742
82,1.72
83,1.72
84,1.72
85,1.72
86,1.72
87,1.72
88,1.72
89,1.72
90,1.72
91,1.72
92,0.07962
93,1.72
94,1.72
95,1.72
96,1.72
97,1.72
98,1.72
99,1.72
100,1.72
101,1.72
102,-1.742
103,-1.742
104,-1.742
105,-1.742
106,-1.742
107,-1.742
108,-1.742
109,-1.742
110,-1.742
111,-0.7788
112,0.1694
113,0.6084
114,0.3348
115,-0.1359
116,-0.1943
117,-0.06232
118,0.4987
119,-0.2165
120,-0.5243
121,0.2299
122,-0.3992
123,0.1782
124,0.05751
125,0.3097
126,0.09679
127,0.4411
