x,y
0,0.00498
1,0.003517
2,0.007922
3,0.006096
4,0.002849
5,0.00837
6,0.006804
7,-0.0003456
8,-0.003401
9,-0.0004481
10,-0.009735
11,0.006952
12,0.009283
13,0.008701
14,0.01654
15,0.01468
16,0.01273
17,0.01897
18,0.004603
19,0.02032
20,0.0121
21,0.01767
22,0.006403
23,0.01441
24,0.003965
25,-0.0004895
26,-0.001632
27,-0.000951
28,0.01011
29,0.003061
30,0.004322
31,-0.00466
32,-0.007095
33,0.007029
34,0.01041
35,0.02296
36,0.03523
37,0.02758
38,0.02129
39,0.01554
40,0.009383
41,0.009337
42,-0.001275
43,-0.008355
44,-0.009268
45,0.0003135
46,0.0006796
47,-0.006912
48,-0.02199
49,-0.02358
50,-0.04212
51,-0.0439
52,-0.02608
53,-0.02639
54,-0.01369
55,-0.01464
56,-0.001673
57,-0.00169
58,0.02771
59,0.02811
60,0.06077
61,0.04707
62,0.05153
63,0.07022
64,0.102
65,0.1351
66,0.1777
67,0.1824
68,0.1783
69,0.2227
70,0.2266
71,0.2474
72,0.2377
73,0.2487
74,0.2139
75,0.1857
76,0.1384
77,0.06234
78,-0.00628
79,-0.08117
80,-0.1217
81,-0.1823
82,-0.1992
83,-0.2344
84,-0.2244
85,-0.2293
86,-0.1855
87,-0.1715
88,-0.1466
89,-0.09906
90,-0.06048
91,-0.04813
92,-0.4631
93,-0.8526
94,-1.268
95,-1.582
96,-1.854
97,-2.09
98,-2.199
99,-2.249
100,-2.257
101,-2.257
102,-2.257
103,-2.257
104,-2.257
105,-2.257
106,-2.257
107,-2.257
108,2.284
109,2.284
110,2.284
111,2.284
112,2.284
113,2.284
114,2.284
115,2.284
116,2.259
117,2.185
118,2.01
119,1.77
120,1.462
121,1.093
122,0.6576
123,0.1896
124,-0.05096
125,-0.05242
126,-0.06045
127,-0.08516
