x,y
0,-0.1081
1,-0.1617
2,-0.2129
3,-0.3025
4,-0.4139
5,-0.4485
6,-0.5754
7,-0.6652
8,-0.7373
9,-0.9195
10,-1.027
11,-1.119
12,-1.196
13,-1.331
14,-1.403
15,-1.554
16,-1.762
17,-1.825
18,-1.937
19,-2.021
20,-2.109
21,-2.258
22,-2.329
23,-2.436
24,-2.524
25,-2.613
26,-2.734
27,-2.856
28,-2.954
29,-3.043
30,-3.103
31,-3.185
32,-3.2
33,-3.275
34,-3.304
35,-3.353
36,-3.366
37,-3.403
38,-3.432
39,-3.429
40,-3.456
41,-3.487
42,-3.48
43,-3.487
44,-3.518
45,-3.527
46,-3.515
47,-3.492
48,-3.497
49,-3.425
50,-3.394
51,-3.326
52,-3.303
53,-3.253
54,-3.212
55,-3.159
56,-3.074
57,-3.043
58,-2.994
59,-2.927
60,-2.875
61,-2.854
62,-2.841
63,-2.81
64,-2.789
65,-2.787
66,-2.778
67,-2.778
68,-2.784
69,-2.783
70,-2.812
71,-2.806
72,-2.837
73,-2.825
74,-2.86
75,-2.872
76,-2.864
77,-2.895
78,-2.875
79,-2.921
80,-2.936
81,-2.925
82,-2.946
83,-2.962
84,-2.93
85,-2.955
86,-2.92
87,-2.935
88,-2.904
89,-2.908
90,-2.903
91,-2.812
92,-2.786
93,-2.721
94,-2.692
95,-2.635
96,-2.597
97,-2.489
98,-2.432
99,-2.22
100,-1.599
101,-1.487
102,-1.368
103,-1.269
104,-1.153
105,-0.9751
106,-0.8741
107,-0.7627
108,-0.6927
109,-0.5839
110,-0.5101
111,-0.4203
112,-0.3688
113,-0.22
114,-0.1523
115,-0.1072
116,-0.06421
117,0.009025
118,0.05202
119,0.09484
120,0.116
121,0.1538
122,0.17
123,0.1587
124,0.1568
125,0.1824
126,0.2014
127,0.2186
128,0.2182
129,0.2062
130,0.2518
131,0.227
132,0.2546
133,0.2918
134,0.3119
135,0.3027
136,0.3263
137,0.3182
138,0.2827
139,0.2795
140,0.272
141,0.2925
142,0.2979
143,0.2886
144,0.3005
145,0.2999
146,0.3212
147,0.3537
148,0.3686
149,0.3757
150,0.4097
151,0.4348
152,0.4582
153,0.5005
154,0.5187
155,0.5865
156,0.6098
157,0.6381
158,0.6622
159,0.6736
160,0.7161
161,0.7566
162,0.7611
163,0.7909
164,0.8035
165,0.8153
166,0.8402
167,0.8513
168,0.8471
169,0.824
170,0.9486
171,0.9536
172,0.9136
173,0.9363
174,0.964
175,0.9754
176,0.9762
177,1.04
178,1.041
179,1.038
180,1.026
181,1.023
182,1.035
183,1.033
184,1.007
185,0.995
186,0.9374
187,0.9187
188,0.9159
189,0.9176
190,0.9051
191,0.9225
192,0.9056
193,0.9059
194,0.8934
195,0.8881
196,0.8656
197,0.8643
198,0.8488
199,0.8453
200,0.836
201,0.8318
202,0.8242
203,0.8431
204,0.8425
205,0.8194
206,0.8318
207,0.818
208,0.8121
209,0.8126
210,0.771
211,0.7787
212,0.7788
213,0.7752
214,0.7672
215,0.7876
216,0.8018
217,0.7944
218,0.798
219,0.8021
220,0.8017
221,0.8072
222,0.8144
223,0.8062
224,0.7951
225,0.7973
226,0.8185
227,0.8245
228,0.834
229,0.8373
230,0.8332
231,0.838
232,0.8278
233,0.835
234,0.8325
235,0.8303
236,0.8286
237,0.8301
238,0.8243
239,0.8303
240,0.7909
241,0.7653
242,0.7273
243,0.7014
244,0.6664
245,0.6431
246,0.6227
247,0.6085
248,0.5677
249,0.5447
250,0.466
251,0.4167
252,0.3999
253,0.3673
254,0.3533
255,0.3389
256,0.3251
257,0.2878
258,0.2692
259,0.247
260,0.247
261,0.2348
262,0.2221
263,0.1968
264,0.1953
265,0.1787
266,0.1816
267,0.1679
268,0.1531
269,0.1562
270,0.1628
271,0.1534
272,0.1385
273,0.1377
274,0.1147
275,0.1232
276,0.1151
277,0.1358
278,0.1395
279,0.1476
280,0.1499
281,0.1538
282,0.1633
283,0.1602
284,0.1647
285,0.1715
286,0.1964
287,0.2203
288,0.2323
289,0.2624
290,0.2751
291,0.3035
292,0.3127
293,0.3153
294,0.3266
295,0.346
296,0.3423
297,0.3561
298,0.3407
299,0.346
300,0.3403
301,0.3539
302,0.3639
303,0.3588
304,0.369
305,0.3578
306,0.3706
307,0.4023
308,0.4143
309,0.424
310,0.4284
311,0.4401
312,0.4499
313,0.4714
314,0.4744
315,0.4689
316,0.4919
317,0.4825
318,0.4956
319,0.5129
320,0.5146
321,0.5062
322,0.5033
323,0.5066
324,0.4727
325,0.4701
326,0.4783
327,0.4769
328,0.4694
329,0.4793
330,0.5028
331,0.5141
332,0.5387
333,0.5442
334,0.5677
335,0.5798
336,0.6024
337,0.6314
338,0.6708
339,0.7053
340,0.7213
341,0.7519
342,0.7818
343,0.8251
344,0.8569
345,0.8651
346,0.8825
347,0.9034
348,0.878
349,0.9058
350,0.9185
351,0.941
352,0.954
353,0.957
354,0.9601
355,0.9697
356,0.9621
357,0.9438
358,0.9485
359,0.941
360,0.9101
361,0.9155
362,0.9037
363,0.8749
364,0.8685
365,0.8427
366,0.8254
367,0.7929
368,0.7768
369,0.7508
370,0.7298
371,0.7178
372,0.6961
373,0.6928
374,0.6743
375,0.6573
376,0.634
377,0.6233
378,0.5965
379,0.5726
380,0.5525
381,0.529
382,0.5141
383,0.479
384,0.4619
385,0.4324
386,0.4273
387,0.4132
388,0.4066
389,0.4081
390,0.4023
391,0.4085
392,0.4044
393,0.4165
394,0.409
395,0.3997
396,0.3842
397,0.3965
398,0.404
399,0.3898
400,0.3901
401,0.376
402,0.3629
403,0.3675
404,0.3773
405,0.3577
406,0.3553
407,0.3516
408,0.3311
409,0.3247
410,0.311
411,0.2982
412,0.2867
413,0.2575
414,0.2511
415,0.2442
416,0.2396
417,0.2241
418,0.211
419,0.1887
420,0.1824
421,0.17
422,0.1489
423,0.1455
424,0.135
425,0.1139
426,0.1011
427,0.1076
428,0.114
429,0.1103
430,0.09852
431,0.08085
432,0.07843
433,0.06213
434,0.06211
435,0.04366
436,0.04826
437,0.04993
438,0.03278
439,0.03828
440,0.0422
441,0.0432
442,0.04909
443,0.04434
444,0.05629
445,0.05557
446,0.06076
447,0.07506
448,0.08441
449,0.0956
450,0.1061
451,0.1234
452,0.1339
453,0.1319
454,0.1633
455,0.1644
456,0.1639
457,0.1683
458,0.1695
459,0.1709
460,0.1671
461,0.159
462,0.1555
463,0.1549
464,0.165
465,0.1574
466,0.1602
467,0.166
468,0.1603
469,0.1593
470,0.1605
471,0.1565
472,0.1642
473,0.146
474,0.1384
475,0.116
476,0.1096
477,0.09288
478,0.08546
479,0.06101
480,0.05377
481,0.04601
482,0.03323
483,0.02671
484,0.01936
485,0.02524
486,0.02654
487,0.03118
488,0.04299
489,0.0501
490,0.06738
491,0.07388
492,0.0934
493,0.1157
494,0.1329
495,0.1445
496,0.1497
497,0.1585
498,0.1698
499,0.1769
500,0.1984
501,0.2122
502,0.2174
503,0.2169
504,0.2192
505,0.2354
506,0.2439
507,0.2392
508,0.2401
509,0.229
510,0.2184
511,0.2145
512,0.2055
513,0.2026
514,0.187
515,0.2079
516,0.1963
517,0.2039
518,0.1946
519,0.1939
520,0.1948
521,0.2018
522,0.2102
523,0.2193
524,0.2295
525,0.2325
526,0.2608
527,0.2735
528,0.2822
529,0.2829
530,0.2956
531,0.2903
532,0.2978
533,0.2952
534,0.2902
535,0.2989
536,0.3147
537,0.3036
538,0.3075
539,0.3524
540,0.3484
541,0.3491
542,0.3396
543,0.3371
544,0.3227
545,0.314
546,0.2573
547,0.263
548,0.237
549,0.2189
550,0.219
551,0.1984
552,0.2044
553,0.1943
554,0.1774
555,0.1737
556,0.1547
557,0.1364
558,0.1218
559,0.1036
560,0.08286
561,0.1004
562,0.09257
563,0.07778
564,0.0756
565,0.0743
566,0.07479
567,0.07433
568,0.07906
569,0.09
570,0.09141
571,0.09588
572,0.1153
573,0.1276
574,0.1477
575,0.1478
576,0.1565
577,0.1637
578,0.1535
579,0.153
580,0.1579
581,0.1543
582,0.1537
583,0.1815
584,0.1775
585,0.1907
586,0.1889
587,0.1834
588,0.1774
589,0.1698
590,0.1646
591,0.1646
592,0.1395
593,0.132
594,0.1207
595,0.125
596,0.1291
597,0.1153
598,0.11
599,0.1058
600,0.08443
601,0.08276
602,0.08431
603,0.07355
604,0.05997
605,0.04544
606,0.03887
607,0.03343
608,0.02832
609,0.01794
610,-0.002028
611,-0.01177
612,-0.01087
613,-0.02879
614,-0.03239
615,-0.04051
616,-0.04657
617,-0.04683
618,-0.03171
619,-0.0297
620,-0.02635
621,-0.02714
622,-0.02951
623,-0.03157
624,-0.01668
625,-0.009195
626,-0.009544
627,-0.002575
628,0.008344
629,0.0213
630,0.02104
631,0.02608
632,0.02061
633,0.02592
634,0.03317
635,0.03649
636,0.0395
637,0.05308
638,0.05467
639,0.06868
640,0.07489
641,0.08576
642,0.09054
643,0.1067
644,0.1364
645,0.1463
646,0.164
647,0.1789
648,0.1899
649,0.2106
650,0.2273
651,0.2497
652,0.2601
653,0.2771
654,0.2867
655,0.292
656,0.3102
657,0.3181
658,0.3228
659,0.3357
660,0.3459
661,0.3448
662,0.3444
663,0.3417
664,0.3371
665,0.3399
666,0.3337
667,0.3301
668,0.3352
669,0.3431
670,0.3489
671,0.3503
672,0.3578
673,0.3709
674,0.3876
675,0.39
676,0.3971
677,0.4093
678,0.404
679,0.4005
680,0.3999
681,0.3942
682,0.3941
683,0.3917
684,0.4321
685,0.426
686,0.4219
687,0.4109
688,0.4076
689,0.3998
690,0.4001
691,0.3905
692,0.3801
693,0.3479
694,0.3407
695,0.3473
696,0.3374
697,0.3256
698,0.3212
699,0.3149
700,0.3128
701,0.2805
702,0.2718
703,0.265
704,0.261
705,0.2618
706,0.2658
707,0.2621
708,0.2638
709,0.2685
710,0.2769
711,0.2761
712,0.2816
713,0.2928
714,0.2954
715,0.305
716,0.2969
717,0.3101
718,0.3202
719,0.315
720,0.3193
721,0.3188
722,0.3176
723,0.3136
724,0.3114
725,0.3109
726,0.3033
727,0.3042
728,0.2862
729,0.2835
730,0.2641
731,0.2678
732,0.2641
733,0.2753
734,0.2849
735,0.2849
736,0.2817
737,0.2839
738,0.29
739,0.2891
740,0.294
741,0.2938
742,0.297
743,0.31
744,0.3148
745,0.3241
746,0.3354
747,0.3455
748,0.3579
749,0.3658
750,0.3791
751,0.3847
752,0.3887
753,0.3965
754,0.4045
755,0.4035
756,0.404
757,0.401
758,0.4034
759,0.4099
760,0.4046
761,0.4091
762,0.4056
763,0.4057
764,0.4075
765,0.3999
766,0.3915
767,0.3853
768,0.3777
769,0.3724
770,0.3734
771,0.3655
772,0.3526
773,0.347
774,0.3389
775,0.3297
776,0.3188
777,0.3073
778,0.2913
779,0.2825
780,0.2705
781,0.2629
782,0.2579
783,0.2425
784,0.2431
785,0.2309
786,0.2317
787,0.2042
788,0.2036
789,0.2081
790,0.2138
791,0.2168
792,0.2233
793,0.2281
794,0.2283
795,0.2321
796,0.2351
797,0.2396
798,0.2469
799,0.2492
800,0.2456
801,0.2485
802,0.2573
803,0.255
804,0.255
805,0.2554
806,0.2532
807,0.2481
808,0.2505
809,0.2545
810,0.2499
811,0.2527
812,0.255
813,0.2513
814,0.2527
815,0.2487
816,0.2448
817,0.2421
818,0.2446
819,0.2351
820,0.2328
821,0.2355
822,0.2364
823,0.2312
824,0.2322
825,0.2276
826,0.2313
827,0.234
828,0.2324
829,0.2383
830,0.2436
831,0.2487
832,0.2453
833,0.2398
834,0.2418
835,0.2432
836,0.2379
837,0.2319
838,0.2174
839,0.2091
840,0.2156
841,0.21
842,0.2088
843,0.2102
844,0.2112
845,0.2115
846,0.2047
847,0.2074
848,0.2009
849,0.2033
850,0.2067
851,0.2071
852,0.2091
853,0.2128
854,0.2177
855,0.2152
856,0.2085
857,0.2127
858,0.2116
859,0.2111
860,0.2138
861,0.2173
862,0.2152
863,0.2161
864,0.2156
865,0.2189
866,0.2251
867,0.2266
868,0.2292
869,0.2308
870,0.2383
871,0.2401
872,0.2459
873,0.2459
874,0.249
875,0.2515
876,0.2506
877,0.2536
878,0.2486
879,0.2513
880,0.251
881,0.2494
882,0.2483
883,0.2539
884,0.2572
885,0.2553
886,0.2543
887,0.2529
888,0.257
889,0.2605
890,0.262
891,0.2614
892,0.2642
893,0.2689
894,0.2696
895,0.2718
896,0.2716
897,0.2707
898,0.275
899,0.2782
