x,y
0,-0.706
1,-0.5783
2,-0.5722
3,-0.4809
4,-0.414
5,-0.4323
6,-0.3228
7,-0.3106
8,-0.2985
9,-0.2985
10,-0.262
11,-0.1403
12,-0.2012
13,-0.05519
14,-0.09776
15,-0.03694
16,-0.0491
17,-0.07343
18,-0.07343
19,-0.1038
20,-0.2194
21,-0.1586
22,-0.2559
23,-0.262
24,-0.262
25,-0.3411
26,-0.335
27,-0.335
28,-0.3532
29,-0.3836
30,-0.3471
31,-0.3471
32,-0.3228
33,-0.335
34,-0.3654
35,-0.3167
36,-0.3471
37,-0.3836
38,-0.4019
39,-0.3593
40,-0.3532
41,-0.3411
42,-0.4079
43,-0.3532
44,-0.3775
45,-0.3593
46,-0.3471
47,-0.4079
48,-0.3715
49,-0.3471
50,-0.3593
51,-0.3471
52,-0.262
53,-0.3411
54,-0.3289
55,-0.3289
56,-0.3289
57,-0.2741
58,-0.2924
59,-0.262
60,-0.2863
61,-0.2985
62,-0.3167
63,-0.2498
64,-0.262
65,-0.2741
66,-0.2498
67,-0.2559
68,-0.2316
69,-0.2498
70,-0.2316
71,-0.2741
72,-0.2863
73,-0.2863
74,-0.262
75,-0.3045
76,-0.2498
77,-0.2559
78,-0.3228
79,-0.2924
80,-0.3045
81,-0.2802
82,-0.3228
83,-0.2985
84,-0.3289
85,-0.3228
86,-0.3045
87,-0.2924
88,-0.2681
89,-0.2559
90,-0.335
91,-0.2802
92,-0.3411
93,-0.335
94,-0.3045
95,-0.2924
96,-0.2681
97,-0.2802
98,-0.2985
99,-0.2924
100,-0.2802
101,-0.2863
102,-0.2863
103,-0.2924
104,-0.2741
105,-0.3228
106,-0.262
107,-0.3106
108,-0.3289
109,-0.3532
110,-0.3106
111,-0.3471
112,-0.3836
113,-0.3836
114,-0.4019
115,-0.3715
116,-0.335
117,-0.3715
118,-0.3958
119,-0.3836
120,-0.3471
121,-0.3411
122,-0.3228
123,-0.3654
124,-0.3532
125,-0.2985
126,-0.2802
127,-0.3167
128,-0.2985
129,-0.2802
130,-0.2863
131,-0.3045
132,-0.2741
133,-0.3045
134,-0.2924
135,-0.2985
136,-0.262
137,-0.335
138,-0.262
139,-0.3228
140,-0.3045
141,-0.2559
142,-0.3471
143,-0.2985
144,-0.3411
145,-0.262
146,-0.3289
147,-0.3836
148,-0.4079
149,-0.3289
150,-0.3106
151,-0.335
152,-0.3654
153,-0.3654
154,-0.414
155,-0.3958
156,-0.335
157,-0.3289
158,-0.335
159,-0.3045
160,-0.3045
161,-0.262
162,-0.3167
163,-0.3411
164,-0.335
165,-0.3289
166,-0.3045
167,-0.3289
168,-0.2985
169,-0.3593
170,-0.3045
171,-0.335
172,-0.3045
173,-0.3167
174,-0.3106
175,-0.2863
176,-0.2498
177,-0.2802
178,-0.3471
179,-0.335
180,-0.2802
181,-0.3045
182,-0.2924
183,-0.262
184,-0.3228
185,-0.2012
186,-0.2802
187,-0.3228
188,-0.262
189,-0.3167
190,-0.3106
191,-0.3106
192,-0.2985
193,-0.2802
194,-0.3106
195,-0.3045
196,-0.2437
197,-0.2802
198,-0.3593
199,-0.2985
200,-0.2985
201,-0.2863
202,-0.3045
203,-0.2498
204,-0.3106
205,-0.3167
206,-0.2437
207,-0.2559
208,-0.2741
209,-0.2072
210,-0.2133
211,-0.2072
212,-0.2559
213,-0.2437
214,-0.2255
215,-0.2498
216,-0.2437
217,-0.2012
218,-0.3289
219,-0.2681
220,-0.262
221,-0.2985
222,-0.3045
223,-0.3471
224,-0.3167
225,-0.2985
226,-0.3167
227,-0.3045
228,-0.3471
229,-0.3471
230,-0.3228
231,-0.3532
232,-0.2985
233,-0.335
234,-0.2985
235,-0.3289
236,-0.3897
237,-0.3471
238,-0.3167
239,-0.335
240,-0.3289
241,-0.3045
242,-0.3715
243,-0.3045
244,-0.3167
245,-0.335
246,-0.3532
247,-0.3471
248,-0.2498
249,-0.3045
250,-0.2924
251,-0.3411
252,-0.3532
253,-0.3106
254,-0.335
255,-0.2863
256,-0.2985
257,-0.3106
258,-0.3289
259,-0.3228
260,-0.3289
261,-0.3167
262,-0.4201
263,-0.3228
264,-0.3106
265,-0.3106
266,-0.3289
267,-0.2133
268,-0.2985
269,-0.3654
270,-0.3228
271,-0.3775
272,-0.2377
273,-0.3532
274,-0.2802
275,-0.3228
276,-0.3167
277,-0.3654
278,-0.3532
279,-0.2924
280,-0.3228
281,-0.3411
282,-0.3289
283,-0.335
284,-0.2437
285,-0.3775
286,-0.3045
287,-0.3045
288,-0.335
289,-0.2681
290,-0.3045
291,-0.2985
292,-0.3289
293,-0.3593
294,-0.3715
295,-0.3228
296,-0.3106
297,-0.3228
298,-0.2924
299,-0.3228
300,-0.3228
301,-0.3411
302,-0.189
303,-0.2802
304,-0.3471
305,-0.3228
306,-0.3167
307,-0.3411
308,-0.2498
309,-0.262
310,-0.262
311,-0.262
312,-0.3289
313,-0.3045
314,-0.3289
315,-0.3106
316,-0.2924
317,-0.335
318,-0.2802
319,-0.3289
320,-0.3228
321,-0.2924
322,-0.3106
323,-0.3289
324,-0.3289
325,-0.3715
326,-0.3167
327,-0.3045
328,-0.3958
329,-0.3228
330,-0.3411
331,-0.2985
332,-0.3897
333,-0.3411
334,-0.3228
335,-0.3715
336,-0.3471
337,-0.3897
338,-0.3532
339,-0.2985
340,-0.3654
341,-0.3715
342,-0.3593
343,-0.3775
344,-0.3593
345,-0.3958
346,-0.3958
347,-0.3471
348,-0.3471
349,-0.3836
350,-0.3958
351,-0.3532
352,-0.3715
353,-0.3775
354,-0.414
355,-0.4262
356,-0.4079
357,-0.4201
358,-0.414
359,-0.4444
360,-0.3958
361,-0.4262
362,-0.4201
363,-0.4566
364,-0.4505
365,-0.4505
366,-0.4505
367,-0.4566
368,-0.5113
369,-0.4262
370,-0.4444
371,-0.4749
372,-0.4505
373,-0.4809
374,-0.487
375,-0.4749
376,-0.4566
377,-0.4931
378,-0.4505
379,-0.4931
380,-0.4809
381,-0.4992
382,-0.4566
383,-0.4323
384,-0.4566
385,-0.4566
386,-0.487
387,-0.4688
388,-0.4931
389,-0.4566
390,-0.4627
391,-0.4505
392,-0.3775
393,-0.3897
394,-0.3836
395,-0.3836
396,-0.414
397,-0.4019
398,-0.4505
399,-0.4444
400,-0.4444
401,-0.4262
402,-0.4688
403,-0.4688
404,-0.4688
405,-0.4323
406,-0.4079
407,-0.4323
408,-0.4201
409,-0.5113
410,-0.4566
411,-0.4019
412,-0.4201
413,-0.4262
414,-0.4262
415,-0.4079
416,-0.4019
417,-0.4262
418,-0.3958
419,-0.414
420,-0.4079
421,-0.4323
422,-0.4384
423,-0.4262
424,-0.4019
425,-0.4079
426,-0.4079
427,-0.414
428,-0.4019
429,-0.3958
430,-0.3593
431,-0.3593
432,-0.3897
433,-0.3836
434,-0.3958
435,-0.3897
436,-0.3471
437,-0.3411
438,-0.3289
439,-0.4019
440,-0.3654
441,-0.3593
442,-0.3532
443,-0.3715
444,-0.3106
445,-0.3715
446,-0.3958
447,-0.3958
448,-0.3715
449,-0.3958
450,-0.3471
451,-0.414
452,-0.3775
453,-0.414
454,-0.3289
455,-0.4079
456,-0.3715
457,-0.4019
458,-0.3775
459,-0.3411
460,-0.3532
461,-0.4019
462,-0.3958
463,-0.414
464,-0.3775
465,-0.3775
466,-0.414
467,-0.4079
468,-0.4079
469,-0.4201
470,-0.4201
471,-0.4079
472,-0.4444
473,-0.4931
474,-0.4323
475,-0.4505
476,-0.5843
477,-0.6148
478,-0.6573
479,-0.6756
480,-0.6148
481,-0.6573
482,-0.6452
483,-0.6816
484,-0.6269
485,-0.6573
486,-0.6269
487,-0.706
488,-0.6999
489,-0.633
490,-0.6452
491,-0.633
492,-0.6999
493,-0.7181
494,-0.7486
495,-0.6695
496,-0.6877
497,-0.7729
498,-0.779
499,-0.7729
500,-0.8276
501,-0.8459
502,-0.9188
503,-0.9675
504,-1.004
505,-0.9918
506,-1.034
507,-1.01
508,-1.077
509,-1.053
510,-1.047
511,-1.028
512,-0.9858
513,-0.9979
514,-1.022
515,-0.9614
516,-0.8884
517,-0.9614
518,-0.8398
519,-0.8702
520,-0.8519
521,-0.8824
522,-0.8702
523,-0.8459
524,-0.8215
525,-0.7972
526,-0.7364
527,-0.7486
528,-0.6695
529,-0.7181
530,-0.6269
531,-0.633
532,-0.6573
533,-0.7364
534,-0.7242
535,-0.8276
536,-0.8763
537,-0.931
538,-1.004
539,-1.053
540,-1.065
541,-1.193
542,-1.26
543,-1.351
544,-1.411
545,-1.46
546,-1.503
547,-1.515
548,-1.606
549,-1.716
550,-1.661
551,-1.606
552,-1.728
553,-1.776
554,-1.837
555,-1.88
556,-1.868
557,-1.916
558,-2.093
559,-2.062
560,-2.093
561,-2.123
562,-2.026
563,-1.989
564,-1.929
565,-1.898
566,-1.782
567,-1.722
568,-1.588
569,-1.503
570,-1.339
571,-1.247
572,-1.126
573,-1.12
574,-1.04
575,-0.9797
576,-0.9493
577,-0.9067
578,-0.7242
579,-0.6816
580,-0.5053
581,-0.487
582,-0.3836
583,-0.2681
584,-0.2377
585,-0.06735
586,-0.116
587,-0.07951
588,-0.1038
589,-0.09168
590,0.06038
591,0.07254
592,0.1151
593,0.2672
594,0.2428
595,0.3037
596,0.1942
597,0.3645
598,0.3645
599,0.4679
600,0.5834
601,0.6078
602,0.6443
603,0.6686
604,0.6808
605,0.6686
606,0.6139
607,0.6868
608,0.7233
609,0.7173
610,0.6017
611,0.6139
612,0.6747
613,0.7294
614,0.8146
615,0.8328
616,0.918
617,0.8632
618,0.9605
619,1.058
620,1.094
621,1.143
622,1.198
623,1.216
624,1.252
625,1.325
626,1.325
627,1.35
628,1.38
629,1.38
630,1.55
631,1.484
632,1.557
633,1.526
634,1.538
635,1.538
636,1.502
637,1.465
638,1.453
639,1.411
640,1.362
641,1.35
642,1.344
643,1.295
644,1.319
645,1.331
646,1.301
647,1.283
648,1.325
649,1.295
650,1.265
651,1.252
652,1.313
653,1.386
654,1.399
655,1.38
656,1.368
657,1.411
658,1.399
659,1.392
660,1.386
661,1.411
662,1.447
663,1.447
664,1.471
665,1.453
666,1.441
667,1.526
668,1.605
669,1.636
670,1.69
671,1.745
672,1.733
673,1.782
674,1.836
675,1.855
676,2.001
677,2.001
678,1.976
679,2.08
680,2.08
681,2.098
682,2.019
683,2.031
684,2.025
685,2.043
686,1.976
687,1.891
688,1.897
689,1.885
690,1.806
691,1.745
692,1.776
693,1.751
694,1.733
695,1.763
696,1.782
697,1.782
698,1.721
699,1.733
700,1.715
701,1.776
702,1.788
703,1.763
704,1.739
705,1.733
706,1.751
707,1.812
708,1.849
709,1.8
710,1.843
711,1.855
712,1.855
713,1.849
714,1.836
715,1.909
716,1.921
717,2.001
718,1.958
719,1.988
720,1.921
721,1.988
722,1.946
723,1.921
724,1.903
725,1.891
726,1.818
727,1.824
728,1.782
729,1.776
730,1.8
731,1.788
