x,y
0,-1.256
1,-1.299
2,-1.308
3,-1.377
4,-1.365
5,-1.391
6,-1.43
7,-1.478
8,-1.59
9,-1.569
10,-1.656
11,-1.625
12,-1.708
13,-1.799
14,-1.786
15,-1.855
16,-1.855
17,-1.955
18,-1.873
19,-1.964
20,-1.977
21,-1.96
22,-1.994
23,-1.96
24,-1.899
25,-1.942
26,-1.964
27,-1.99
28,-1.938
29,-1.964
30,-1.986
31,-1.964
32,-1.981
33,-2.007
34,-1.99
35,-1.964
36,-2.034
37,-2.012
38,-2.003
39,-2.029
40,-2.007
41,-1.977
42,-1.986
43,-1.99
44,-1.981
45,-1.986
46,-1.986
47,-1.986
48,-1.912
49,-1.929
50,-1.938
51,-1.938
52,-1.955
53,-1.938
54,-1.899
55,-1.895
56,-1.886
57,-1.895
58,-1.869
59,-1.877
60,-1.881
61,-1.851
62,-1.821
63,-1.773
64,-1.742
65,-1.669
66,-1.647
67,-1.599
68,-1.629
69,-1.617
70,-1.595
71,-1.569
72,-1.543
73,-1.564
74,-1.521
75,-1.538
76,-1.508
77,-1.508
78,-1.482
79,-1.469
80,-1.538
81,-1.538
82,-1.499
83,-1.538
84,-1.512
85,-1.517
86,-1.517
87,-1.499
88,-1.421
89,-1.386
90,-1.369
91,-1.312
92,-1.278
93,-1.243
94,-1.217
95,-1.126
96,-1.095
97,-1.069
98,-1.082
99,-1.06
100,-1.065
101,-1.073
102,-1.043
103,-1.069
104,-1.052
105,-1.073
106,-1.06
107,-1.043
108,-1.03
109,-0.9735
110,-0.9387
111,-0.9518
112,-0.917
113,-0.891
114,-0.8518
115,-0.8127
116,-0.7736
117,-0.7563
118,-0.7041
119,-0.6346
120,-0.6563
121,-0.5999
122,-0.5782
123,-0.5564
124,-0.5608
125,-0.5304
126,-0.513
127,-0.513
128,-0.526
129,-0.5434
130,-0.526
131,-0.5347
132,-0.5434
133,-0.5564
134,-0.5217
135,-0.5347
136,-0.5521
137,-0.5217
138,-0.5825
