x,y
0,-0.2335
1,-0.238
2,-0.2664
3,-0.2785
4,-0.2853
5,-0.288
6,-0.2865
7,-0.2869
8,-0.2922
9,-0.2884
10,-0.2897
11,-0.2808
12,-0.2668
13,-0.2657
14,-0.2591
15,-0.2667
16,-0.2673
17,-0.2577
18,-0.2506
19,-0.2548
20,-0.2475
21,-0.2338
22,-0.2337
23,-0.2411
24,-0.2416
25,-0.2392
26,-0.2389
27,-0.2295
28,-0.2282
29,-0.2243
30,-0.2189
31,-0.2082
32,-0.232
33,-0.233
34,-0.2307
35,-0.2325
36,-0.2359
37,-0.2355
38,-0.2464
39,-0.2434
40,-0.2521
41,-0.243
42,-0.2879
43,-0.2917
44,-0.3125
45,-0.3032
46,-0.3055
47,-0.3175
48,-0.3156
49,-0.3166
50,-0.316
51,-0.3117
52,-0.3177
53,-0.3178
54,-0.3139
55,-0.314
56,-0.3242
57,-0.3303
58,-0.3272
59,-0.3247
60,-0.3248
61,-0.3206
62,-0.3364
63,-0.3406
64,-0.3429
65,-0.3546
66,-0.36
67,-0.3639
68,-0.3902
69,-0.3815
70,-0.3924
71,-0.3824
72,-0.3941
73,-0.3986
74,-0.4021
75,-0.398
76,-0.4012
77,-0.3981
78,-0.4039
79,-0.4117
80,-0.4056
81,-0.4019
82,-0.407
83,-0.3965
84,-0.4039
85,-0.3966
86,-0.402
87,-0.4017
88,-0.3935
89,-0.3923
90,-0.3912
91,-0.395
92,-0.3972
93,-0.3967
94,-0.3905
95,-0.3855
96,-0.3885
97,-0.3795
98,-0.3788
99,-0.37
100,-0.3753
101,-0.3634
102,-0.3618
103,-0.3595
104,-0.3493
105,-0.34
106,-0.339
107,-0.3424
108,-0.3469
109,-0.3517
110,-0.3417
111,-0.3471
112,-0.3479
113,-0.3343
114,-0.3426
115,-0.3361
116,-0.3671
117,-0.368
118,-0.366
119,-0.3688
120,-0.3664
121,-0.3695
122,-0.3599
123,-0.3651
124,-0.3653
125,-0.3591
126,-0.3647
127,-0.3633
128,-0.3593
129,-0.3465
130,-0.3407
131,-0.3436
132,-0.3463
133,-0.3397
134,-0.3378
135,-0.3367
136,-0.3395
137,-0.3455
138,-0.3417
139,-0.3453
140,-0.3424
141,-0.3563
142,-0.3534
143,-0.3545
144,-0.3593
145,-0.36
146,-0.3631
147,-0.3494
148,-0.3622
149,-0.3549
150,-0.352
151,-0.3463
152,-0.3322
153,-0.3381
154,-0.3254
155,-0.3137
156,-0.3085
157,-0.3075
158,-0.3009
159,-0.2948
160,-0.2891
161,-0.2939
162,-0.2854
163,-0.281
164,-0.281
165,-0.2869
166,-0.2902
167,-0.3074
168,-0.3003
169,-0.3016
170,-0.2868
171,-0.2885
172,-0.3156
173,-0.3185
174,-0.3132
175,-0.309
176,-0.3065
177,-0.3156
178,-0.3117
179,-0.3185
180,-0.313
181,-0.3203
182,-0.3341
183,-0.3448
184,-0.3557
185,-0.3917
186,-0.4048
187,-0.4167
188,-0.4205
189,-0.4576
190,-0.4639
191,-0.4916
192,-0.4721
193,-0.4839
194,-0.4834
195,-0.5899
196,-0.5874
197,-0.5944
198,-0.6063
199,-0.6094
200,-0.6223
201,-0.6225
202,-0.6355
203,-0.6482
204,-0.6522
205,-0.6545
206,-0.6603
207,-0.6784
208,-0.6879
209,-0.6967
210,-0.7046
211,-0.7044
212,-0.7057
213,-0.709
214,-0.7017
215,-0.7155
216,-0.7326
217,-0.7088
218,-0.7201
219,-0.7247
220,-0.7304
221,-0.7275
222,-0.7398
223,-0.7445
224,-0.748
225,-0.7386
226,-0.7465
227,-0.748
228,-0.7585
229,-0.7504
230,-0.7656
231,-0.8372
232,-0.8477
233,-0.8409
234,-0.8426
235,-0.8398
236,-0.8475
237,-0.8469
238,-0.848
239,-0.8439
240,-0.8408
241,-0.8222
242,-0.8134
243,-0.8112
244,-0.7986
245,-0.7832
246,-0.7659
247,-0.7491
248,-0.7335
249,-0.7435
250,-0.7237
251,-0.7245
252,-0.7033
253,-0.6852
254,-0.669
255,-0.6542
256,-0.6429
257,-0.6283
258,-0.6121
259,-0.5971
260,-0.5755
261,-0.5738
262,-0.5365
263,-0.5292
264,-0.5088
265,-0.5026
266,-0.5618
267,-0.5536
268,-0.5481
269,-0.5323
270,-0.5343
271,-0.528
272,-0.5181
273,-0.5124
274,-0.5146
275,-0.5068
276,-0.4924
277,-0.4974
278,-0.4949
279,-0.4865
280,-0.4755
281,-0.4787
282,-0.4741
283,-0.456
284,-0.452
285,-0.4518
286,-0.4394
287,-0.4157
288,-0.404
289,-0.3957
290,-0.3944
291,-0.3749
292,-0.3553
293,-0.3501
294,-0.3423
295,-0.3266
296,-0.3187
297,-0.3152
298,-0.305
299,-0.2997
300,-0.3158
301,-0.2981
302,-0.3315
303,-0.3194
304,-0.3245
305,-0.3249
306,-0.3335
307,-0.3415
308,-0.3429
309,-0.3573
310,-0.3677
311,-0.376
312,-0.3838
313,-0.3863
314,-0.4068
315,-0.4107
316,-0.4238
317,-0.4331
318,-0.4416
319,-0.4617
320,-0.4816
321,-0.4978
322,-0.5178
323,-0.5266
324,-0.5347
325,-0.5448
326,-0.5664
327,-0.5836
328,-0.5907
329,-0.6017
330,-0.6188
331,-0.625
332,-0.6356
333,-0.6398
334,-0.6558
335,-0.6758
336,-0.6838
337,-0.7025
338,-0.7122
339,-0.7304
340,-0.7315
341,-0.7371
342,-0.7419
343,-0.7476
344,-0.7488
345,-0.7513
346,-0.7522
347,-0.7541
348,-0.7545
349,-0.7438
350,-0.7409
351,-0.7493
352,-0.7372
353,-0.7503
354,-0.7573
355,-0.7678
356,-0.7562
357,-0.7718
358,-0.7746
359,-0.7925
360,-0.7682
361,-0.7815
362,-0.8471
363,-0.8629
364,-0.873
365,-0.8798
