x,y
0,-0.8552
1,-0.7648
2,-0.6531
3,-0.5208
4,-0.3698
5,-0.2036
6,-0.02762
7,0.1538
8,0.336
9,0.5148
10,0.687
11,0.8494
12,1.001
13,1.143
14,1.275
15,1.398
16,1.513
17,1.621
18,1.722
19,1.816
20,1.905
21,1.987
22,2.064
23,2.135
24,2.199
25,2.256
26,2.304
27,2.341
28,2.364
29,2.373
30,2.365
31,2.338
32,2.295
33,2.236
34,2.164
35,2.083
36,1.996
37,1.907
38,1.819
39,1.734
40,1.652
41,1.573
42,1.495
43,1.417
44,1.336
45,1.25
46,1.157
47,1.057
48,0.9501
49,0.8366
50,0.719
51,0.5995
52,0.4813
53,0.3674
54,0.2601
55,0.1612
56,0.07078
57,-0.01008
58,-0.0821
59,-0.1465
60,-0.2046
61,-0.2589
62,-0.3082
63,-0.3533
64,-0.3948
65,-0.4329
66,-0.4691
67,-0.5009
68,-0.5283
69,-0.5521
70,-0.5726
71,-0.5921
72,-0.6079
73,-0.6204
74,-0.6305
75,-0.6387
76,-0.6476
77,-0.6541
78,-0.6588
79,-0.6626
80,-0.6664
81,-0.6727
82,-0.6781
83,-0.683
84,-0.6878
85,-0.6931
86,-0.7007
87,-0.7074
88,-0.7132
89,-0.7187
90,-0.724
91,-0.731
92,-0.7369
93,-0.7416
94,-0.7458
95,-0.7496
96,-0.7549
97,-0.7594
98,-0.7635
99,-0.7676
100,-0.772
101,-0.7778
102,-0.7829
103,-0.7872
104,-0.7907
105,-0.7934
106,-0.7961
107,-0.7978
108,-0.7988
109,-0.7997
110,-0.8008
111,-0.8028
112,-0.805
113,-0.8071
114,-0.8093
115,-0.8115
116,-0.814
117,-0.8163
118,-0.8184
119,-0.8206
120,-0.8232
121,-0.8268
122,-0.8308
123,-0.835
124,-0.8393
125,-0.8435
126,-0.8482
127,-0.8527
128,-0.857
129,-0.861
130,-0.8648
131,-0.8695
132,-0.8741
133,-0.8784
134,-0.8821
135,-0.8851
136,-0.8883
137,-0.8909
138,-0.8929
139,-0.8944
140,-0.8958
141,-0.8986
142,-0.9024
143,-0.907
144,-0.9126
145,-0.9192
146,-0.9282
147,-0.9384
148,-0.9494
149,-0.9606
150,-0.9715
151,-0.9835
152,-0.995
153,-1.005
154,-1.014
155,-1.02
156,-1.027
157,-1.032
158,-1.036
159,-1.037
160,-1.036
161,-1.033
162,-1.028
163,-1.019
164,-1.004
165,-0.9832
166,-0.9583
167,-0.9275
168,-0.8904
169,-0.8473
170,-0.7987
171,-0.7482
172,-0.6954
173,-0.6412
174,-0.5864
175,-0.5321
176,-0.4815
177,-0.4338
178,-0.3892
179,-0.3474
180,-0.3081
181,-0.2727
182,-0.2392
183,-0.2062
184,-0.1724
185,-0.1364
186,-0.09884
187,-0.0579
188,-0.01302
189,0.03597
190,0.08865
191,0.1429
192,0.1984
193,0.2542
194,0.3095
195,0.3638
196,0.4158
197,0.4663
198,0.5158
199,0.5646
200,0.6134
201,0.6616
202,0.7098
203,0.7577
204,0.8052
205,0.8523
206,0.8985
207,0.9444
208,0.9903
209,1.037
210,1.084
211,1.131
212,1.179
213,1.226
214,1.272
215,1.313
216,1.349
217,1.378
218,1.399
219,1.412
220,1.414
221,1.407
222,1.391
223,1.367
224,1.333
225,1.293
226,1.244
227,1.19
228,1.129
229,1.062
230,0.9909
231,0.915
232,0.8362
233,0.7556
234,0.6739
235,0.592
236,0.5102
237,0.43
238,0.3515
239,0.275
240,0.2006
241,0.1279
242,0.05806
243,-0.008976
244,-0.0736
245,-0.1364
246,-0.1988
247,-0.26
248,-0.321
249,-0.3821
250,-0.4435
251,-0.5057
252,-0.566
253,-0.6234
254,-0.6773
255,-0.7272
256,-0.7742
257,-0.8167
258,-0.8556
259,-0.8917
260,-0.9256
261,-0.9584
262,-0.9873
263,-1.011
264,-1.03
265,-1.043
266,-1.051
267,-1.054
268,-1.052
269,-1.047
