x,y
0,-0.318
1,-0.4407
2,-0.3981
3,-0.3472
4,-0.3945
5,-0.3976
6,-0.3574
7,-0.225
8,-0.02605
9,0.2332
10,0.464
11,0.6978
12,0.9623
13,1.187
14,1.436
15,1.663
16,1.82
17,1.974
18,2.066
19,2.149
20,2.196
21,2.208
22,2.193
23,2.156
24,2.1
25,2.027
26,1.938
27,1.835
28,1.722
29,1.603
30,1.478
31,1.35
32,1.22
33,1.092
34,0.9704
35,0.8566
36,0.7532
37,0.661
38,0.5809
39,0.5138
40,0.4618
41,0.4224
42,0.3915
43,0.3715
44,0.3674
45,0.3736
46,0.3836
47,0.4
48,0.4224
49,0.4506
50,0.4875
51,0.533
52,0.5868
53,0.6478
54,0.7154
55,0.7851
56,0.8448
57,0.8931
58,0.9373
59,0.9765
60,1.009
61,1.035
62,1.053
63,1.063
64,1.062
65,1.051
66,1.025
67,0.9855
68,0.933
69,0.8702
70,0.7984
71,0.7179
72,0.6299
73,0.5362
74,0.4374
75,0.3326
76,0.2205
77,0.1026
78,-0.01658
79,-0.1328
80,-0.2413
81,-0.3403
82,-0.431
83,-0.5148
84,-0.5908
85,-0.6576
86,-0.7124
87,-0.7532
88,-0.7871
89,-0.8197
90,-0.8488
91,-0.8762
92,-0.9028
93,-0.9265
94,-0.9463
95,-0.9609
96,-0.9723
97,-0.9807
98,-0.9863
99,-0.9898
100,-0.9905
101,-0.9876
102,-0.9823
103,-0.9767
104,-0.9717
105,-0.9661
106,-0.96
107,-0.9527
108,-0.9448
109,-0.935
110,-0.9204
111,-0.9035
112,-0.8883
113,-0.8759
114,-0.8647
115,-0.853
116,-0.8426
117,-0.8348
118,-0.8301
119,-0.8286
120,-0.8296
121,-0.8325
122,-0.8361
123,-0.8388
124,-0.841
125,-0.8437
126,-0.8459
127,-0.8462
128,-0.8426
129,-0.8337
130,-0.8172
131,-0.7904
132,-0.7524
133,-0.7006
134,-0.632
135,-0.5538
136,-0.4761
137,-0.3992
138,-0.3245
139,-0.2528
140,-0.1849
141,-0.1213
142,-0.06195
143,-0.008981
144,0.03432
145,0.06757
146,0.08954
147,0.09957
148,0.09737
149,0.08316
150,0.0594
151,0.02625
152,-0.01553
153,-0.06415
154,-0.1189
155,-0.1782
156,-0.2402
157,-0.3024
158,-0.3634
159,-0.4227
160,-0.4778
161,-0.5238
162,-0.5659
163,-0.6113
164,-0.6563
165,-0.6993
166,-0.7402
167,-0.7783
168,-0.8155
169,-0.8515
170,-0.8856
171,-0.9171
172,-0.9443
173,-0.9673
174,-0.9848
175,-0.9966
176,-1.004
177,-1.006
178,-1.005
179,-1.001
180,-0.9971
181,-0.9922
182,-0.985
183,-0.974
184,-0.9571
185,-0.9341
186,-0.9026
187,-0.8616
188,-0.8066
189,-0.7329
190,-0.6396
191,-0.5246
192,-0.3891
193,-0.2362
194,-0.0698
195,0.108
196,0.2943
197,0.4885
198,0.6895
199,0.8932
200,1.095
201,1.288
202,1.468
203,1.635
204,1.793
205,1.93
206,2.025
207,2.081
208,2.107
209,2.103
210,2.075
211,2.037
212,1.989
213,1.935
214,1.876
215,1.811
216,1.74
217,1.659
218,1.572
219,1.479
220,1.375
221,1.265
222,1.148
223,1.017
224,0.8716
225,0.7177
226,0.5608
227,0.404
228,0.2532
229,0.1111
230,-0.02199
231,-0.1464
232,-0.2622
233,-0.3669
234,-0.4608
235,-0.5403
236,-0.6068
237,-0.6683
238,-0.7242
239,-0.7757
240,-0.8222
241,-0.8645
242,-0.9043
243,-0.9389
244,-0.9694
245,-0.9964
246,-1.021
247,-1.044
248,-1.064
249,-1.025
250,-1.041
251,-1.055
252,-1.067
253,-1.079
254,-1.09
255,-1.102
256,-1.111
257,-1.118
258,-1.083
259,-1.095
260,-1.111
261,-1.075
262,-1.008
263,-1.016
264,-1.003
265,-1.031
266,-1.063
267,-1.099
268,-1.102
269,-1.094
