x,y
0,-0.8436
1,-0.8394
2,-0.8461
3,-0.8142
4,-0.766
5,-0.7724
6,-0.8131
7,-0.8317
8,-0.8417
9,-0.8567
10,-0.8614
11,-0.8629
12,-0.868
13,-0.87
14,-0.8716
15,-0.8747
16,-0.8746
17,-0.8732
18,-0.8741
19,-0.8746
20,-0.8727
21,-0.8714
22,-0.8703
23,-0.867
24,-0.8637
25,-0.8614
26,-0.8591
27,-0.8578
28,-0.8575
29,-0.8562
30,-0.8551
31,-0.8536
32,-0.8515
33,-0.8502
34,-0.8469
35,-0.8442
36,-0.8415
37,-0.8328
38,-0.8225
39,-0.8136
40,-0.797
41,-0.7574
42,-0.6571
43,-0.4176
44,0.01679
45,0.586
46,1.137
47,1.535
48,1.719
49,1.712
50,1.585
51,1.409
52,1.23
53,1.068
54,0.9033
55,0.7129
56,0.5092
57,0.3161
58,0.1478
59,0.01334
60,-0.0895
61,-0.1762
62,-0.2596
63,-0.3295
64,-0.3772
65,-0.4142
66,-0.4493
67,-0.4793
68,-0.5016
69,-0.5173
70,-0.5264
71,-0.5314
72,-0.5353
73,-0.5355
74,-0.5344
75,-0.5379
76,-0.5401
77,-0.5412
78,-0.5479
79,-0.549
80,-0.5361
81,-0.5198
82,-0.5053
83,-0.4746
84,-0.3862
85,-0.163
86,0.2743
87,0.8992
88,1.569
89,2.161
90,2.658
91,3.085
92,3.45
93,3.718
94,3.853
95,3.854
96,3.752
97,3.59
98,3.394
99,3.161
100,2.886
101,2.586
102,2.292
103,2.031
104,1.81
105,1.631
106,1.485
107,1.359
108,1.258
109,1.194
110,1.151
111,1.105
112,1.054
113,0.9986
114,0.9308
115,0.8529
116,0.7888
117,0.7632
118,0.7828
119,0.8206
120,0.8249
121,0.7626
122,0.6422
123,0.5029
124,0.377
125,0.2588
126,0.1286
127,-0.01011
128,-0.1365
129,-0.2364
130,-0.3023
131,-0.3175
132,-0.2596
133,-0.1207
134,0.08629
135,0.336
136,0.5936
137,0.8191
138,0.976
139,1.05
140,1.053
141,1.018
142,0.969
143,0.9126
144,0.8567
145,0.8153
146,0.7862
147,0.7485
148,0.6797
149,0.5663
150,0.42
151,0.2761
152,0.1512
153,0.03172
154,-0.0908
155,-0.2123
156,-0.3279
157,-0.4244
158,-0.4919
159,-0.5363
160,-0.562
161,-0.5731
162,-0.5786
163,-0.5782
164,-0.5708
165,-0.5655
166,-0.5642
167,-0.5611
168,-0.5562
169,-0.556
170,-0.5638
171,-0.5748
172,-0.5876
173,-0.607
174,-0.6307
175,-0.6493
176,-0.6598
177,-0.6643
178,-0.6643
179,-0.6649
180,-0.6681
181,-0.6704
182,-0.6686
183,-0.6595
184,-0.6296
185,-0.5614
186,-0.4425
187,-0.2729
188,-0.08325
189,0.07032
190,0.1558
191,0.184
192,0.1736
193,0.1365
194,0.07984
195,0.005414
196,-0.07908
197,-0.1585
198,-0.2256
199,-0.2826
200,-0.3344
201,-0.387
202,-0.4399
203,-0.485
204,-0.5204
205,-0.5501
206,-0.5736
207,-0.5904
208,-0.6062
209,-0.6229
210,-0.6311
211,-0.6268
212,-0.6189
213,-0.6068
214,-0.578
215,-0.5283
216,-0.4546
217,-0.3512
218,-0.2285
219,-0.1124
220,-0.02932
221,0.002252
222,-0.01262
223,-0.05403
224,-0.1113
225,-0.1727
226,-0.2239
227,-0.2668
228,-0.3113
229,-0.3644
230,-0.4277
231,-0.4855
232,-0.5232
233,-0.5453
234,-0.5578
235,-0.5601
236,-0.5526
237,-0.5312
238,-0.4941
239,-0.4531
240,-0.4219
241,-0.4039
242,-0.3959
243,-0.3928
244,-0.391
245,-0.3907
246,-0.3941
247,-0.3979
248,-0.3995
249,-0.4013
250,-0.4013
251,-0.3955
252,-0.3868
253,-0.3791
254,-0.374
255,-0.3767
256,-0.3899
257,-0.4052
258,-0.4151
259,-0.4242
260,-0.437
261,-0.4511
262,-0.4659
263,-0.4852
264,-0.5109
265,-0.5521
266,-0.62
267,-0.6986
268,-0.7684
269,-0.8323
