x,y
0,-0.3049
1,-0.2955
2,-0.246
3,-0.2413
4,-0.145
5,-0.02692
6,0.1243
7,0.3224
8,0.5282
9,0.7569
10,0.9675
11,1.138
12,1.329
13,1.542
14,1.729
15,1.921
16,2.056
17,2.067
18,1.995
19,1.929
20,1.811
21,1.636
22,1.486
23,1.333
24,1.157
25,0.9982
26,0.8639
27,0.7245
28,0.5543
29,0.3905
30,0.1769
31,-0.04206
32,-0.2454
33,-0.3734
34,-0.4572
35,-0.5665
36,-0.6802
37,-0.7876
38,-0.8595
39,-0.9181
40,-0.9685
41,-1.016
42,-1.044
43,-1.061
44,-1.066
45,-1.068
46,-1.066
47,-1.049
48,-1.065
49,-1.078
50,-1.069
51,-1.07
52,-1.066
53,-1.056
54,-1.051
55,-1.041
56,-0.9808
57,-1.007
58,-1.048
59,-1.011
60,-0.9823
61,-1.015
62,-0.9895
63,-0.9528
64,-0.9492
65,-0.9588
66,-0.9667
67,-0.9675
68,-0.9761
69,-0.9881
70,-0.9729
71,-0.9765
72,-0.9819
73,-0.9968
74,-0.9917
75,-0.9868
76,-0.9864
77,-0.9564
78,-0.9405
79,-0.9455
80,-0.9681
81,-0.9569
82,-0.9462
83,-0.9558
84,-0.9644
85,-0.9374
86,-0.9544
87,-0.9677
88,-0.9458
89,-0.9386
90,-0.9322
91,-0.9395
92,-0.9169
93,-0.8796
94,-0.8302
95,-0.7899
96,-0.7726
97,-0.7404
98,-0.7562
99,-0.7558
100,-0.74
101,-0.7278
102,-0.7079
103,-0.6847
104,-0.6398
105,-0.6323
106,-0.6536
107,-0.6766
108,-0.6674
109,-0.7145
110,-0.7961
111,-0.9091
112,-1.02
113,-0.9939
114,-0.9763
115,-0.9366
116,-0.9117
117,-0.8118
118,-0.6523
119,-0.4939
120,-0.3327
121,-0.1578
122,0.01255
123,0.1961
124,0.3491
125,0.4693
126,0.6047
127,0.7005
128,0.8107
129,0.8678
130,0.8731
131,0.7375
132,0.7536
133,0.7359
134,0.7088
135,0.6791
136,0.6366
137,0.5748
138,0.5224
139,0.5425
140,0.5252
141,0.4691
142,0.5409
143,0.6607
144,0.57
145,0.4302
146,0.3426
147,0.3532
148,0.387
149,0.4019
150,0.4606
151,0.5589
152,0.6501
153,0.7712
154,0.9328
155,1.116
156,1.315
157,1.514
158,1.704
159,1.881
160,2.08
161,2.324
162,2.516
163,2.583
164,2.526
165,2.312
166,2.062
167,1.882
168,1.687
169,1.543
170,1.411
171,1.26
172,1.188
173,1.091
174,0.926
175,0.7837
176,0.6038
177,0.3022
178,-0.129
179,-0.5058
180,-0.6739
181,-0.7331
182,-0.7199
183,-0.6948
184,-0.7146
185,-0.681
186,-0.6657
187,-0.7078
188,-0.7569
189,-0.7667
190,-0.7715
191,-0.7884
192,-0.7964
193,-0.7799
194,-0.7945
195,-0.8073
196,-0.824
197,-0.8347
198,-0.8188
199,-0.8052
200,-0.8081
201,-0.8265
202,-0.8392
203,-0.8423
204,-0.8504
205,-0.8516
206,-0.8557
207,-0.8365
208,-0.8087
209,-0.7881
210,-0.7845
211,-0.7941
212,-0.7611
213,-0.6955
214,-0.672
215,-0.6672
216,-0.681
217,-0.7074
218,-0.736
219,-0.7466
220,-0.7466
221,-0.739
222,-0.7262
223,-0.7416
224,-0.7504
225,-0.7647
226,-0.7734
227,-0.7792
228,-0.7604
229,-0.7429
230,-0.7338
231,-0.7423
232,-0.7436
233,-0.7127
234,-0.6255
235,-0.626
236,-0.6257
237,-0.6022
238,-0.5594
239,-0.5136
240,-0.493
241,-0.4529
242,-0.4261
243,-0.4379
244,-0.4108
245,-0.3881
246,-0.3427
247,-0.3212
248,-0.3417
249,-0.3971
250,-0.4047
251,-0.4146
252,-0.4553
253,-0.5432
254,-0.664
255,-0.8201
256,-0.9172
257,-0.8828
258,-0.7631
259,-0.6432
260,-0.5222
261,-0.3871
262,-0.2326
263,-0.06763
264,0.07104
265,0.196
266,0.3207
267,0.4638
268,0.6232
269,0.6865
270,0.7556
271,0.8272
272,0.8726
273,0.8867
274,0.8486
275,0.7674
276,0.7047
277,0.6365
278,0.5775
279,0.5641
280,0.5536
281,0.4782
282,0.4451
283,0.3762
284,0.344
285,0.3332
286,0.3392
287,0.3598
288,0.3245
289,0.3444
290,0.3781
291,0.4146
292,0.4711
293,0.4798
294,0.5136
295,0.6424
296,0.7742
297,0.9237
298,1.077
299,1.243
300,1.454
301,1.71
302,1.95
303,2.176
304,2.461
305,2.674
306,2.845
307,2.91
308,2.844
309,2.677
310,2.439
311,2.272
312,2.017
313,1.812
314,1.635
315,1.415
316,1.255
317,1.158
318,0.9708
319,0.7858
320,0.5879
321,0.3423
322,0.07284
323,-0.1475
324,-0.2529
325,-0.2687
326,-0.2896
327,-0.2796
328,-0.2995
329,-0.3269
330,-0.3686
331,-0.4418
332,-0.5183
333,-0.5132
334,-0.5505
335,-0.571
336,-0.5499
337,-0.5381
338,-0.5532
339,-0.5858
340,-0.5655
341,-0.5458
342,-0.5929
