x,y
0,-0.7924
1,-0.7889
2,-0.7572
3,-0.7184
4,-0.7043
5,-0.6902
6,-0.6515
7,-0.6515
8,-0.6515
9,-0.6162
10,-0.5422
11,-0.5316
12,-0.4717
13,-0.4189
14,-0.433
15,-0.3801
16,-0.3378
17,-0.3413
18,-0.3413
19,-0.3096
20,-0.2885
21,-0.2462
22,-0.2039
23,-0.1651
24,-0.1263
25,-0.05234
26,0.03577
27,0.08511
28,0.1168
29,0.1662
30,0.2613
31,0.3353
32,0.3671
33,0.4411
34,0.4834
35,0.4975
36,0.5115
37,0.5292
38,0.5433
39,0.5574
40,0.575
41,0.5961
42,0.5997
43,0.6032
44,0.6173
45,0.6525
46,0.7124
47,0.7618
48,0.8393
49,0.8887
50,0.945
51,0.9944
52,0.9944
53,1.068
54,1.089
55,1.121
56,1.139
57,1.132
58,1.125
59,1.079
60,1.061
61,1.054
62,1.008
63,0.9909
64,0.938
65,0.8992
66,0.8534
67,0.797
68,0.7547
69,0.7723
70,0.7089
71,0.6525
72,0.5997
73,0.5433
74,0.4904
75,0.4375
76,0.3811
77,0.3283
78,0.2754
79,0.2366
80,0.1767
81,0.1485
82,0.08863
83,0.02519
84,-0.08406
85,-0.1334
86,-0.1123
87,-0.1193
88,-0.1263
89,-0.1686
90,-0.1933
91,-0.225
92,-0.2673
93,-0.3695
94,-0.4717
95,-0.5281
96,-0.6021
97,-0.6339
98,-0.6797
99,-0.7079
100,-0.7572
101,-0.7889
102,-0.803
103,-0.8206
104,-0.8347
105,-0.8524
106,-0.8665
107,-0.8841
108,-0.8982
109,-0.8735
110,-0.8488
111,-0.8277
112,-0.796
113,-0.8312
114,-0.8524
115,-0.8876
116,-0.9052
117,-0.9017
118,-0.8735
119,-0.8171
120,-0.7924
121,-0.7783
122,-0.7396
123,-0.7713
124,-0.7854
125,-0.7889
126,-0.7995
127,-0.8242
128,-0.8312
129,-0.8594
130,-0.9052
131,-0.9475
132,-0.951
133,-0.9158
134,-0.9334
135,-0.9651
136,-1
137,-1.06
138,-1.078
139,-1.106
140,-1.11
141,-1.085
142,-1.036
143,-0.9863
144,-0.9369
145,-0.8876
146,-0.8383
147,-0.7889
148,-0.7396
149,-0.6902
150,-0.6409
151,-0.6127
152,-0.5457
153,-0.4788
154,-0.4012
155,-0.4083
156,-0.3413
157,-0.3096
158,-0.2497
159,-0.1968
160,-0.1263
161,-0.08758
162,0.0005242
163,0.06396
164,0.138
165,0.2789
166,0.353
167,0.4023
168,0.3988
169,0.4375
170,0.5327
171,0.582
172,0.6279
173,0.649
174,0.6666
175,0.6843
176,0.7019
177,0.7195
178,0.7371
179,0.7547
180,0.7336
181,0.723
182,0.7195
183,0.6807
184,0.6349
185,0.5926
186,0.5538
187,0.5045
188,0.501
189,0.4693
190,0.3671
191,0.3494
192,0.3036
193,0.2331
194,0.1344
195,0.06749
196,0.03929
197,-0.04529
198,-0.1123
199,-0.1581
200,-0.2004
201,-0.2462
202,-0.292
203,-0.3378
204,-0.3801
205,-0.4224
206,-0.4717
