x,y
0,-0.1306
1,-0.1059
2,-0.08645
3,-0.0655
4,-0.06037
5,-0.04887
6,-0.03582
7,-0.01575
8,-0.009017
9,-0.002609
10,-0.002339
11,0.05185
12,0.06493
13,0.07947
14,0.09279
15,0.1034
16,0.1134
17,0.1235
18,0.09083
19,0.09924
20,0.1165
21,0.1416
22,0.1561
23,0.1592
24,0.2843
25,0.2999
26,0.3189
27,0.3236
28,0.329
29,0.3525
30,0.3758
31,0.4015
32,0.4314
33,0.4563
34,0.4666
35,0.5057
36,0.5161
37,0.6118
38,0.7979
39,1.132
40,1.143
41,1.198
42,1.22
43,1.238
44,1.251
45,1.283
46,1.301
47,1.315
48,1.324
49,1.344
50,1.345
51,1.358
52,1.374
53,1.39
54,1.401
55,1.395
56,1.421
57,1.449
58,1.457
59,1.565
60,1.568
61,1.561
62,1.577
63,1.577
64,1.559
65,1.578
66,1.57
67,1.574
68,1.57
69,1.582
70,1.582
71,1.578
72,1.564
73,1.582
74,1.586
75,1.593
76,1.611
77,1.607
78,1.628
79,1.646
80,1.639
81,1.651
82,1.684
83,1.688
84,1.684
85,1.702
86,1.702
87,1.705
88,1.7
89,1.686
90,1.679
91,1.648
92,1.635
93,1.628
94,1.64
95,1.614
96,1.619
97,1.623
98,1.615
99,1.623
100,1.62
101,1.589
102,1.598
103,1.583
104,1.577
105,1.57
106,1.55
107,1.562
108,1.524
109,1.513
110,1.513
111,1.5
112,1.494
113,1.464
114,1.48
115,1.435
116,1.438
117,1.45
118,1.45
119,1.475
120,1.459
121,1.459
122,1.453
123,1.436
124,1.446
125,1.446
126,1.44
127,1.455
128,1.457
129,1.465
130,1.468
131,1.469
132,1.461
133,1.453
134,1.455
135,1.447
136,1.446
137,1.456
138,1.447
139,1.423
140,1.426
141,1.442
142,1.437
143,1.425
144,1.441
145,1.428
146,1.437
147,1.425
148,1.423
149,1.426
150,1.417
151,1.414
152,1.452
153,1.452
154,1.458
155,1.444
156,1.438
157,1.432
158,1.45
159,1.432
160,1.418
161,1.394
162,1.388
163,1.361
164,1.362
165,1.321
166,1.325
167,1.3
168,1.275
169,1.282
170,1.272
171,1.251
172,1.235
173,1.23
174,1.225
175,1.218
176,1.174
177,1.181
178,1.194
179,1.182
180,1.162
181,1.135
182,1.119
183,1.097
