x,y
0,-0.4529
1,-0.4871
2,-0.4822
3,-0.4382
4,-0.4186
5,-0.4235
6,-0.4382
7,-0.4333
8,-0.3844
9,-0.3355
10,-0.3355
11,-0.3453
12,-0.3698
13,-0.3404
14,-0.2769
15,-0.1791
16,-0.1253
17,-0.05687
18,-0.05198
19,-0.01776
20,-0.03242
21,-0.04709
22,-0.03731
23,-0.01287
24,0.01647
25,0.06046
26,0.124
27,0.2609
28,0.3636
29,0.4711
30,0.5689
31,0.784
32,0.8427
33,1.024
34,1.258
35,1.346
36,1.483
37,1.556
38,1.654
39,1.63
40,1.659
41,1.605
42,1.566
43,1.547
44,1.547
45,1.556
46,1.527
47,1.571
48,1.625
49,1.644
50,1.615
51,1.625
52,1.639
53,1.669
54,1.732
55,1.635
56,1.62
57,1.571
58,1.566
59,1.547
60,1.532
61,1.522
62,1.508
63,1.424
64,1.4
65,1.346
66,1.302
67,1.248
68,1.234
69,1.219
70,1.185
71,1.146
72,1.175
73,1.17
74,1.107
75,1.087
76,1.033
77,1.043
78,1.107
79,1.092
80,1.087
81,1.111
82,1.121
83,1.077
84,1.033
85,1.019
86,0.9796
87,0.9502
88,0.9355
89,0.9551
90,1.019
91,1.033
92,1.038
93,1.072
94,1.048
95,1.028
96,1.028
97,1.038
98,1.072
99,1.038
100,1.063
101,1.038
102,0.9893
103,0.9502
104,0.8867
105,0.828
106,0.7449
107,0.7107
108,0.5885
109,0.6227
110,0.5298
111,0.5298
112,0.476
113,0.5102
114,0.608
115,0.6422
116,0.6178
117,0.6422
118,0.6667
119,0.7302
120,0.7596
121,0.828
122,0.8573
123,0.9404
124,1.024
125,1.038
126,1.087
127,1.195
128,1.278
129,1.278
130,1.302
131,1.375
132,1.38
133,1.439
134,1.493
135,1.478
136,1.415
137,1.4
138,1.331
139,1.331
140,1.317
141,1.283
142,1.273
143,1.239
144,1.209
145,1.121
146,1.131
147,1.063
148,1.043
149,0.9893
150,0.9698
151,0.872
152,0.8671
153,0.8524
154,0.8476
155,0.8133
156,0.8182
157,0.7253
158,0.74
159,0.7302
160,0.7009
161,0.6667
162,0.6324
163,0.6324
164,0.6862
165,0.7058
166,0.828
167,0.8671
168,0.9111
169,0.9698
170,0.9209
171,0.9796
172,0.9747
173,1.009
174,1.014
175,1.019
176,1.116
177,1.2
178,1.209
179,1.214
180,1.263
181,1.258
182,1.234
183,1.234
184,1.234
185,1.229
186,1.16
187,1.102
188,1.111
189,0.9698
190,0.9209
191,0.8427
192,0.7693
193,0.6862
194,0.5738
195,0.5249
196,0.432
197,0.3196
198,0.2658
199,0.1925
200,0.1191
201,0.08491
202,0.08002
203,-0.07153
204,-0.1351
205,-0.2133
206,-0.2769
207,-0.3698
208,-0.3844
209,-0.4382
210,-0.5066
211,-0.536
212,-0.5946
213,-0.6631
214,-0.668
215,-0.6875
216,-0.6924
217,-0.668
218,-0.7657
219,-0.8048
220,-0.9662
221,-0.8684
222,-0.8635
223,-0.932
224,-0.9368
225,-1.044
226,-1.108
227,-1.044
228,-1.113
229,-1.191
230,-1.216
231,-1.162
232,-1.118
233,-1.064
234,-1.03
235,-0.9515
236,-0.9711
237,-0.9075
