x,y
0,0.1006
1,0.1029
2,0.1027
3,0.1105
4,0.1155
5,0.1213
6,0.1193
7,0.1119
8,0.1113
9,0.0927
10,0.1026
11,0.09497
12,0.1097
13,0.1403
14,0.1356
15,0.1302
16,0.1362
17,0.1367
18,0.1273
19,0.139
20,0.1375
21,0.1321
22,0.1355
23,0.1224
24,0.1349
25,0.1332
26,0.1267
27,0.135
28,0.1232
29,0.1204
30,0.08732
31,0.09097
32,0.08983
33,0.07773
34,0.07436
35,0.0794
36,0.07319
37,0.09852
38,0.09254
39,0.1132
40,0.1028
41,0.1032
42,0.1189
43,0.09913
44,0.07967
45,0.07636
46,0.07266
47,0.0973
48,0.1247
49,0.1313
50,0.123
51,0.1161
52,0.113
53,0.113
54,0.1186
55,0.1137
56,0.08052
57,0.09282
58,0.09915
59,0.1303
60,0.1386
61,0.1466
62,0.1137
63,0.1149
64,0.1378
65,0.1393
66,0.129
67,0.1213
68,0.1345
69,0.1933
70,0.2141
71,0.1935
72,0.1979
73,0.1773
74,0.1948
75,0.205
76,0.2028
77,0.2024
78,0.2311
79,0.2473
80,0.2514
81,0.2665
82,0.2818
83,0.2859
84,0.3031
85,0.3054
86,0.307
87,0.3151
88,0.3324
89,0.3393
90,0.3233
91,0.3408
92,0.3367
93,0.328
94,0.3318
95,0.3306
96,0.3258
97,0.3043
98,0.2997
99,0.3009
100,0.2721
101,0.2479
102,0.2281
103,0.2178
104,0.2399
105,0.2154
106,0.2019
107,0.2029
108,0.1944
109,0.1816
110,0.1742
111,0.1646
112,0.1882
113,0.1806
114,0.1891
115,0.1856
116,0.2042
117,0.2122
118,0.1878
119,0.1978
120,0.185
121,0.1759
122,0.1911
123,0.1879
124,0.2081
125,0.1894
126,0.1805
127,0.1858
128,0.1742
129,0.1626
130,0.1914
131,0.156
132,0.1567
133,0.1622
134,0.1739
135,0.2006
136,0.2013
137,0.2007
138,0.2024
139,0.2015
140,0.1865
141,0.2053
142,0.2103
143,0.1989
144,0.2036
145,0.2006
146,0.1962
147,0.2416
148,0.2203
149,0.253
150,0.2464
151,0.241
152,0.2607
153,0.2738
154,0.2752
155,0.2801
156,0.3093
157,0.2887
158,0.2869
159,0.3091
160,0.2924
161,0.3101
162,0.3121
163,0.3143
164,0.319
165,0.302
166,0.3016
167,0.2888
168,0.292
169,0.2708
170,0.2655
171,0.2697
172,0.2494
173,0.2452
174,0.2348
175,0.2305
176,0.2316
177,0.21
178,0.2129
179,0.2114
180,0.2091
181,0.2137
182,0.2027
183,0.2129
184,0.2166
185,0.235
186,0.2843
187,0.2757
188,0.2887
189,0.2977
190,0.357
191,0.3552
192,0.3404
193,0.3506
194,0.3383
195,0.3191
