x,y
0,-0.2005
1,-0.2005
2,-0.2005
3,-0.2005
4,-0.2005
5,-0.2005
6,-0.2005
7,-0.2005
8,-0.2005
9,-0.2005
10,-0.2005
11,-0.2005
12,-0.2005
13,-0.2005
14,-0.2005
15,-0.2005
16,-0.2005
17,-0.2005
18,-0.2005
19,-0.2005
20,-0.2005
21,-0.2005
22,-0.2005
23,-0.2005
24,-0.2005
25,-0.2005
26,-0.2005
27,-0.2005
28,-0.2005
29,-0.2005
30,-0.2005
31,-0.2005
32,-0.2005
33,-0.2005
34,-0.2005
35,-0.2005
36,-0.208
37,-0.2366
38,-0.3003
39,-0.3531
40,-0.3805
41,-0.3808
42,-0.3825
43,-0.4109
44,-0.443
45,-0.4751
46,-0.5072
47,-0.5393
48,-0.555
49,-0.5605
50,-0.5605
51,-0.5605
52,-0.5605
53,-0.5605
54,-0.5605
55,-0.5608
56,-0.5631
57,-0.5903
58,-0.6224
59,-0.6465
60,-0.6505
61,-0.6505
62,-0.6664
63,-0.6929
64,-0.7222
65,-0.7389
66,-0.7405
67,-0.7405
68,-0.7405
69,-0.7403
70,-0.7374
71,-0.7113
72,-0.6792
73,-0.6471
74,-0.615
75,-0.5829
76,-0.5508
77,-0.5187
78,-0.4866
79,-0.4545
80,-0.4224
81,-0.3903
82,-0.3582
83,-0.3262
84,-0.2975
85,-0.2905
86,-0.2905
87,-0.2905
88,-0.2905
89,-0.2905
90,-0.2905
91,-0.2905
92,-0.2889
93,-0.2723
94,-0.2429
95,-0.2109
96,-0.1788
97,-0.1467
98,-0.1106
99,-0.05437
100,0.009827
101,0.06433
102,0.06892
103,0.06944
104,0.08377
105,0.1101
106,0.1413
107,0.1562
108,0.1594
109,0.1649
110,0.1806
111,0.2127
112,0.2405
113,0.2494
114,0.2494
115,0.2494
116,0.2494
117,0.2494
118,0.2494
119,0.2494
120,0.2494
121,0.2494
122,0.2494
123,0.2388
124,0.2082
125,0.144
126,0.08445
127,0.0425
128,0.0104
129,-0.0217
130,-0.0538
131,-0.0859
132,-0.118
133,-0.1501
134,-0.1822
135,-0.1964
136,-0.2005
137,-0.1955
138,-0.1805
139,-0.1484
140,-0.1163
141,-0.08418
142,-0.05208
143,-0.01742
144,0.07773
145,0.1738
146,0.2578
147,0.3274
148,0.3916
149,0.4558
150,0.52
151,0.5794
152,0.6289
153,0.661
154,0.6878
155,0.6994
156,0.6994
157,0.6994
158,0.6994
159,0.6994
160,0.7109
161,0.7378
162,0.7699
163,0.7846
164,0.7894
165,0.7894
166,0.7894
167,0.7894
168,0.8002
169,0.8398
170,0.9039
171,0.9675
172,1.001
173,1.033
174,1.076
175,1.135
176,1.199
177,1.246
178,1.284
179,1.32
180,1.366
181,1.43
182,1.489
183,1.534
184,1.566
185,1.598
186,1.63
187,1.662
188,1.694
189,1.727
190,1.759
191,1.774
192,1.779
193,1.783
194,1.797
195,1.829
196,1.861
197,1.893
198,1.925
199,1.956
200,1.959
201,1.959
202,1.959
203,1.959
204,1.959
205,1.927
206,1.873
207,1.809
208,1.745
209,1.681
210,1.622
211,1.576
212,1.544
213,1.512
214,1.48
215,1.447
216,1.423
217,1.419
218,1.419
219,1.387
220,1.335
221,1.273
222,1.224
223,1.191
224,1.153
225,1.103
226,1.039
227,0.972
228,0.8817
229,0.7854
230,0.6891
231,0.5928
232,0.4965
233,0.4311
234,0.3876
235,0.3555
236,0.3234
237,0.2913
238,0.2592
239,0.2271
240,0.1949
241,0.1593
242,0.1021
243,0.03791
244,-0.03223
245,-0.1257
246,-0.2218
247,-0.4075
248,-0.662
249,-0.9427
250,-1.149
251,-1.291
252,-1.425
253,-1.569
254,-1.73
255,-1.882
256,-1.995
257,-2.091
258,-2.182
259,-2.249
260,-2.313
261,-2.363
262,-2.401
263,-2.431
264,-2.429
265,-2.403
266,-2.366
267,-2.318
268,-2.254
269,-2.185
270,-2.098
271,-2.002
272,-1.909
273,-1.843
274,-1.779
275,-1.714
276,-1.65
277,-1.586
278,-1.54
279,-1.504
280,-1.472
281,-1.44
282,-1.408
283,-1.376
284,-1.343
285,-1.311
286,-1.277
287,-1.214
288,-1.15
289,-1.06
290,-0.9423
291,-0.8139
292,-0.7034
293,-0.6029
294,-0.5066
295,-0.4103
296,-0.314
297,-0.2277
298,-0.1742
299,-0.1421
300,-0.1087
301,-0.04507
302,0.019
303,0.0832
304,0.1474
305,0.2116
306,0.2404
307,0.2494
308,0.2494
309,0.2494
310,0.2494
311,0.2494
312,0.2494
313,0.2494
314,0.2494
