x,y
0,-0.04278
1,-0.04341
2,-0.04469
3,-0.04673
4,-0.046
5,-0.04638
6,-0.04806
7,-0.05173
8,-0.05468
9,-0.06076
10,-0.06395
11,-0.06883
12,-0.07255
13,-0.07777
14,-0.08251
15,-0.08713
16,-0.09441
17,-0.09601
18,-0.1022
19,-0.1012
20,-0.1058
21,-0.111
22,-0.1162
23,-0.1208
24,-0.1233
25,-0.1256
26,-0.1271
27,-0.1287
28,-0.1229
29,-0.1211
30,-0.1211
31,-0.1205
32,-0.1158
33,-0.1081
34,-0.1032
35,-0.1004
36,-0.09626
37,-0.08904
38,-0.08306
39,-0.07198
40,-0.06476
41,-0.05752
42,-0.048
43,-0.03825
44,-0.03007
45,-0.01824
46,-0.009092
47,-0.002126
48,0.007801
49,0.01672
50,0.02592
51,0.03722
52,0.04874
53,0.06188
54,0.07308
55,0.08203
56,0.09348
57,0.09998
58,0.1096
59,0.1225
60,0.1388
61,0.15
62,0.1598
63,0.1677
64,0.1867
65,0.2006
66,0.2106
67,0.2225
68,0.2372
69,0.2474
70,0.2615
71,0.2783
72,0.2959
73,0.3096
74,0.3241
75,0.3406
76,0.3654
77,0.3871
78,0.4042
79,0.4197
80,0.4356
81,0.4518
82,0.4728
83,0.4916
84,0.512
85,0.5262
86,0.5427
87,0.5674
88,0.5876
89,0.6155
90,0.6451
91,0.6905
92,0.7246
93,0.755
94,0.7901
95,0.823
96,0.859
97,0.889
98,0.9237
99,0.9607
100,0.9925
101,1.024
102,1.061
103,1.096
104,1.126
105,1.157
106,1.2
107,1.241
108,1.291
109,1.329
110,1.365
111,1.404
112,1.442
113,1.485
114,1.524
115,1.559
116,1.593
117,1.625
118,1.656
119,1.691
120,1.721
121,1.748
122,1.776
123,1.801
124,1.826
125,1.851
126,1.872
127,1.891
128,1.906
129,1.917
130,1.925
131,1.931
132,1.934
133,1.933
134,1.93
135,1.922
136,1.91
137,1.895
138,1.875
139,1.852
140,1.826
141,1.796
142,1.762
143,1.72
144,1.673
145,1.622
146,1.566
147,1.503
148,1.432
149,1.354
150,1.271
151,1.183
152,1.089
153,0.9925
154,0.8909
155,0.7832
156,0.6686
157,0.5496
158,0.4262
159,0.2979
160,0.1658
161,0.02819
162,-0.1112
163,-0.2515
164,-0.3921
165,-0.5331
166,-0.671
167,-0.8065
168,-0.94
169,-1.07
170,-1.199
171,-1.321
172,-1.436
173,-1.543
174,-1.642
175,-1.736
176,-1.824
177,-1.902
178,-1.972
179,-2.032
180,-2.083
181,-2.122
182,-2.152
183,-2.171
184,-2.189
185,-2.201
186,-2.204
187,-2.199
188,-2.188
189,-2.172
190,-2.147
191,-2.122
192,-2.093
193,-2.061
194,-2.023
195,-1.982
196,-1.94
197,-1.898
198,-1.855
199,-1.81
200,-1.763
201,-1.711
202,-1.666
203,-1.623
204,-1.578
205,-1.525
206,-1.477
207,-1.432
208,-1.381
209,-1.34
210,-1.302
211,-1.257
212,-1.22
213,-1.175
214,-1.123
215,-1.073
216,-1.022
217,-0.9694
218,-0.9146
219,-0.8721
220,-0.8213
221,-0.7817
222,-0.7312
223,-0.7007
224,-0.6605
225,-0.6213
226,-0.5854
227,-0.537
228,-0.5005
229,-0.4684
230,-0.4374
231,-0.414
232,-0.3933
233,-0.3729
234,-0.3531
235,-0.3354
236,-0.3088
237,-0.29
238,-0.2758
239,-0.2601
240,-0.2464
241,-0.237
242,-0.2206
243,-0.2106
244,-0.2052
245,-0.1963
246,-0.1906
247,-0.1787
248,-0.1718
249,-0.1668
250,-0.1585
251,-0.1499
252,-0.1479
253,-0.1375
254,-0.1318
255,-0.127
256,-0.1183
257,-0.119
258,-0.1173
259,-0.1158
260,-0.1152
261,-0.1103
262,-0.1026
263,-0.09715
264,-0.09065
265,-0.08564
266,-0.07793
267,-0.0723
268,-0.06642
269,-0.05889
270,-0.05598
271,-0.05388
272,-0.04989
273,-0.04395
274,-0.03882
275,-0.03524
276,-0.03106
277,-0.02813
278,-0.02751
279,-0.02718
280,-0.0249
281,-0.02193
282,-0.02136
283,-0.02025
284,-0.01845
285,-0.01663
286,-0.0151
287,-0.01751
288,-0.01873
289,-0.01824
290,-0.01862
291,-0.01554
292,-0.01225
293,-0.008526
294,-0.004673
295,-0.001962
296,0.0003156
297,-0.0007792
298,-0.001795
299,-0.002193
300,-0.003042
301,-0.00354
302,-0.003548
303,-0.004038
304,-0.004073
305,-0.006936
306,-0.01068
307,-0.01632
308,-0.02108
309,-0.02561
310,-0.02714
311,-0.03225
312,-0.03406
313,-0.03839
314,-0.04281
