x,y
0,0.9598
1,0.9598
2,0.9598
3,0.9598
4,0.9598
5,0.9598
6,0.9598
7,0.9598
8,0.9598
9,0.9598
10,0.9598
11,0.9598
12,0.9598
13,0.9598
14,0.9598
15,0.9598
16,0.9598
17,0.9598
18,0.9598
19,0.9677
20,1.009
21,1.054
22,1.094
23,1.125
24,1.13
25,1.13
26,1.13
27,1.13
28,1.13
29,1.13
30,1.13
31,1.13
32,1.13
33,1.13
34,1.13
35,1.13
36,1.13
37,1.13
38,1.13
39,1.13
40,1.13
41,1.135
42,1.147
43,1.192
44,1.237
45,1.28
46,1.306
47,1.324
48,1.339
49,1.355
50,1.406
51,1.466
52,1.526
53,1.575
54,1.615
55,1.645
56,1.675
57,1.685
58,1.678
59,1.663
60,1.648
61,1.633
62,1.618
63,1.603
64,1.585
65,1.562
66,1.533
67,1.503
68,1.473
69,1.401
70,1.327
71,1.253
72,1.183
73,1.119
74,1.06
75,0.9996
76,0.9476
77,0.8997
78,0.8547
79,0.8135
80,0.7897
81,0.7897
82,0.7897
83,0.7822
84,0.7666
85,0.7366
86,0.7067
87,0.679
88,0.662
89,0.6465
90,0.6337
91,0.6263
92,0.6377
93,0.6527
94,0.6676
95,0.6736
96,0.6763
97,0.6763
98,0.6756
99,0.6572
100,0.6272
101,0.5972
102,0.5716
103,0.5501
104,0.5351
105,0.5201
106,0.5095
107,0.5064
108,0.5062
109,0.5049
110,0.5019
111,0.4869
112,0.4719
113,0.4648
114,0.5093
115,0.5849
116,0.6749
117,0.7648
118,0.8321
119,0.893
120,0.953
121,0.9811
122,0.9743
123,0.9293
124,0.8843
125,0.8394
126,0.7944
127,0.7494
128,0.7077
129,0.6763
130,0.6763
131,0.6763
132,0.6715
133,0.6567
134,0.6286
135,0.5987
136,0.5687
137,0.6034
138,0.6442
139,0.6888
140,0.7298
141,0.7637
142,0.7937
143,0.8237
144,0.81
145,0.772
146,0.7121
147,0.6521
148,0.5922
149,0.5322
150,0.4723
151,0.4155
152,0.3625
153,0.3175
154,0.2725
155,0.2214
156,0.1401
157,0.0526
158,-0.03653
159,-0.1236
160,-0.2006
161,-0.2755
162,-0.3504
163,-0.3848
164,-0.401
165,-0.401
166,-0.401
167,-0.3752
168,-0.3317
169,-0.2867
170,-0.2527
171,-0.2309
172,-0.2309
173,-0.2309
174,-0.2309
175,-0.2309
176,-0.2309
177,-0.2334
178,-0.2396
179,-0.2845
180,-0.3295
181,-0.3745
182,-0.4194
183,-0.4644
184,-0.5093
185,-0.5543
186,-0.6098
187,-0.6686
188,-0.7286
189,-0.7885
190,-0.8485
191,-0.9084
192,-0.9684
193,-1.023
194,-1.072
195,-1.117
196,-1.16
197,-1.187
198,-1.157
199,-1.127
200,-1.093
201,-1.05
202,-0.9919
203,-0.9319
204,-0.872
205,-0.8001
206,-0.7264
207,-0.6529
208,-0.5964
209,-0.585
210,-0.6
211,-0.615
212,-0.6495
213,-0.6964
214,-0.7564
215,-0.8163
216,-0.8937
217,-0.9975
218,-1.102
219,-1.202
220,-1.295
221,-1.37
222,-1.445
223,-1.511
224,-1.53
225,-1.535
226,-1.534
227,-1.53
228,-1.505
229,-1.475
230,-1.445
231,-1.415
232,-1.385
233,-1.355
234,-1.325
235,-1.295
236,-1.265
237,-1.235
238,-1.199
239,-1.155
240,-1.095
241,-1.035
242,-0.9894
243,-0.9699
244,-0.968
245,-0.9701
246,-0.9752
247,-1.05
248,-1.125
249,-1.198
250,-1.253
251,-1.291
252,-1.321
253,-1.351
254,-1.361
255,-1.365
256,-1.365
257,-1.365
258,-1.365
259,-1.365
260,-1.365
261,-1.36
262,-1.351
263,-1.335
264,-1.321
265,-1.297
266,-1.237
267,-1.177
268,-1.119
269,-1.065
270,-1.019
271,-0.9736
272,-0.9286
273,-0.9056
274,-0.8871
275,-0.8738
276,-0.8826
277,-0.9792
278,-1.129
279,-1.279
280,-1.394
281,-1.484
282,-1.544
283,-1.604
284,-1.611
285,-1.534
286,-1.445
287,-1.353
288,-1.258
289,-1.153
290,-1.048
291,-0.9476
292,-0.8736
293,-0.8095
294,-0.7509
295,-0.6964
296,-0.6982
297,-0.7132
298,-0.7282
299,-0.7495
300,-0.7752
301,-0.8051
302,-0.8351
303,-0.8433
304,-0.8344
305,-0.8194
306,-0.7997
307,-0.7725
308,-0.7275
309,-0.6825
310,-0.6407
311,-0.6049
312,-0.5744
313,-0.5444
314,-0.5144
