x,y
0,0.7342
1,0.7342
2,0.7342
3,0.7342
4,0.7342
5,0.7342
6,0.7342
7,0.7342
8,0.7342
9,0.7342
10,0.7342
11,0.7342
12,0.7342
13,0.7342
14,0.7342
15,0.7342
16,0.7342
17,0.7342
18,0.7342
19,0.7342
20,0.7342
21,0.7342
22,0.7342
23,0.7342
24,0.7342
25,0.7342
26,0.7342
27,0.7342
28,0.7342
29,0.7342
30,0.7342
31,0.7342
32,0.7342
33,0.7342
34,0.7342
35,0.7342
36,0.7342
37,0.7342
38,0.7342
39,0.7342
40,0.7342
41,0.7342
42,0.7342
43,0.7342
44,0.7342
45,0.7342
46,0.7342
47,0.7342
48,0.7342
49,0.7342
50,0.7342
51,0.7342
52,0.7342
53,0.7342
54,0.7342
55,0.7342
56,0.7342
57,0.7342
58,0.7342
59,0.7342
60,0.7342
61,0.7342
62,0.7342
63,0.7342
64,0.7342
65,0.7342
66,0.7342
67,0.7342
68,0.7342
69,0.7342
70,0.7342
71,0.7342
72,0.7342
73,0.7342
74,0.7342
75,0.7342
76,0.7342
77,0.7342
78,0.7342
79,0.7342
80,0.7342
81,0.7342
82,0.7342
83,0.7342
84,0.7342
85,0.7342
86,0.7342
87,0.7342
88,0.7342
89,0.7342
90,0.7342
91,0.7342
92,0.7342
93,0.7358
94,0.7482
95,0.7606
96,0.7739
97,0.7872
98,0.8006
99,0.8139
100,0.8273
101,0.8407
102,0.854
103,0.8674
104,0.8801
105,0.8846
106,0.889
107,0.8897
108,0.8897
109,0.8897
110,0.8897
111,0.8897
112,0.8897
113,0.8897
114,0.8897
115,0.8897
116,0.8924
117,0.8951
118,0.901
119,0.9077
120,0.9144
121,0.9211
122,0.9278
123,0.9345
124,0.9411
125,0.9478
126,0.9545
127,0.9602
128,0.9659
129,0.9674
130,0.9674
131,0.9674
132,0.9674
133,0.9674
134,0.9674
135,0.9674
136,0.9674
137,0.9674
138,0.9674
139,0.9674
140,0.9674
141,0.9674
142,0.9674
143,0.9674
144,0.9674
145,0.9674
146,0.9674
147,0.9674
148,0.9674
149,0.9674
150,0.9674
151,0.97
152,0.9742
153,0.9795
154,0.9862
155,0.9929
156,0.9995
157,1.006
158,1.013
159,1.02
160,1.026
161,1.033
162,1.032
163,1.027
164,1.013
165,0.9867
166,0.9599
167,0.9332
168,0.9065
169,0.8798
170,0.853
171,0.8263
172,0.7996
173,0.7713
174,0.7416
175,0.7046
176,0.6511
177,0.5977
178,0.5442
179,0.4908
180,0.4373
181,0.3839
182,0.3304
183,0.2769
184,0.2235
185,0.1701
186,0.1137
187,0.04888
188,-0.01604
189,-0.08285
190,-0.1497
191,-0.2165
192,-0.2833
193,-0.3501
194,-0.4169
195,-0.4837
196,-0.5505
197,-0.615
198,-0.67
199,-0.7249
200,-0.7718
201,-0.8185
202,-0.8653
203,-0.9121
204,-0.9588
205,-1.006
206,-1.052
207,-1.099
208,-1.145
209,-1.188
210,-1.23
211,-1.264
212,-1.297
213,-1.331
214,-1.364
215,-1.398
216,-1.431
217,-1.464
218,-1.498
219,-1.531
220,-1.562
221,-1.594
222,-1.604
223,-1.61
224,-1.617
225,-1.624
226,-1.631
227,-1.637
228,-1.644
229,-1.651
230,-1.657
231,-1.664
232,-1.671
233,-1.668
234,-1.664
235,-1.658
236,-1.652
237,-1.645
238,-1.638
239,-1.632
240,-1.625
241,-1.618
242,-1.612
243,-1.605
244,-1.593
245,-1.579
246,-1.561
247,-1.541
248,-1.521
249,-1.501
250,-1.481
251,-1.461
252,-1.441
253,-1.421
254,-1.401
255,-1.382
256,-1.364
257,-1.348
258,-1.335
259,-1.322
260,-1.308
261,-1.295
262,-1.282
263,-1.268
264,-1.255
265,-1.241
266,-1.228
267,-1.215
268,-1.201
269,-1.188
270,-1.175
271,-1.161
272,-1.148
273,-1.135
274,-1.121
275,-1.108
276,-1.095
277,-1.081
278,-1.068
279,-1.056
280,-1.048
281,-1.04
282,-1.034
283,-1.027
284,-1.02
285,-1.014
286,-1.007
287,-1
288,-0.9935
289,-0.9868
290,-0.9813
291,-0.978
292,-0.9752
293,-0.9752
294,-0.9752
295,-0.9752
296,-0.9752
297,-0.9752
298,-0.9752
299,-0.9752
300,-0.9752
301,-0.9752
302,-0.9752
303,-0.9752
304,-0.9752
305,-0.9752
306,-0.9752
307,-0.9752
308,-0.9752
309,-0.9752
310,-0.9752
311,-0.9752
312,-0.9752
313,-0.9752
314,-0.9752
