x,y
0,0.4227
1,0.4227
2,0.4227
3,0.4227
4,0.4227
5,0.4227
6,0.4227
7,0.4227
8,0.4227
9,0.4227
10,0.4227
11,0.4227
12,0.4227
13,0.4227
14,0.4227
15,0.4227
16,0.4227
17,0.4227
18,0.4227
19,0.4227
20,0.4227
21,0.4227
22,0.4227
23,0.4227
24,0.4227
25,0.4227
26,0.4227
27,0.4227
28,0.4227
29,0.4227
30,0.4314
31,0.4525
32,0.4845
33,0.5164
34,0.5483
35,0.5802
36,0.6115
37,0.6359
38,0.6359
39,0.6359
40,0.6435
41,0.6651
42,0.697
43,0.7296
44,0.771
45,0.8179
46,0.8658
47,0.9082
48,0.9418
49,0.9737
50,1.01
51,1.066
52,1.13
53,1.192
54,1.249
55,1.297
56,1.345
57,1.386
58,1.421
59,1.453
60,1.485
61,1.517
62,1.549
63,1.579
64,1.604
65,1.62
66,1.636
67,1.652
68,1.668
69,1.684
70,1.702
71,1.744
72,1.791
73,1.838
74,1.878
75,1.91
76,1.942
77,1.968
78,1.987
79,2.003
80,2.019
81,2.035
82,2.051
83,2.067
84,2.074
85,2.075
86,2.075
87,2.072
88,2.057
89,2.041
90,2.018
91,1.983
92,1.935
93,1.887
94,1.84
95,1.792
96,1.744
97,1.696
98,1.648
99,1.6
100,1.555
101,1.517
102,1.485
103,1.453
104,1.412
105,1.366
106,1.318
107,1.274
108,1.24
109,1.208
110,1.176
111,1.145
112,1.113
113,1.08
114,1.041
115,0.9941
116,0.9462
117,0.8932
118,0.8332
119,0.7693
120,0.7055
121,0.6295
122,0.55
123,0.4702
124,0.3904
125,0.3106
126,0.2308
127,0.1564
128,0.08821
129,0.02437
130,-0.03946
131,-0.09093
132,-0.1396
133,-0.1875
134,-0.2354
135,-0.2833
136,-0.3311
137,-0.3744
138,-0.4103
139,-0.4422
140,-0.4724
141,-0.4945
142,-0.5108
143,-0.5267
144,-0.5427
145,-0.5586
146,-0.5745
147,-0.5877
148,-0.5902
149,-0.5902
150,-0.5902
151,-0.5902
152,-0.5902
153,-0.5902
154,-0.598
155,-0.6116
156,-0.6276
157,-0.6435
158,-0.6595
159,-0.6754
160,-0.6914
161,-0.7074
162,-0.7233
163,-0.7393
164,-0.7629
165,-0.7922
166,-0.8242
167,-0.8536
168,-0.8723
169,-0.8883
170,-0.9043
171,-0.9202
172,-0.9362
173,-0.9518
174,-0.9617
175,-0.9634
176,-0.9634
177,-0.9634
178,-0.9634
179,-0.9634
180,-0.9634
181,-0.9634
182,-0.9634
183,-0.9625
184,-0.9589
185,-0.943
186,-0.927
187,-0.9155
188,-0.9101
189,-0.9101
190,-0.9101
191,-0.9208
192,-0.9355
193,-0.9518
194,-0.9715
195,-1.003
196,-1.035
197,-1.063
198,-1.085
199,-1.101
200,-1.116
201,-1.122
202,-1.123
203,-1.123
204,-1.123
205,-1.123
206,-1.123
207,-1.125
208,-1.138
209,-1.153
210,-1.166
211,-1.168
212,-1.152
213,-1.136
214,-1.12
215,-1.104
216,-1.088
217,-1.072
218,-1.042
219,-1.01
220,-0.9801
221,-0.9549
222,-0.9389
223,-0.923
224,-0.9135
225,-0.9101
226,-0.9101
227,-0.9101
228,-0.9101
229,-0.9101
230,-0.9101
231,-0.9101
232,-0.9101
233,-0.9101
234,-0.9101
235,-0.9101
236,-0.9101
237,-0.9101
238,-0.9101
239,-0.9101
240,-0.9101
241,-0.9101
242,-0.9101
243,-0.9096
244,-0.9066
245,-0.8917
246,-0.8758
247,-0.8598
248,-0.8438
249,-0.8279
250,-0.8119
251,-0.796
252,-0.78
253,-0.7641
254,-0.7481
255,-0.7321
256,-0.7162
257,-0.7033
258,-0.6968
259,-0.6968
260,-0.6968
261,-0.6968
262,-0.6968
263,-0.6968
264,-0.6968
265,-0.6968
266,-0.6968
267,-0.6951
268,-0.6846
269,-0.6686
270,-0.6537
271,-0.6442
272,-0.6435
273,-0.6435
274,-0.6383
275,-0.6262
276,-0.6102
277,-0.5943
278,-0.5905
279,-0.5902
280,-0.5902
281,-0.5902
282,-0.5902
283,-0.5902
284,-0.5848
285,-0.5732
286,-0.5573
287,-0.5413
288,-0.5377
289,-0.5369
290,-0.5363
291,-0.5308
292,-0.5148
293,-0.4989
294,-0.4875
295,-0.4836
296,-0.4836
297,-0.4836
298,-0.4836
299,-0.4836
300,-0.4836
301,-0.4836
302,-0.4836
303,-0.4837
304,-0.4864
305,-0.4999
306,-0.5158
307,-0.5318
308,-0.5478
309,-0.5637
310,-0.5797
311,-0.5799
312,-0.5688
313,-0.5528
314,-0.5369
