x,y
0,-1.719
1,-1.706
2,-1.706
3,-1.393
4,-1.468
5,-1.324
6,-1.375
7,-1.357
8,-1.171
9,-1.148
10,-1.19
11,-1.057
12,-0.9913
13,-1.009
14,-0.7737
15,-0.9302
16,-0.7764
17,-0.6681
18,-0.5902
19,-0.5557
20,-0.5355
21,-0.3971
22,-0.3766
23,-0.4055
24,-0.347
25,-0.1497
26,-0.1794
27,-0.1784
28,-0.04335
29,-0.02142
30,-0.04671
31,0.1235
32,0.05415
33,0.2368
34,0.2651
35,0.2972
36,0.4731
37,0.4318
38,0.5827
39,0.4612
40,0.56
41,0.6557
42,0.7386
43,0.7394
44,0.7231
45,0.9768
46,0.9107
47,0.9556
48,0.9557
49,1.151
50,1.089
51,1.182
52,1.283
53,1.388
54,1.461
55,1.498
56,1.558
57,1.471
58,1.702
59,1.666
