x,y
0,0.4647
1,-1.602
2,-1.004
3,0.9891
4,-0.6063
5,1.311
6,-0.2625
7,0.5458
8,1.09
9,-0.2579
10,-1.328
11,0.4605
12,1.453
13,-0.4476
14,-0.9011
15,1.266
16,0.2466
17,-1.08
18,0.08204
19,-1.465
20,-0.2061
21,0.416
22,1.043
23,-0.9577
24,0.4273
25,-1.382
26,-1.127
27,0.265
28,0.166
29,-1.435
30,1.379
31,-1.362
32,1.448
33,0.6144
34,-1.536
35,0.214
36,1.3
37,0.7842
38,-1.19
39,-0.3702
40,-1.144
41,1.228
42,-1.166
43,0.5461
44,-0.2717
45,-0.925
46,1.019
47,-0.07891
48,1.383
49,1.143
50,1.247
51,-0.04017
52,1.215
53,-1.444
54,0.04883
55,1.194
56,-0.9628
57,-1.478
58,0.9286
59,0.1127
