x,y
0,0.2612
1,0.2678
2,0.2783
3,0.2975
4,0.3016
5,0.3174
6,0.318
7,0.3233
8,0.3319
9,0.3397
10,0.3456
11,0.3532
12,0.3588
13,0.3627
14,0.3702
15,0.3794
16,0.3777
17,0.3755
18,0.3739
19,0.3695
20,0.3687
21,0.3611
22,0.3588
23,0.3527
24,0.3463
25,0.3366
26,0.33
27,0.3225
28,0.3071
29,0.298
30,0.2891
31,0.2736
32,0.2587
33,0.2442
34,0.2276
35,0.2067
36,0.1784
37,0.1528
38,0.1287
39,0.09752
40,0.06719
41,0.03759
42,0.006432
43,-0.02176
44,-0.0493
45,-0.07998
46,-0.1131
47,-0.1421
48,-0.1807
49,-0.2144
50,-0.2486
51,-0.2834
52,-0.3265
53,-0.3638
54,-0.398
55,-0.4323
56,-0.4696
57,-0.5089
58,-0.5532
59,-0.5881
60,-0.631
61,-0.6686
62,-0.709
63,-0.7448
64,-0.7832
65,-0.8246
66,-0.8613
67,-0.8946
68,-0.9313
69,-0.9674
70,-0.9995
71,-1.033
72,-1.067
73,-1.102
74,-1.135
75,-1.166
76,-1.196
77,-1.224
78,-1.249
79,-1.281
80,-1.307
81,-1.327
82,-1.345
83,-1.363
84,-1.379
85,-1.396
86,-1.413
87,-1.428
88,-1.441
89,-1.455
90,-1.468
91,-1.479
92,-1.489
93,-1.498
94,-1.506
95,-1.512
96,-1.519
97,-1.521
98,-1.522
99,-1.521
100,-1.52
101,-1.516
102,-1.511
103,-1.506
104,-1.498
105,-1.49
106,-1.481
107,-1.47
108,-1.458
109,-1.445
110,-1.431
111,-1.417
112,-1.402
113,-1.385
114,-1.367
115,-1.347
116,-1.324
117,-1.3
118,-1.277
119,-1.253
120,-1.228
121,-1.202
122,-1.174
123,-1.145
124,-1.116
125,-1.085
126,-1.054
127,-1.022
128,-0.9899
129,-0.9567
130,-0.9226
131,-0.8871
132,-0.8496
133,-0.8104
134,-0.7695
135,-0.727
136,-0.6834
137,-0.6398
138,-0.5959
139,-0.5519
140,-0.5073
141,-0.4612
142,-0.4148
143,-0.3675
144,-0.3201
145,-0.2718
146,-0.223
147,-0.1735
148,-0.124
149,-0.07363
150,-0.02208
151,0.03032
152,0.08176
153,0.1328
154,0.1832
155,0.2351
156,0.2873
157,0.3393
158,0.3913
159,0.4435
160,0.495
161,0.5455
162,0.5955
163,0.6456
164,0.695
165,0.7428
166,0.7905
167,0.8377
168,0.8849
169,0.9307
170,0.9758
171,1.02
172,1.063
173,1.105
174,1.147
175,1.188
176,1.227
177,1.265
178,1.302
179,1.339
180,1.374
181,1.408
182,1.439
183,1.47
184,1.499
185,1.526
186,1.551
187,1.576
188,1.6
189,1.623
190,1.645
191,1.665
192,1.684
193,1.702
194,1.716
195,1.729
196,1.739
197,1.748
198,1.754
199,1.758
200,1.761
201,1.764
202,1.764
203,1.763
204,1.758
205,1.753
206,1.746
207,1.739
208,1.73
209,1.72
210,1.709
211,1.697
212,1.686
213,1.675
214,1.662
215,1.651
216,1.639
217,1.626
218,1.608
219,1.591
220,1.567
221,1.546
222,1.524
223,1.501
224,1.476
225,1.451
226,1.422
227,1.393
228,1.365
229,1.331
230,1.297
231,1.26
232,1.22
233,1.176
234,1.134
235,1.091
236,1.046
237,1.002
238,0.9522
239,0.904
240,0.8545
241,0.805
242,0.7567
243,0.7076
244,0.6609
245,0.6125
246,0.5669
247,0.5223
248,0.475
249,0.4267
250,0.3813
251,0.3333
252,0.2855
253,0.239
254,0.1891
255,0.1412
256,0.09242
257,0.04491
258,-0.001994
259,-0.05072
260,-0.09733
261,-0.1441
262,-0.1896
263,-0.2356
264,-0.2798
265,-0.3236
266,-0.3637
267,-0.4076
268,-0.4482
269,-0.4836
270,-0.5186
271,-0.5552
272,-0.5899
273,-0.6226
274,-0.6514
275,-0.6801
276,-0.706
277,-0.7304
278,-0.7509
279,-0.7671
280,-0.7814
281,-0.7948
282,-0.8047
283,-0.814
284,-0.8194
285,-0.8232
286,-0.8206
287,-0.8158
288,-0.8025
289,-0.7981
290,-0.7861
291,-0.7651
292,-0.7488
293,-0.7289
294,-0.707
295,-0.6928
296,-0.6676
297,-0.6446
298,-0.6217
299,-0.5861
300,-0.5604
301,-0.5295
302,-0.4974
303,-0.4639
304,-0.4364
305,-0.4097
306,-0.3799
307,-0.3535
308,-0.3293
309,-0.3001
310,-0.2746
311,-0.2523
312,-0.2364
313,-0.2233
314,-0.2055
