x,y
0,-0.2862
1,-0.2862
2,-0.2862
3,-0.2862
4,-0.2862
5,-0.2862
6,-0.2862
7,-0.2862
8,-0.2862
9,-0.2862
10,-0.2862
11,-0.2862
12,-0.2862
13,-0.2862
14,-0.2862
15,-0.2862
16,-0.2862
17,-0.2862
18,-0.2862
19,-0.2862
20,-0.2862
21,-0.2862
22,-0.2862
23,-0.2862
24,-0.2862
25,-0.2862
26,-0.2862
27,-0.2862
28,-0.2862
29,-0.2862
30,-0.2862
31,-0.2862
32,-0.2862
33,-0.2862
34,-0.2862
35,-0.2862
36,-0.2776
37,-0.2586
38,-0.2361
39,-0.2099
40,-0.1954
41,-0.1927
42,-0.1914
43,-0.1914
44,-0.1914
45,-0.1914
46,-0.1951
47,-0.2014
48,-0.2198
49,-0.2461
50,-0.2723
51,-0.2986
52,-0.3248
53,-0.3511
54,-0.3878
55,-0.4294
56,-0.4787
57,-0.5312
58,-0.5692
59,-0.6018
60,-0.6296
61,-0.6559
62,-0.6249
63,-0.5778
64,-0.5264
65,-0.4739
66,-0.4214
67,-0.3689
68,-0.3102
69,-0.2504
70,-0.1739
71,-0.09517
72,-0.005755
73,0.08477
74,0.1888
75,0.2938
76,0.4144
77,0.5357
78,0.6668
79,0.7977
80,0.8665
81,0.9347
82,0.9873
83,1.04
84,1.092
85,1.145
86,1.197
87,1.25
88,1.302
89,1.354
90,1.398
91,1.44
92,1.466
93,1.485
94,1.473
95,1.453
96,1.401
97,1.348
98,1.296
99,1.243
100,1.191
101,1.138
102,1.086
103,1.033
104,0.9806
105,0.9544
106,0.9806
107,1.005
108,1.027
109,1.04
110,1.04
111,1.037
112,1.028
113,1.011
114,0.9848
115,0.9461
116,0.8927
117,0.827
118,0.7483
119,0.6603
120,0.5634
121,0.4622
122,0.3572
123,0.2268
124,0.07654
125,-0.07638
126,-0.2312
127,-0.3396
128,-0.4184
129,-0.4971
130,-0.5759
131,-0.6546
132,-0.7334
133,-0.7917
134,-0.8406
135,-0.8547
136,-0.8547
137,-0.8547
138,-0.8547
139,-0.8547
140,-0.8547
141,-0.8248
142,-0.7868
143,-0.737
144,-0.6845
145,-0.632
146,-0.5795
147,-0.527
148,-0.4745
149,-0.422
150,-0.3695
151,-0.3054
152,-0.2402
153,-0.1377
154,-0.03271
155,0.0514
156,0.1347
157,0.1876
158,0.2405
159,0.3238
160,0.4079
161,0.5129
162,0.6154
163,0.6806
164,0.7446
165,0.7971
166,0.8497
167,0.9022
168,0.9543
169,1.004
170,1.05
171,1.076
172,1.103
173,1.129
174,1.155
175,1.181
176,1.208
177,1.234
178,1.26
179,1.286
180,1.317
181,1.36
182,1.405
183,1.458
184,1.51
185,1.563
186,1.615
187,1.668
188,1.711
189,1.738
190,1.765
191,1.791
192,1.817
193,1.843
194,1.862
195,1.872
196,1.864
197,1.838
198,1.805
199,1.766
200,1.72
201,1.667
202,1.595
203,1.508
204,1.411
205,1.306
206,1.201
207,1.096
208,0.9909
209,0.8859
210,0.7809
211,0.6758
212,0.5677
213,0.4582
214,0.333
215,0.2018
216,0.08393
217,-0.02923
218,-0.116
219,-0.1948
220,-0.2735
221,-0.3523
222,-0.431
223,-0.5098
224,-0.6038
225,-0.7007
226,-0.8046
227,-0.9096
228,-1.015
229,-1.12
230,-1.224
231,-1.328
232,-1.408
233,-1.487
234,-1.566
235,-1.644
236,-1.723
237,-1.802
238,-1.871
239,-1.939
240,-1.991
241,-2.043
242,-2.081
243,-2.118
244,-2.144
245,-2.166
246,-2.154
247,-2.14
248,-2.114
249,-2.087
250,-2.061
251,-2.035
252,-2.009
253,-1.982
254,-1.956
255,-1.928
256,-1.896
257,-1.858
258,-1.805
259,-1.753
260,-1.7
261,-1.648
262,-1.595
263,-1.543
264,-1.49
265,-1.438
266,-1.385
267,-1.325
268,-1.252
269,-1.177
270,-1.099
271,-1.02
272,-0.941
273,-0.8623
274,-0.7835
275,-0.7047
276,-0.626
277,-0.5472
278,-0.4685
279,-0.3897
280,-0.3109
281,-0.2457
282,-0.1904
283,-0.1525
284,-0.1263
285,-0.1
286,-0.07375
287,-0.0475
288,-0.02124
289,0.005012
290,0.03127
291,0.05752
292,0.08377
293,0.1284
294,0.18
295,0.2268
296,0.2721
297,0.2823
298,0.2823
299,0.2823
300,0.2823
301,0.2823
302,0.2823
303,0.2931
304,0.3058
305,0.3303
306,0.3566
307,0.3674
308,0.3764
309,0.3771
310,0.3771
311,0.3564
312,0.3347
313,0.3086
314,0.2823
