x,y
0,-0.9388
1,-0.9388
2,-0.9388
3,-0.9388
4,-0.9388
5,-0.9388
6,-0.9388
7,-0.9388
8,-0.9388
9,-0.9388
10,-0.9388
11,-0.9388
12,-0.9388
13,-0.9388
14,-0.9388
15,-0.9388
16,-0.9388
17,-0.9388
18,-0.9388
19,-0.9388
20,-0.9388
21,-0.9388
22,-0.9388
23,-0.9388
24,-0.9388
25,-0.9388
26,-0.9388
27,-0.9388
28,-0.9388
29,-0.9388
30,-0.9388
31,-0.9388
32,-0.9388
33,-0.9388
34,-0.9388
35,-0.9388
36,-0.9388
37,-0.9388
38,-0.9388
39,-0.9388
40,-0.9388
41,-0.9388
42,-0.9388
43,-0.9388
44,-0.9388
45,-0.9388
46,-0.9388
47,-0.9388
48,-0.9388
49,-0.9388
50,-0.9388
51,-0.9388
52,-0.9388
53,-0.9388
54,-0.9388
55,-0.9388
56,-0.9388
57,-0.9388
58,-0.9388
59,-0.9388
60,-0.9388
61,-0.9388
62,-0.9388
63,-0.9388
64,-0.9388
65,-0.9388
66,-0.9388
67,-0.9388
68,-0.9388
69,-0.9388
70,-0.9388
71,-0.9388
72,-0.9388
73,-0.9388
74,-0.9388
75,-0.9388
76,-0.9388
77,-0.9388
78,-0.9388
79,-0.9388
80,-0.9388
81,-0.9388
82,-0.9388
83,-0.9388
84,-0.9388
85,-0.9388
86,-0.9388
87,-0.9388
88,-0.9388
89,-0.9388
90,-0.9388
91,-0.9388
92,-0.9388
93,-0.9388
94,-0.9388
95,-0.9388
96,-0.9388
97,-0.9388
98,-0.9388
99,-0.9388
100,-0.9423
101,-0.9465
102,-0.9533
103,-0.9628
104,-0.9724
105,-0.9819
106,-0.9915
107,-1.001
108,-1.011
109,-1.02
110,-1.03
111,-1.039
112,-1.048
113,-1.056
114,-1.059
115,-1.059
116,-1.059
117,-1.059
118,-1.059
119,-1.059
120,-1.059
121,-1.059
122,-1.059
123,-1.059
124,-1.059
125,-1.059
126,-1.054
127,-1.049
128,-1.043
129,-1.037
130,-1.031
131,-1.024
132,-1.018
133,-1.012
134,-1.005
135,-0.9989
136,-0.9925
137,-0.9859
138,-0.9765
139,-0.9671
140,-0.9553
141,-0.9426
142,-0.9299
143,-0.9172
144,-0.9044
145,-0.8917
146,-0.879
147,-0.8662
148,-0.8535
149,-0.8397
150,-0.8229
151,-0.8061
152,-0.77
153,-0.7318
154,-0.6936
155,-0.6554
156,-0.6173
157,-0.5791
158,-0.5409
159,-0.5027
160,-0.4645
161,-0.4263
162,-0.3882
163,-0.3468
164,-0.2766
165,-0.2063
166,-0.1316
167,-0.05518
168,0.02118
169,0.09756
170,0.1739
171,0.2503
172,0.3267
173,0.403
174,0.4794
175,0.547
176,0.5936
177,0.6402
178,0.6612
179,0.6803
180,0.6994
181,0.7184
182,0.7375
183,0.7566
184,0.7757
185,0.7948
186,0.8139
187,0.8339
188,0.8549
189,0.8769
190,0.9055
191,0.9342
192,0.9628
193,0.9915
194,1.02
195,1.049
196,1.077
197,1.106
198,1.135
199,1.163
200,1.192
201,1.218
202,1.238
203,1.258
204,1.278
205,1.297
206,1.316
207,1.335
208,1.354
209,1.373
210,1.392
211,1.411
212,1.43
213,1.444
214,1.452
215,1.459
216,1.459
217,1.459
218,1.459
219,1.459
220,1.459
221,1.459
222,1.459
223,1.459
224,1.459
225,1.455
226,1.449
227,1.436
228,1.41
229,1.385
230,1.359
231,1.334
232,1.308
233,1.283
234,1.258
235,1.232
236,1.207
237,1.181
238,1.156
239,1.133
240,1.114
241,1.094
242,1.075
243,1.056
244,1.037
245,1.018
246,0.999
247,0.9799
248,0.9608
249,0.9417
250,0.9226
251,0.9092
252,0.8977
253,0.8882
254,0.8819
255,0.8755
256,0.8691
257,0.8628
258,0.8564
259,0.85
260,0.8437
261,0.8373
262,0.831
263,0.8279
264,0.8252
265,0.8276
266,0.834
267,0.8404
268,0.8467
269,0.8531
270,0.8595
271,0.8658
272,0.8722
273,0.8786
274,0.8849
275,0.8913
276,0.8977
277,0.9087
278,0.9212
279,0.9338
280,0.9465
281,0.9593
282,0.972
283,0.9847
284,0.9974
285,1.01
286,1.023
287,1.036
288,1.048
289,1.059
290,1.07
291,1.08
292,1.089
293,1.099
294,1.108
295,1.118
296,1.127
297,1.137
298,1.147
299,1.156
300,1.165
301,1.173
302,1.18
303,1.184
304,1.188
305,1.191
306,1.194
307,1.197
308,1.2
309,1.204
310,1.207
311,1.21
312,1.213
313,1.216
314,1.219
