x,y
0,-0.7149
1,-0.7149
2,-0.7149
3,-0.7149
4,-0.7149
5,-0.7149
6,-0.7149
7,-0.7149
8,-0.7149
9,-0.7149
10,-0.7149
11,-0.7291
12,-0.7492
13,-0.793
14,-0.8367
15,-0.8804
16,-0.9201
17,-0.9576
18,-0.96
19,-0.96
20,-0.96
21,-0.96
22,-0.96
23,-0.96
24,-0.96
25,-0.96
26,-0.96
27,-0.96
28,-0.96
29,-0.96
30,-0.96
31,-0.96
32,-0.96
33,-0.96
34,-0.96
35,-0.96
36,-0.96
37,-0.96
38,-0.96
39,-0.96
40,-0.96
41,-0.96
42,-0.96
43,-0.96
44,-0.96
45,-0.96
46,-0.96
47,-0.96
48,-0.96
49,-0.96
50,-0.96
51,-0.96
52,-0.96
53,-0.96
54,-0.96
55,-0.96
56,-0.96
57,-0.96
58,-0.96
59,-0.96
60,-0.96
61,-0.96
62,-0.96
63,-0.96
64,-0.96
65,-0.96
66,-0.96
67,-0.9711
68,-0.9961
69,-1.035
70,-1.079
71,-1.122
72,-1.165
73,-1.206
74,-1.241
75,-1.274
76,-1.307
77,-1.34
78,-1.373
79,-1.394
80,-1.405
81,-1.416
82,-1.427
83,-1.438
84,-1.446
85,-1.449
86,-1.45
87,-1.45
88,-1.45
89,-1.447
90,-1.433
91,-1.408
92,-1.375
93,-1.343
94,-1.31
95,-1.279
96,-1.252
97,-1.23
98,-1.208
99,-1.186
100,-1.164
101,-1.142
102,-1.12
103,-1.099
104,-1.077
105,-1.055
106,-1.033
107,-1.011
108,-0.9893
109,-0.9674
110,-0.9456
111,-0.9239
112,-0.9052
113,-0.8894
114,-0.8784
115,-0.8675
116,-0.8566
117,-0.8456
118,-0.8374
119,-0.8374
120,-0.8374
121,-0.8374
122,-0.8374
123,-0.8364
124,-0.8286
125,-0.8195
126,-0.8086
127,-0.7976
128,-0.7867
129,-0.7805
130,-0.7762
131,-0.7762
132,-0.7762
133,-0.7762
134,-0.7762
135,-0.7762
136,-0.7762
137,-0.7762
138,-0.7762
139,-0.7762
140,-0.7755
141,-0.7662
142,-0.7562
143,-0.7453
144,-0.7344
145,-0.7235
146,-0.6948
147,-0.6618
148,-0.6181
149,-0.5744
150,-0.5306
151,-0.4869
152,-0.4432
153,-0.3995
154,-0.3558
155,-0.3121
156,-0.2683
157,-0.2246
158,-0.17
159,-0.1153
160,-0.06069
161,-0.006041
162,0.0486
163,0.1032
164,0.1579
165,0.2125
166,0.2672
167,0.3218
168,0.3765
169,0.4311
170,0.4858
171,0.5404
172,0.5951
173,0.6487
174,0.7018
175,0.7461
176,0.7898
177,0.8336
178,0.8773
179,0.921
180,0.9571
181,0.9912
182,1.024
183,1.057
184,1.09
185,1.118
186,1.145
187,1.167
188,1.188
189,1.21
190,1.23
191,1.249
192,1.261
193,1.272
194,1.283
195,1.294
196,1.305
197,1.316
198,1.327
199,1.337
200,1.348
201,1.359
202,1.37
203,1.381
204,1.392
205,1.403
206,1.414
207,1.423
208,1.429
209,1.43
210,1.43
211,1.43
212,1.429
213,1.428
214,1.42
215,1.409
216,1.398
217,1.387
218,1.376
219,1.371
220,1.369
221,1.369
222,1.369
223,1.369
224,1.369
225,1.369
226,1.369
227,1.369
228,1.369
229,1.369
230,1.369
231,1.369
232,1.369
233,1.369
234,1.369
235,1.369
236,1.358
237,1.336
238,1.314
239,1.292
240,1.27
241,1.248
242,1.227
243,1.205
244,1.183
245,1.161
246,1.14
247,1.123
248,1.109
249,1.099
250,1.088
251,1.077
252,1.064
253,1.048
254,1.026
255,1.004
256,0.9819
257,0.96
258,0.9411
259,0.9286
260,0.9171
261,0.9062
262,0.8952
263,0.8843
264,0.8734
265,0.8624
266,0.8515
267,0.8406
268,0.8296
269,0.8187
270,0.8078
271,0.7969
272,0.7859
273,0.775
274,0.7641
275,0.7531
276,0.7422
277,0.7313
278,0.7204
279,0.7094
280,0.6995
281,0.6964
282,0.6946
283,0.6946
284,0.6946
285,0.6946
286,0.6946
287,0.6946
288,0.6946
289,0.6946
290,0.6946
291,0.6946
292,0.6946
293,0.6946
294,0.6946
295,0.6946
296,0.6946
297,0.694
298,0.6846
299,0.6747
300,0.6638
301,0.6528
302,0.6419
303,0.6369
304,0.6333
305,0.6333
306,0.6333
307,0.6333
308,0.6307
309,0.6267
310,0.6158
311,0.6048
312,0.5939
313,0.583
314,0.572
