x,y
0,-0.3233
1,-0.3233
2,-0.3233
3,-0.3233
4,-0.2689
5,-0.1831
6,-0.06325
7,0.05655
8,0.1262
9,0.1349
10,0.1354
11,0.1354
12,0.1354
13,0.1354
14,0.1354
15,0.1354
16,0.1354
17,0.1354
18,0.1354
19,0.1354
20,0.1354
21,0.1354
22,0.1354
23,0.1354
24,0.1354
25,0.1354
26,0.1354
27,0.1354
28,0.1354
29,0.1354
30,0.1354
31,0.1354
32,0.1354
33,0.1354
34,0.1354
35,0.1354
36,0.1354
37,0.1354
38,0.1354
39,0.1354
40,0.1354
41,0.1354
42,0.1354
43,0.1354
44,0.1354
45,0.1354
46,0.1833
47,0.2611
48,0.3809
49,0.4987
50,0.5942
51,0.5942
52,0.5942
53,0.6038
54,0.6622
55,0.7608
56,0.8806
57,1
58,1.12
59,1.24
60,1.36
61,1.419
62,1.424
63,1.304
64,1.185
65,1.074
66,1.059
67,1.053
68,1.05
69,1.009
70,0.9244
71,0.8046
72,0.6848
73,0.565
74,0.4452
75,0.3254
76,0.239
77,0.1851
78,0.3049
79,0.4247
80,0.5445
81,0.6643
82,0.7842
83,0.904
84,1.024
85,1.144
86,1.263
87,1.383
88,1.503
89,1.623
90,1.743
91,1.856
92,1.961
93,1.97
94,1.97
95,1.97
96,1.97
97,1.97
98,1.97
99,1.965
100,1.918
101,1.798
102,1.678
103,1.558
104,1.439
105,1.319
106,1.199
107,1.079
108,1.055
109,1.053
110,1.053
111,1.053
112,1.053
113,1.053
114,1.053
115,1.053
116,1.053
117,1.053
118,1.064
119,1.108
120,1.208
121,1.328
122,1.448
123,1.567
124,1.687
125,1.807
126,1.902
127,1.97
128,1.97
129,1.97
130,1.955
131,1.864
132,1.754
133,1.635
134,1.515
135,1.395
136,1.275
137,1.155
138,1.087
139,1.053
140,1.053
141,1.032
142,0.977
143,0.7374
144,0.4978
145,0.2694
146,0.1759
147,0.1354
148,0.1354
149,0.1354
150,0.1354
151,0.1354
152,0.1354
153,0.1014
154,0.0361
155,-0.08371
156,-0.2035
157,-0.3233
158,-0.3233
159,-0.3233
160,-0.3233
161,-0.3233
162,-0.3233
163,-0.3233
164,-0.3233
165,-0.3233
166,-0.3233
167,-0.3233
168,-0.3435
169,-0.3903
170,-0.5045
171,-0.6243
172,-0.7441
173,-0.679
174,-0.5805
175,-0.4607
176,-0.3745
177,-0.3233
178,-0.3233
179,-0.3233
180,-0.3233
181,-0.3233
182,-0.3233
183,-0.3233
184,-0.3233
185,-0.3233
186,-0.3233
187,-0.3233
188,-0.3918
189,-0.4869
190,-0.6068
191,-0.7104
192,-0.7821
193,-0.7821
194,-0.7821
195,-0.8018
196,-0.8778
197,-0.9866
198,-1.101
199,-1.197
200,-1.136
201,-1.016
202,-0.896
203,-0.824
204,-0.7821
205,-0.7821
206,-0.7841
207,-0.8084
208,-0.9282
209,-1.048
210,-1.158
211,-1.22
212,-1.241
213,-1.241
214,-1.241
215,-1.241
216,-1.241
217,-1.241
218,-1.241
219,-1.241
220,-1.241
221,-1.241
222,-1.25
223,-1.355
224,-1.469
225,-1.586
226,-1.665
227,-1.7
228,-1.7
229,-1.7
230,-1.752
231,-1.849
232,-1.968
233,-2.071
234,-2.158
235,-2.158
236,-2.158
237,-2.158
238,-2.071
239,-1.968
240,-1.849
241,-1.752
242,-1.7
243,-1.7
244,-1.7
245,-1.665
246,-1.586
247,-1.469
248,-1.355
249,-1.25
250,-1.241
251,-1.241
252,-1.241
253,-1.241
254,-1.241
255,-1.241
256,-1.236
257,-1.188
258,-1.068
259,-0.9486
260,-0.8501
261,-0.7916
262,-0.7821
263,-0.7821
264,-0.7821
265,-0.7821
266,-0.7821
267,-0.7821
268,-0.7401
269,-0.6681
270,-0.5483
271,-0.4285
272,-0.3378
273,-0.3261
274,-0.3233
275,-0.3233
276,-0.3233
277,-0.3233
278,-0.3233
279,-0.3233
280,-0.3233
281,-0.3233
282,-0.3233
283,-0.3233
284,-0.3233
285,-0.3233
286,-0.3233
287,-0.3076
288,-0.217
289,-0.1071
290,0.00463
291,0.07184
292,0.01857
293,-0.1012
294,-0.221
295,-0.2386
296,-0.186
297,-0.06617
298,0.04301
299,0.1354
300,0.1354
301,0.1354
302,0.1298
303,0.05678
304,-0.0428
305,-0.1616
306,-0.2639
307,-0.2444
308,-0.1246
309,-0.00481
310,0.047
311,0.0361
312,-0.08371
313,-0.2035
314,-0.3233
