x,y
0,0.6883
1,0.6883
2,0.6883
3,0.6883
4,0.6883
5,0.6883
6,0.6883
7,0.6883
8,0.6883
9,0.6883
10,0.6883
11,0.6883
12,0.6883
13,0.6883
14,0.6883
15,0.6883
16,0.6883
17,0.6883
18,0.6883
19,0.6883
20,0.6883
21,0.6883
22,0.6883
23,0.6883
24,0.6883
25,0.6883
26,0.6883
27,0.6883
28,0.6883
29,0.6883
30,0.6883
31,0.6883
32,0.6883
33,0.6883
34,0.6883
35,0.6883
36,0.6883
37,0.6883
38,0.6883
39,0.6883
40,0.6883
41,0.6883
42,0.6883
43,0.6883
44,0.6883
45,0.6883
46,0.6883
47,0.6883
48,0.6883
49,0.6883
50,0.6883
51,0.6883
52,0.6883
53,0.6883
54,0.6883
55,0.6883
56,0.6883
57,0.6883
58,0.6883
59,0.6883
60,0.6883
61,0.6883
62,0.6883
63,0.6883
64,0.6883
65,0.6883
66,0.6883
67,0.6883
68,0.6883
69,0.6883
70,0.6883
71,0.6883
72,0.6883
73,0.6883
74,0.6883
75,0.6883
76,0.6883
77,0.6883
78,0.6883
79,0.6883
80,0.6883
81,0.6883
82,0.6883
83,0.6883
84,0.6883
85,0.6883
86,0.6883
87,0.6883
88,0.6883
89,0.6883
90,0.6883
91,0.6883
92,0.6883
93,0.6883
94,0.6883
95,0.6883
96,0.6883
97,0.6883
98,0.6883
99,0.6883
100,0.6883
101,0.6883
102,0.6883
103,0.6883
104,0.6883
105,0.6883
106,0.6883
107,0.6883
108,0.6883
109,0.6883
110,0.6883
111,0.6883
112,0.6883
113,0.6883
114,0.6883
115,0.6883
116,0.6883
117,0.6883
118,0.6883
119,0.6883
120,0.6865
121,0.6611
122,0.6357
123,0.5962
124,0.5549
125,0.5136
126,0.4723
127,0.431
128,0.3897
129,0.3485
130,0.3072
131,0.2669
132,0.232
133,0.1971
134,0.2373
135,0.2786
136,0.3199
137,0.3612
138,0.4025
139,0.4437
140,0.485
141,0.5263
142,0.5676
143,0.6089
144,0.6502
145,0.6915
146,0.7328
147,0.7741
148,0.8154
149,0.8566
150,0.8979
151,0.9392
152,0.9805
153,1.022
154,1.063
155,1.104
156,1.146
157,1.187
158,1.187
159,1.187
160,1.187
161,1.187
162,1.187
163,1.187
164,1.187
165,1.187
166,1.187
167,1.187
168,1.185
169,1.166
170,1.147
171,1.107
172,1.066
173,1.025
174,0.9837
175,0.9424
176,0.9011
177,0.8598
178,0.8185
179,0.7772
180,0.7359
181,0.6941
182,0.6147
183,0.5353
184,0.4533
185,0.3707
186,0.2881
187,0.2055
188,0.123
189,0.04039
190,-0.04219
191,-0.1248
192,-0.2056
193,-0.2723
194,-0.339
195,-0.382
196,-0.4233
197,-0.4646
198,-0.5059
199,-0.5472
200,-0.5885
201,-0.6298
202,-0.6711
203,-0.7123
204,-0.7536
205,-0.794
206,-0.8003
207,-0.8066
208,-0.8076
209,-0.8076
210,-0.8076
211,-0.8076
212,-0.8076
213,-0.8076
214,-0.8076
215,-0.8076
216,-0.8092
217,-0.8219
218,-0.8346
219,-0.8743
220,-0.9156
221,-0.9569
222,-0.9982
223,-1.04
224,-1.081
225,-1.122
226,-1.163
227,-1.205
228,-1.246
229,-1.287
230,-1.329
231,-1.37
232,-1.411
233,-1.452
234,-1.494
235,-1.535
236,-1.576
237,-1.617
238,-1.659
239,-1.7
240,-1.74
241,-1.772
242,-1.804
243,-1.805
244,-1.805
245,-1.805
246,-1.805
247,-1.805
248,-1.805
249,-1.805
250,-1.805
251,-1.805
252,-1.805
253,-1.805
254,-1.805
255,-1.805
256,-1.805
257,-1.805
258,-1.805
259,-1.805
260,-1.805
261,-1.805
262,-1.805
263,-1.805
264,-1.805
265,-1.805
266,-1.805
267,-1.805
268,-1.805
269,-1.805
270,-1.805
271,-1.805
272,-1.805
273,-1.805
274,-1.805
275,-1.805
276,-1.805
277,-1.803
278,-1.778
279,-1.752
280,-1.713
281,-1.671
282,-1.63
283,-1.589
284,-1.548
285,-1.506
286,-1.465
287,-1.424
288,-1.381
289,-1.334
290,-1.286
291,-1.163
292,-1.04
293,-0.9156
294,-0.7917
295,-0.6679
296,-0.544
297,-0.4201
298,-0.2963
299,-0.1724
300,-0.04854
301,0.07162
302,0.151
303,0.2304
304,0.2754
305,0.3167
306,0.358
307,0.3993
308,0.4406
309,0.4819
310,0.5232
311,0.5644
312,0.6057
313,0.647
314,0.6883
