x,y
0,-0.1625
1,-0.1625
2,-0.1625
3,-0.1625
4,-0.1625
5,-0.1625
6,-0.1625
7,-0.1625
8,-0.1625
9,-0.1625
10,-0.1625
11,-0.1625
12,-0.1625
13,-0.1625
14,-0.1625
15,-0.1625
16,-0.1625
17,-0.1625
18,-0.1625
19,-0.1625
20,-0.1625
21,-0.1625
22,-0.1625
23,-0.1625
24,-0.1625
25,-0.1625
26,-0.1625
27,-0.1625
28,-0.1625
29,-0.1625
30,-0.1625
31,-0.1625
32,-0.1625
33,-0.1625
34,-0.1625
35,-0.1625
36,-0.1625
37,-0.1625
38,-0.1625
39,-0.1625
40,-0.1625
41,-0.1625
42,-0.1625
43,-0.1625
44,-0.1625
45,-0.1625
46,-0.1625
47,-0.1625
48,-0.1625
49,-0.1625
50,-0.1625
51,-0.1625
52,-0.1625
53,-0.1625
54,-0.1625
55,-0.1625
56,-0.1625
57,-0.1625
58,-0.1625
59,-0.1625
60,-0.1625
61,-0.1625
62,-0.1625
63,-0.1625
64,-0.1625
65,-0.1625
66,-0.1625
67,-0.1625
68,-0.1625
69,-0.1625
70,-0.1625
71,-0.1625
72,-0.1625
73,-0.1625
74,-0.1625
75,-0.1625
76,-0.1625
77,-0.1625
78,-0.1625
79,-0.1952
80,-0.2604
81,-0.3257
82,-0.3909
83,-0.4562
84,-0.5214
85,-0.5867
86,-0.6523
87,-0.735
88,-0.8183
89,-0.9053
90,-0.9923
91,-1.079
92,-1.166
93,-1.253
94,-1.319
95,-1.367
96,-1.397
97,-1.419
98,-1.44
99,-1.462
100,-1.484
101,-1.506
102,-1.527
103,-1.549
104,-1.571
105,-1.593
106,-1.614
107,-1.636
108,-1.658
109,-1.672
110,-1.681
111,-1.651
112,-1.608
113,-1.564
114,-1.521
115,-1.477
116,-1.434
117,-1.39
118,-1.358
119,-1.358
120,-1.358
121,-1.358
122,-1.358
123,-1.358
124,-1.358
125,-1.358
126,-1.371
127,-1.389
128,-1.41
129,-1.432
130,-1.454
131,-1.475
132,-1.497
133,-1.503
134,-1.473
135,-1.427
136,-1.362
137,-1.297
138,-1.232
139,-1.166
140,-1.101
141,-0.9787
142,-0.8438
143,-0.6095
144,-0.3703
145,-0.131
146,0.1083
147,0.3475
148,0.5748
149,0.7793
150,0.9174
151,0.9827
152,1.048
153,1.113
154,1.179
155,1.244
156,1.309
157,1.374
158,1.374
159,1.374
160,1.374
161,1.374
162,1.374
163,1.374
164,1.374
165,1.392
166,1.427
167,1.468
168,1.511
169,1.555
170,1.598
171,1.642
172,1.686
173,1.742
174,1.8
175,1.866
176,1.931
177,1.996
178,2.062
179,2.127
180,2.177
181,2.216
182,2.228
183,2.228
184,2.228
185,2.228
186,2.228
187,2.228
188,2.223
189,2.215
190,2.193
191,2.171
192,2.15
193,2.128
194,2.106
195,2.084
196,2.063
197,1.992
198,1.905
199,1.818
200,1.731
201,1.644
202,1.557
203,1.47
204,1.388
205,1.318
206,1.25
207,1.185
208,1.12
209,1.054
210,0.9892
211,0.924
212,0.8691
213,0.8169
214,0.7728
215,0.7293
216,0.6858
217,0.6423
218,0.5988
219,0.5497
220,0.4888
221,0.4161
222,0.3291
223,0.242
224,0.155
225,0.06804
226,-0.01897
227,-0.09862
228,-0.1769
229,-0.2213
230,-0.2648
231,-0.3083
232,-0.3518
233,-0.3953
234,-0.4388
235,-0.4823
236,-0.504
237,-0.504
238,-0.504
239,-0.504
240,-0.504
241,-0.504
242,-0.504
243,-0.5044
244,-0.5218
245,-0.5399
246,-0.5617
247,-0.5834
248,-0.6052
249,-0.6269
250,-0.6487
251,-0.6633
252,-0.672
253,-0.6748
254,-0.6748
255,-0.6748
256,-0.6748
257,-0.6748
258,-0.6742
259,-0.6655
260,-0.6541
261,-0.6324
262,-0.6106
263,-0.5889
264,-0.5671
265,-0.5454
266,-0.521
267,-0.4949
268,-0.4562
269,-0.4127
270,-0.3692
271,-0.3257
272,-0.2822
273,-0.2387
274,-0.1952
275,-0.1517
276,-0.1081
277,-0.06465
278,-0.02115
279,0.02236
280,0.06586
281,0.1094
282,0.1529
283,0.1694
284,0.1781
285,0.179
286,0.179
287,0.179
288,0.179
289,0.179
290,0.179
291,0.179
292,0.179
293,0.179
294,0.179
295,0.179
296,0.179
297,0.179
298,0.179
299,0.179
300,0.179
301,0.179
302,0.179
303,0.179
304,0.179
305,0.179
306,0.179
307,0.179
308,0.179
309,0.179
310,0.179
311,0.179
312,0.179
313,0.179
314,0.179
