x,y
0,-1.233
1,-1.233
2,-1.233
3,-1.231
4,-1.225
5,-1.207
6,-1.191
7,-1.175
8,-1.169
9,-1.169
10,-1.169
11,-1.169
12,-1.169
13,-1.169
14,-1.169
15,-1.169
16,-1.169
17,-1.169
18,-1.169
19,-1.169
20,-1.169
21,-1.169
22,-1.169
23,-1.169
24,-1.169
25,-1.169
26,-1.169
27,-1.169
28,-1.169
29,-1.169
30,-1.169
31,-1.169
32,-1.169
33,-1.169
34,-1.169
35,-1.169
36,-1.169
37,-1.169
38,-1.169
39,-1.172
40,-1.185
41,-1.2
42,-1.218
43,-1.244
44,-1.276
45,-1.311
46,-1.346
47,-1.369
48,-1.389
49,-1.407
50,-1.42
51,-1.404
52,-1.387
53,-1.369
54,-1.339
55,-1.294
56,-1.249
57,-1.204
58,-1.153
59,-1.099
60,-1.046
61,-0.9921
62,-0.9387
63,-0.8857
64,-0.8343
65,-0.7853
66,-0.7407
67,-0.6948
68,-0.6477
69,-0.5964
70,-0.5429
71,-0.4921
72,-0.4419
73,-0.3972
74,-0.3531
75,-0.3124
76,-0.2731
77,-0.2375
78,-0.2018
79,-0.1662
80,-0.1306
81,-0.09494
82,-0.05193
83,-0.006181
84,0.04636
85,0.1
86,0.1591
87,0.2188
88,0.2812
89,0.3414
90,0.3975
91,0.4522
92,0.5057
93,0.5413
94,0.5672
95,0.5867
96,0.6045
97,0.6151
98,0.6253
99,0.6342
100,0.6452
101,0.6622
102,0.6796
103,0.6974
104,0.7299
105,0.7739
106,0.8194
107,0.8656
108,0.9413
109,1.022
110,1.101
111,1.178
112,1.25
113,1.319
114,1.386
115,1.442
116,1.486
117,1.528
118,1.568
119,1.597
120,1.624
121,1.651
122,1.678
123,1.704
124,1.729
125,1.749
126,1.765
127,1.774
128,1.78
129,1.785
130,1.786
131,1.786
132,1.778
133,1.769
134,1.751
135,1.735
136,1.728
137,1.723
138,1.723
139,1.728
140,1.74
141,1.756
142,1.774
143,1.786
144,1.798
145,1.807
146,1.815
147,1.809
148,1.803
149,1.794
150,1.782
151,1.766
152,1.748
153,1.731
154,1.707
155,1.681
156,1.654
157,1.628
158,1.583
159,1.538
160,1.493
161,1.446
162,1.392
163,1.338
164,1.284
165,1.224
166,1.162
167,1.104
168,1.047
169,1.009
170,0.9741
171,0.9433
172,0.9154
173,0.8976
174,0.8798
175,0.862
176,0.8442
177,0.8263
178,0.7986
179,0.7662
180,0.7162
181,0.6628
182,0.6051
183,0.5468
184,0.4844
185,0.4207
186,0.3534
187,0.2844
188,0.2132
189,0.1452
190,0.07939
191,0.0162
192,-0.04616
193,-0.1085
194,-0.1709
195,-0.2332
196,-0.2899
197,-0.3255
198,-0.3579
199,-0.3846
200,-0.4038
201,-0.416
202,-0.4259
203,-0.4348
204,-0.4698
205,-0.5102
206,-0.5547
207,-0.6003
208,-0.6534
209,-0.7065
210,-0.7597
211,-0.8091
212,-0.8537
213,-0.8973
214,-0.9402
215,-0.9711
216,-0.9978
217,-1.024
218,-1.051
219,-1.078
220,-1.104
221,-1.127
222,-1.144
223,-1.153
224,-1.161
225,-1.167
226,-1.169
227,-1.169
228,-1.172
229,-1.175
230,-1.184
231,-1.19
232,-1.18
233,-1.163
234,-1.127
235,-1.082
236,-1.024
237,-0.9537
238,-0.8735
239,-0.7971
240,-0.7219
241,-0.6502
242,-0.5794
243,-0.5194
244,-0.4607
245,-0.4073
246,-0.3603
247,-0.3257
248,-0.2949
249,-0.2682
250,-0.246
251,-0.2261
252,-0.2079
253,-0.1901
254,-0.1723
255,-0.1545
256,-0.1366
257,-0.123
258,-0.1214
259,-0.1205
260,-0.1205
261,-0.1155
262,-0.1068
263,-0.09769
264,-0.08838
265,-0.07166
266,-0.05385
267,-0.03603
268,-0.01822
269,-0.0004052
270,0.01741
271,0.03522
272,0.05304
273,0.07085
274,0.08867
275,0.1065
276,0.1243
277,0.1421
278,0.1599
279,0.1777
280,0.1956
281,0.2117
282,0.2226
283,0.2292
284,0.2292
285,0.2314
286,0.2354
287,0.2429
288,0.2518
289,0.2527
290,0.2522
291,0.2433
292,0.2344
293,0.2255
294,0.2166
295,0.2077
296,0.1988
297,0.1899
298,0.181
299,0.1721
300,0.1632
301,0.1542
302,0.1454
303,0.1364
304,0.1275
305,0.1186
306,0.1097
307,0.1008
308,0.09191
309,0.083
310,0.07409
311,0.06518
312,0.05628
313,0.04737
314,0.03846
