x,y
0,0.1307
1,0.1307
2,0.1307
3,0.1307
4,0.1307
5,0.1307
6,0.1307
7,0.1307
8,0.1307
9,0.1307
10,0.1307
11,0.1307
12,0.1307
13,0.1307
14,0.1307
15,0.1307
16,0.1307
17,0.1307
18,0.1558
19,0.1829
20,0.2108
21,0.2386
22,0.2665
23,0.2803
24,0.2898
25,0.2898
26,0.2898
27,0.2898
28,0.2898
29,0.2898
30,0.2898
31,0.2898
32,0.2898
33,0.2898
34,0.2898
35,0.2898
36,0.2898
37,0.2898
38,0.2898
39,0.2898
40,0.2777
41,0.2609
42,0.2331
43,0.2052
44,0.1773
45,0.1453
46,0.1108
47,0.05668
48,0.000933
49,-0.05482
50,-0.1106
51,-0.1663
52,-0.1821
53,-0.1882
54,-0.1943
55,-0.2089
56,-0.2368
57,-0.2646
58,-0.2925
59,-0.3204
60,-0.3417
61,-0.3452
62,-0.3436
63,-0.338
64,-0.3133
65,-0.2854
66,-0.2576
67,-0.2297
68,-0.2018
69,-0.1915
70,-0.1879
71,-0.1981
72,-0.2231
73,-0.2788
74,-0.3434
75,-0.4133
76,-0.4958
77,-0.5794
78,-0.663
79,-0.7421
80,-0.8166
81,-0.8541
82,-0.8808
83,-0.895
84,-0.9038
85,-0.9038
86,-0.8884
87,-0.8656
88,-0.8457
89,-0.8384
90,-0.8662
91,-0.8868
92,-0.9015
93,-0.9038
94,-0.9038
95,-0.9038
96,-0.9038
97,-0.9038
98,-0.9038
99,-0.904
100,-0.9167
101,-0.9342
102,-0.962
103,-0.9899
104,-1.018
105,-1.043
106,-1.063
107,-1.063
108,-1.063
109,-1.063
110,-1.063
111,-1.061
112,-1.04
113,-1.016
114,-0.9884
115,-0.9605
116,-0.9326
117,-0.9159
118,-0.9038
119,-0.9038
120,-0.8925
121,-0.8717
122,-0.8467
123,-0.8242
124,-0.8242
125,-0.8195
126,-0.8083
127,-0.7852
128,-0.7577
129,-0.7704
130,-0.7872
131,-0.8136
132,-0.8242
133,-0.8242
134,-0.8147
135,-0.8009
136,-0.773
137,-0.7262
138,-0.6588
139,-0.5797
140,-0.4988
141,-0.443
142,-0.3873
143,-0.3316
144,-0.2758
145,-0.22
146,-0.1643
147,-0.1084
148,-0.05216
149,0.01867
150,0.1023
151,0.17
152,0.23
153,0.2579
154,0.2935
155,0.3401
156,0.3932
157,0.449
158,0.449
159,0.4516
160,0.4608
161,0.4809
162,0.5088
163,0.5045
164,0.4926
165,0.4647
166,0.4496
167,0.4491
168,0.4621
169,0.4814
170,0.5372
171,0.6052
172,0.6965
173,0.8007
174,0.9122
175,1.049
176,1.186
177,1.317
178,1.438
179,1.549
180,1.647
181,1.74
182,1.823
183,1.886
184,1.917
185,1.935
186,1.948
187,1.92
188,1.897
189,1.886
190,1.881
191,1.881
192,1.904
193,1.933
194,1.983
195,2.06
196,2.172
197,2.271
198,2.366
199,2.449
200,2.516
201,2.549
202,2.579
203,2.607
204,2.634
205,2.655
206,2.652
207,2.636
208,2.608
209,2.56
210,2.506
211,2.438
212,2.353
213,2.242
214,2.109
215,1.967
216,1.801
217,1.633
218,1.466
219,1.296
220,1.123
221,0.931
222,0.7336
223,0.5238
224,0.3081
225,0.08507
226,-0.1203
227,-0.3191
228,-0.504
229,-0.6742
230,-0.8135
231,-0.9353
232,-1.046
233,-1.132
234,-1.211
235,-1.272
236,-1.325
237,-1.372
238,-1.381
239,-1.382
240,-1.396
241,-1.415
242,-1.443
243,-1.456
244,-1.461
245,-1.457
246,-1.447
247,-1.419
248,-1.391
249,-1.363
250,-1.335
251,-1.307
252,-1.279
253,-1.248
254,-1.213
255,-1.143
256,-1.06
257,-0.9887
258,-0.9225
259,-0.8668
260,-0.7977
261,-0.7202
262,-0.6427
263,-0.5748
264,-0.547
265,-0.5191
266,-0.4912
267,-0.4633
268,-0.4371
269,-0.4305
270,-0.4254
271,-0.4229
272,-0.4035
273,-0.3756
274,-0.3589
275,-0.3468
276,-0.3468
277,-0.3468
278,-0.3468
279,-0.3468
280,-0.3468
281,-0.3468
282,-0.342
283,-0.3309
284,-0.3077
285,-0.2796
286,-0.2315
287,-0.1815
288,-0.1273
289,-0.08878
290,-0.0609
291,-0.03302
292,-0.005149
293,0.02273
294,0.0506
295,0.07848
296,0.1048
297,0.1271
298,0.09926
299,0.07138
300,0.04351
301,0.01563
302,-0.01225
303,-0.04012
304,-0.068
305,-0.09587
306,-0.1237
307,-0.1516
308,-0.1636
309,-0.1678
310,-0.14
311,-0.1121
312,-0.08421
313,-0.05634
314,-0.02846
