x,y
0,-0.1017
1,-0.1017
2,-0.1017
3,-0.1017
4,-0.1017
5,-0.1017
6,-0.1017
7,-0.1017
8,-0.1017
9,-0.1017
10,-0.1017
11,-0.1017
12,-0.1017
13,-0.1017
14,-0.1017
15,-0.1017
16,-0.1017
17,-0.1185
18,-0.1505
19,-0.188
20,-0.214
21,-0.2272
22,-0.2272
23,-0.2272
24,-0.2272
25,-0.2272
26,-0.2272
27,-0.2272
28,-0.2272
29,-0.2272
30,-0.2272
31,-0.2272
32,-0.2272
33,-0.2272
34,-0.2272
35,-0.2272
36,-0.2272
37,-0.2272
38,-0.2272
39,-0.2272
40,-0.2272
41,-0.2272
42,-0.2272
43,-0.2333
44,-0.2488
45,-0.2863
46,-0.3239
47,-0.3487
48,-0.3527
49,-0.3527
50,-0.3527
51,-0.3527
52,-0.3527
53,-0.3527
54,-0.3527
55,-0.3527
56,-0.3527
57,-0.3527
58,-0.3527
59,-0.3524
60,-0.3468
61,-0.3199
62,-0.2823
63,-0.2448
64,-0.2072
65,-0.1696
66,-0.134
67,-0.1068
68,-0.1017
69,-0.1017
70,-0.09952
71,-0.06795
72,-0.03219
73,0.005368
74,0.04293
75,0.08049
76,0.1181
77,0.1634
78,0.2373
79,0.3123
80,0.378
81,0.4313
82,0.4689
83,0.5064
84,0.544
85,0.5816
86,0.6191
87,0.6567
88,0.6943
89,0.7318
90,0.7694
91,0.8069
92,0.8445
93,0.8821
94,0.9196
95,0.9572
96,0.9948
97,1.032
98,1.07
99,1.107
100,1.145
101,1.183
102,1.22
103,1.255
104,1.274
105,1.278
106,1.278
107,1.278
108,1.278
109,1.278
110,1.278
111,1.278
112,1.278
113,1.282
114,1.294
115,1.332
116,1.37
117,1.395
118,1.404
119,1.404
120,1.404
121,1.404
122,1.404
123,1.404
124,1.404
125,1.404
126,1.404
127,1.404
128,1.404
129,1.404
130,1.404
131,1.431
132,1.469
133,1.506
134,1.523
135,1.529
136,1.528
137,1.524
138,1.49
139,1.453
140,1.419
141,1.407
142,1.404
143,1.408
144,1.417
145,1.455
146,1.493
147,1.53
148,1.568
149,1.605
150,1.643
151,1.681
152,1.718
153,1.756
154,1.763
155,1.73
156,1.692
157,1.668
158,1.655
159,1.655
160,1.653
161,1.63
162,1.593
163,1.555
164,1.537
165,1.529
166,1.529
167,1.522
168,1.493
169,1.455
170,1.417
171,1.38
172,1.342
173,1.302
174,1.252
175,1.181
176,1.106
177,1.031
178,0.9556
179,0.8805
180,0.8054
181,0.7302
182,0.6551
183,0.58
184,0.5049
185,0.4297
186,0.3546
187,0.2907
188,0.2395
189,0.202
190,0.1644
191,0.1268
192,0.08928
193,0.05172
194,0.01416
195,-0.0234
196,-0.06096
197,-0.09853
198,-0.1361
199,-0.1736
200,-0.2112
201,-0.2991
202,-0.4046
203,-0.5173
204,-0.63
205,-0.7427
206,-0.8554
207,-0.968
208,-1.046
209,-1.122
210,-1.197
211,-1.272
212,-1.348
213,-1.421
214,-1.49
215,-1.528
216,-1.565
217,-1.585
218,-1.574
219,-1.537
220,-1.5
221,-1.462
222,-1.424
223,-1.387
224,-1.349
225,-1.312
226,-1.274
227,-1.237
228,-1.199
229,-1.161
230,-1.124
231,-1.108
232,-1.105
233,-1.105
234,-1.105
235,-1.105
236,-1.105
237,-1.105
238,-1.105
239,-1.105
240,-1.105
241,-1.105
242,-1.105
243,-1.107
244,-1.113
245,-1.149
246,-1.186
247,-1.214
248,-1.197
249,-1.163
250,-1.13
251,-1.105
252,-1.105
253,-1.105
254,-1.105
255,-1.105
256,-1.105
257,-1.105
258,-1.105
259,-1.105
260,-1.105
261,-1.105
262,-1.105
263,-1.105
264,-1.105
265,-1.105
266,-1.105
267,-1.105
268,-1.105
269,-1.105
270,-1.105
271,-1.105
272,-1.105
273,-1.105
274,-1.105
275,-1.105
276,-1.105
277,-1.105
278,-1.105
279,-1.105
280,-1.102
281,-1.088
282,-1.053
283,-1.015
284,-0.9834
285,-0.9806
286,-0.98
287,-0.9722
288,-0.9528
289,-0.9153
290,-0.8791
291,-0.8546
292,-0.8546
293,-0.8546
294,-0.8414
295,-0.8154
296,-0.7778
297,-0.7459
298,-0.7291
299,-0.7291
300,-0.7291
301,-0.7291
302,-0.7291
303,-0.7291
304,-0.7291
305,-0.7291
306,-0.7291
307,-0.7291
308,-0.7291
309,-0.7291
310,-0.7272
311,-0.7108
312,-0.6787
313,-0.6412
314,-0.6036
