x,y
0,0.4895
1,0.4938
2,0.4972
3,0.5168
4,0.5237
5,0.5312
6,0.5401
7,0.541
8,0.542
9,0.545
10,0.5492
11,0.5568
12,0.5613
13,0.5623
14,0.5651
15,0.5697
16,0.5701
17,0.5704
18,0.5707
19,0.5714
20,0.5729
21,0.5747
22,0.5791
23,0.5815
24,0.5839
25,0.5845
26,0.585
27,0.5858
28,0.5866
29,0.5877
30,0.5889
31,0.5942
32,0.5937
33,0.5953
34,0.597
35,0.5986
36,0.6004
37,0.6022
38,0.6046
39,0.6076
40,0.6097
41,0.6118
42,0.6142
43,0.6173
44,0.6213
45,0.6245
46,0.6275
47,0.6294
48,0.6319
49,0.6329
50,0.6372
51,0.6383
52,0.6403
53,0.6449
54,0.6465
55,0.6503
56,0.6543
57,0.6545
58,0.6549
59,0.656
60,0.6581
61,0.6607
62,0.6642
63,0.6679
64,0.6721
65,0.6794
66,0.6829
67,0.6867
68,0.6903
69,0.7004
70,0.7111
71,0.7179
72,0.7245
73,0.7301
74,0.7343
75,0.7377
76,0.7417
77,0.7465
78,0.7514
79,0.7566
80,0.7614
81,0.7671
82,0.7734
83,0.7805
84,0.7879
85,0.7954
86,0.8028
87,0.8098
88,0.8163
89,0.8225
90,0.8281
91,0.8333
92,0.8386
93,0.8441
94,0.8494
95,0.8548
96,0.8603
97,0.8665
98,0.8704
99,0.8764
100,0.8821
101,0.8885
102,0.8955
103,0.9032
104,0.9112
105,0.9193
106,0.9283
107,0.9365
108,0.9453
109,0.9536
110,0.9617
111,0.9693
112,0.9768
113,0.984
114,0.9911
115,0.9976
116,1.003
117,1.008
118,1.014
119,1.02
120,1.026
121,1.032
122,1.039
123,1.045
124,1.052
125,1.057
126,1.06
127,1.062
128,1.063
129,1.064
130,1.064
131,1.064
132,1.063
133,1.062
134,1.062
135,1.06
136,1.057
137,1.054
138,1.05
139,1.045
140,1.039
141,1.033
142,1.026
143,1.019
144,1.01
145,1.001
146,0.9908
147,0.9805
148,0.9692
149,0.9565
150,0.9433
151,0.9298
152,0.9146
153,0.8974
154,0.8786
155,0.8595
156,0.8411
157,0.8231
158,0.8054
159,0.7875
160,0.7688
161,0.7487
162,0.7291
163,0.7101
164,0.6917
165,0.6739
166,0.656
167,0.6372
168,0.6171
169,0.5966
170,0.5771
171,0.5566
172,0.5363
173,0.5165
174,0.4973
175,0.4777
176,0.4583
177,0.4391
178,0.4192
179,0.3996
180,0.38
181,0.3609
182,0.341
183,0.3206
184,0.2987
185,0.2764
186,0.2538
187,0.2308
188,0.2082
189,0.1858
190,0.1612
191,0.1365
192,0.1105
193,0.08528
194,0.06153
195,0.03873
196,0.01731
197,-0.003953
198,-0.0263
199,-0.04855
200,-0.07202
201,-0.09599
202,-0.1201
203,-0.1439
204,-0.1673
205,-0.1911
206,-0.216
207,-0.2419
208,-0.2676
209,-0.293
210,-0.3187
211,-0.3442
212,-0.3701
213,-0.3961
214,-0.4222
215,-0.4474
216,-0.4721
217,-0.4964
218,-0.5206
219,-0.545
220,-0.5696
221,-0.5947
222,-0.6204
223,-0.647
224,-0.6742
225,-0.7016
226,-0.7284
227,-0.7541
228,-0.7789
229,-0.8029
230,-0.8279
231,-0.8541
232,-0.8806
233,-0.9068
234,-0.932
235,-0.9558
236,-0.9786
237,-1.002
238,-1.025
239,-1.048
240,-1.072
241,-1.096
242,-1.119
243,-1.141
244,-1.163
245,-1.183
246,-1.204
247,-1.225
248,-1.245
249,-1.264
250,-1.282
251,-1.299
252,-1.314
253,-1.328
254,-1.343
255,-1.357
256,-1.373
257,-1.387
258,-1.402
259,-1.416
260,-1.429
261,-1.442
262,-1.454
263,-1.466
264,-1.479
265,-1.492
266,-1.506
267,-1.52
268,-1.533
269,-1.547
270,-1.561
271,-1.574
272,-1.589
273,-1.602
274,-1.615
275,-1.625
276,-1.634
277,-1.643
278,-1.653
279,-1.663
280,-1.674
281,-1.685
282,-1.695
283,-1.706
284,-1.715
285,-1.723
286,-1.73
287,-1.737
288,-1.743
289,-1.749
290,-1.754
291,-1.758
292,-1.763
293,-1.767
294,-1.771
295,-1.773
296,-1.776
297,-1.778
298,-1.781
299,-1.782
300,-1.783
301,-1.784
302,-1.785
303,-1.784
304,-1.781
305,-1.779
306,-1.777
307,-1.769
308,-1.766
309,-1.763
310,-1.76
311,-1.74
312,-1.735
313,-1.729
314,-1.634
