x,y
0,1.233
1,1.233
2,1.233
3,1.233
4,1.233
5,1.233
6,1.233
7,1.233
8,1.233
9,1.233
10,1.233
11,1.233
12,1.233
13,1.233
14,1.233
15,1.233
16,1.33
17,1.48
18,1.619
19,1.767
20,1.91
21,2.024
22,2.108
23,2.192
24,2.206
25,2.19
26,2.156
27,2.115
28,2.085
29,2.079
30,2.079
31,2.07
32,2.034
33,1.992
34,1.95
35,1.904
36,1.848
37,1.764
38,1.68
39,1.576
40,1.462
41,1.362
42,1.278
43,1.194
44,1.11
45,1.02
46,0.8933
47,0.7383
48,0.5594
49,0.3707
50,0.1929
51,0.05217
52,-0.1397
53,-0.3133
54,-0.4419
55,-0.5681
56,-0.715
57,-0.8583
58,-0.9814
59,-1.073
60,-1.199
61,-1.296
62,-1.381
63,-1.47
64,-1.576
65,-1.7
66,-1.824
67,-1.932
68,-2.011
69,-2.019
70,-1.998
71,-1.963
72,-1.918
73,-1.864
74,-1.787
75,-1.761
76,-1.747
77,-1.707
78,-1.638
79,-1.572
80,-1.519
81,-1.477
82,-1.435
83,-1.393
84,-1.326
85,-1.246
86,-1.165
87,-1.098
88,-1.045
89,-0.975
90,-0.9029
91,-0.8608
92,-0.8187
93,-0.7766
94,-0.7346
95,-0.6925
96,-0.6504
97,-0.6083
98,-0.5421
99,-0.479
100,-0.4586
101,-0.4354
102,-0.398
103,-0.3613
104,-0.3445
105,-0.3866
106,-0.3931
107,-0.3942
108,-0.3868
109,-0.3646
110,-0.3356
111,-0.3292
112,-0.3292
113,-0.3292
114,-0.3292
115,-0.3292
116,-0.3292
117,-0.3249
118,-0.3108
119,-0.2716
120,-0.2641
121,-0.2832
122,-0.3276
123,-0.3973
124,-0.4627
125,-0.4983
126,-0.4951
127,-0.4593
128,-0.4593
129,-0.4011
130,-0.3378
131,-0.2889
132,-0.2643
133,-0.2554
134,-0.223
135,-0.199
136,-0.1941
137,-0.1607
138,-0.1198
139,-0.07775
140,-0.03787
141,-0.00376
142,-0.00376
143,-0.03377
144,-0.06047
145,-0.06884
146,-0.06884
147,-0.08181
148,-0.1167
149,-0.1766
150,-0.2608
151,-0.3449
152,-0.4291
153,-0.5132
154,-0.5947
155,-0.6658
156,-0.7101
157,-0.7522
158,-0.7943
159,-0.8363
160,-0.8784
161,-0.9205
162,-0.9626
163,-1.005
164,-1.05
165,-1.133
166,-1.192
167,-1.227
168,-1.238
169,-1.219
170,-1.181
171,-1.139
172,-1.097
173,-1.055
174,-1.081
175,-1.119
176,-1.154
177,-1.174
178,-1.165
179,-1.128
180,-1.062
181,-0.9779
182,-0.8939
183,-0.8345
184,-0.7992
185,-0.7912
186,-0.8171
187,-0.9012
188,-0.9495
189,-0.9539
190,-0.9109
191,-0.8205
192,-0.6797
193,-0.5182
194,-0.3499
195,-0.1891
196,-0.05998
197,0.0665
198,0.1654
199,0.2385
200,0.2958
201,0.3843
202,0.5024
203,0.6286
204,0.7484
205,0.8456
206,0.9496
207,1.061
208,1.164
209,1.248
210,1.332
211,1.416
212,1.486
213,1.534
214,1.557
215,1.548
216,1.516
217,1.474
218,1.436
219,1.429
220,1.428
221,1.418
222,1.394
223,1.352
224,1.31
225,1.268
226,1.226
227,1.176
228,1.085
229,1.005
230,0.9682
231,0.9503
232,0.9082
233,0.8661
234,0.8477
235,0.8316
236,0.8076
237,0.78
238,0.772
239,0.7438
240,0.7149
241,0.7105
242,0.68
243,0.6406
244,0.5985
245,0.5565
246,0.5144
247,0.4723
248,0.4059
249,0.3245
250,0.2404
251,0.1562
252,0.0721
253,-0.01055
254,-0.08252
255,-0.1246
256,-0.132
257,-0.1339
258,-0.1413
259,-0.1616
260,-0.1935
261,-0.199
262,-0.199
263,-0.2082
264,-0.2431
265,-0.2593
266,-0.2519
267,-0.2314
268,-0.216
269,-0.2581
270,-0.2641
271,-0.2641
272,-0.2641
273,-0.2639
274,-0.2479
275,-0.2076
276,-0.1426
277,-0.07207
278,-0.06917
279,-0.09711
280,-0.1352
281,-0.1726
282,-0.1992
283,-0.205
284,-0.2384
285,-0.2617
286,-0.2581
287,-0.2276
288,-0.1866
289,-0.161
290,-0.1639
291,-0.199
292,-0.199
293,-0.199
294,-0.1843
295,-0.1569
296,-0.1352
297,-0.1339
298,-0.1358
299,-0.1536
300,-0.1886
301,-0.1581
302,-0.1407
303,-0.1339
304,-0.1391
305,-0.1594
306,-0.2389
307,-0.2641
308,-0.2783
309,-0.314
310,-0.3561
311,-0.3982
312,-0.4304
313,-0.4363
314,-0.3942
